Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,87.7%,89.4%,39.7%,541.0,81.5%,100.0,免费评估
2,拉夫堡大学Loughborough University,83.0%,83.9%,35.3%,461.0,72.0%,92.7,免费评估
2,伦敦大学学院University College London,95.6%,93.6%,44.7%,398.0,57.4%,92.7,免费评估
4,纽卡斯尔大学Newcastle University,93.6%,92.3%,37.3%,445.0,56.7%,92.6,免费评估
5,布鲁内尔大学Brunel University,85.0%,87.7%,32.8%,383.0,81.8%,92.3,免费评估
6,格拉斯哥大学University of Glasgow,62.7%,78.3%,37.2%,505.0,83.6%,91.8,免费评估
7,兰卡斯特大学Lancaster University,81.4%,85.3%,48.0%,447.0,60.3%,91.5,免费评估
8,赫瑞瓦特大学Heriot Watt University,85.9%,85.0%,31.1%,390.0,70.0%,89.8,免费评估
9,利兹大学University of Leeds,77.7%,80.0%,33.6%,440.0,67.0%,89.0,免费评估
10,伦敦大学金史密斯学院Goldsmiths University of London,83.6%,83.5%,25.9%,451.0,61.2%,88.8,免费评估
11,南安普顿大学University of Southampton,85.4%,85.4%,35.4%,366.0,63.2%,88.1,免费评估
12,邓迪大学University of Dundee,82.8%,83.8%,39.9%,420.0,51.0%,87.6,免费评估
13,爱丁堡大学The University of Edinburgh,75.0%,73.5%,27.9%,462.0,66.0%,87.5,免费评估
14,埃塞克斯大学University of Essex,93.4%,94.0%,46.9%,273.0,52.4%,86.9,免费评估
14,班戈大学Bangor University,89.8%,89.3%,,305.0,88.4%,86.9,免费评估
16,阿尔斯特大学University of Ulster,83.9%,84.5%,57.2%,323.0,50.6%,86.8,免费评估
17,诺桑比亚大学Northumbria University,86.7%,89.0%,13.3%,412.0,60.3%,86.6,免费评估
18,雷丁大学University of Reading,72.1%,77.2%,38.9%,354.0,73.8%,86.4,免费评估
18,金斯顿大学Kingston University,84.3%,84.7%,10.1%,416.0,66.1%,86.4,免费评估
20,法尔茅斯大学Falmouth University,85.9%,86.8%,3.0%,347.0,78.9%,85.9,免费评估
21,牛津布鲁克斯大学Oxford Brookes University,95.5%,91.2%,10.4%,377.0,52.3%,85.4,免费评估
22,肯特大学University of Kent,74.0%,73.4%,44.3%,342.0,66.5%,85.3,免费评估
23,温切斯特大学University of Winchester,95.8%,92.3%,,288.0,73.7%,85.0,免费评估
24,Manchester Metropolitan University,80.3%,79.9%,9.7%,449.0,60.3%,84.9,免费评估
25,罗伯特高登大学The Robert Gordon University,83.6%,80.8%,11.5%,375.0,67.1%,84.6,免费评估
26,德蒙福特大学De Montfort University,83.6%,83.9%,10.2%,346.0,71.0%,84.5,免费评估
27,University of Lincoln,83.0%,85.0%,7.1%,373.0,65.3%,83.9,免费评估
28,诺丁汉特伦特大学Nottingham Trent University,83.3%,84.4%,4.7%,345.0,71.7%,83.8,免费评估
29,Coventry University,79.6%,79.7%,18.1%,362.0,64.8%,83.7,免费评估
30,诺里奇艺术大学Norwich University of the Arts,86.0%,85.9%,5.6%,368.0,61.5%,83.5,免费评估
31,哈德斯菲尔德大学University of Huddersfield,86.3%,85.6%,4.8%,357.0,63.8%,83.4,免费评估
32,龙比亚大学Napier University,84.9%,83.9%,,385.0,62.3%,82.9,免费评估
33,布莱顿大学University of Brighton,85.0%,81.6%,13.1%,352.0,54.9%,82.0,免费评估
34,奇切斯特大学University of Chichester,90.1%,92.3%,,355.0,52.2%,81.8,免费评估
35,威斯敏斯特大学University of Westminster,75.2%,76.3%,22.5%,399.0,51.8%,81.7,免费评估
36,西英格兰大学University of the West of England,81.7%,77.7%,15.0%,342.0,59.0%,81.5,免费评估
36,谢菲尔德哈莱姆大学Sheffield Hallam University,85.4%,85.1%,15.5%,327.0,52.9%,81.5,免费评估
38,巴斯斯巴大学Bath Spa University,83.4%,81.0%,9.6%,357.0,55.5%,81.3,免费评估
39,伯恩茅斯艺术大学Arts University Bournemouth,85.0%,81.5%,2.4%,320.0,64.5%,81.0,免费评估
40,蒂赛德大学Teesside University,87.8%,88.9%,2.9%,336.0,53.1%,80.9,免费评估
40,剑桥安鲁大学Anglia Ruskin University,88.7%,85.1%,8.5%,322.0,52.9%,80.9,免费评估
42,赫特福德大学University of Hertfordshire,82.6%,84.1%,5.8%,319.0,61.6%,80.7,免费评估
43,米德塞斯大学Middlesex University,82.9%,83.9%,13.3%,305.0,57.9%,80.6,免费评估
44,哥比亚大学University of Cumbria,87.8%,86.9%,6.1%,348.0,47.5%,80.5,免费评估
45,德比大学University of Derby,89.2%,89.8%,5.1%,313.0,51.1%,80.4,免费评估
46,创意艺术大学University for the Creative Arts,84.8%,82.7%,3.4%,352.0,51.8%,79.9,免费评估
47,伯恩茅斯大学Bournemouth University,69.5%,73.3%,15.0%,328.0,69.2%,79.8,免费评估
47,约克圣约翰大学York St John University,86.1%,83.2%,,357.0,51.2%,79.8,免费评估
49,伍斯特大学University of Worcester,84.8%,86.6%,11.1%,306.0,50.3%,79.5,免费评估
50,普利茅斯大学University of Plymouth,88.5%,86.2%,14.7%,322.0,40.5%,79.4,免费评估
50,北安普顿大学The University of Northampton,82.1%,81.7%,2.9%,343.0,54.6%,79.4,免费评估
52,白金汉大学The University of Buckingham,80.6%,75.6%,6.1%,328.0,59.6%,79.3,免费评估
53,亚伯大学Aberystwyth University,80.0%,73.0%,21.6%,357.0,43.2%,79.0,免费评估
54,利物浦霍普大学Liverpool Hope University,91.3%,85.6%,,313.0,47.1%,78.8,免费评估
55,朴茨茅斯大学University of Portsmouth,89.7%,84.3%,,319.0,47.6%,78.6,免费评估
56,卡迪夫都市大学Cardiff Metropolitan University,79.9%,80.5%,7.9%,299.0,57.9%,78.5,免费评估
57,伦敦艺术大学University of the Arts London,75.4%,74.0%,8.0%,339.0,58.5%,78.4,免费评估
58,利物浦约翰摩尔斯大学Liverpool John Moores University,79.9%,81.4%,7.2%,367.0,44.3%,78.3,免费评估
58,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,73.2%,84.6%,1.8%,380.0,51.5%,78.3,免费评估
60,索尔福德大学University of Salford,82.6%,82.0%,8.0%,336.0,45.5%,78.2,免费评估
60,阿伯泰邓迪大学University of Abertay Dundee,72.9%,74.6%,,362.0,61.4%,78.2,免费评估
62,斯塔福德郡大学Staffordshire University,85.2%,88.7%,2.3%,284.0,51.4%,77.9,免费评估
63,中央兰开夏大学University of Central Lancashire,78.9%,79.8%,3.9%,306.0,57.5%,77.8,免费评估
64,利兹贝克特大学Leeds Beckett University,85.7%,86.9%,1.2%,311.0,46.3%,77.6,免费评估
65,伯明翰城市大学Birmingham City University,77.0%,73.0%,9.6%,336.0,50.2%,77.1,免费评估
66,格林多大学Glyndwr University,80.7%,76.6%,7.8%,263.0,58.3%,76.9,免费评估
67,桑德兰大学University of Sunderland,85.3%,83.4%,9.8%,299.0,40.6%,76.8,免费评估
67,切斯特大学University of Chester,77.5%,77.3%,6.2%,300.0,54.9%,76.8,免费评估
69,南安普顿索伦特大学Southampton Solent University,87.3%,83.9%,1.6%,288.0,44.9%,76.5,免费评估
70,波尔顿大学University of Bolton,85.1%,78.0%,,289.0,50.6%,76.3,免费评估
71,格林威治大学The University of Greenwich,72.6%,64.3%,3.5%,346.0,56.3%,75.8,免费评估
71,南威尔士大学The University of South Wales,72.7%,73.7%,3.3%,313.0,57.0%,75.8,免费评估
73,坎特伯雷大学Canterbury Christ Church University,81.7%,82.3%,7.3%,252.0,50.6%,75.7,免费评估
74,格罗斯特大学University of Gloucestershire,76.5%,78.5%,,316.0,50.6%,75.5,免费评估
75,东伦敦大学University of East London,80.0%,79.7%,9.8%,298.0,38.9%,74.8,免费评估
76,伦敦都市大学London Metropolitan University,76.1%,73.3%,4.7%,302.0,46.2%,74.1,免费评估
77,泰晤士河谷大学Thames Valley University,72.8%,60.3%,4.5%,277.0,56.0%,72.9,免费评估
78,赫尔大学The University of Hull,67.7%,68.8%,11.2%,,52.4%,72.8,免费评估
79,伦敦南岸大学London South Bank University,73.4%,66.8%,12.8%,232.0,40.6%,70.2,免费评估
80,贝德福德大学University of Bedfordshire,77.4%,74.8%,,248.0,34.8%,69.5,免费评估
