Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,圣安德鲁斯大学University of St Andrews,87.00%,89.50%,46.70%,,85.30%,100.0,免费评估
2,伯明翰大学University of Birmingham,87.20%,82.60%,50.90%,346.0,91.10%,96.7,免费评估
3,杜伦大学Durham University,81.60%,84.40%,34.60%,531.0,83.30%,94.5,免费评估
4,剑桥大学University of Cambridge,75.20%,76.70%,45.00%,592.0,67.90%,91.9,免费评估
5,埃克塞特大学University of Exeter,75.10%,84.10%,36.00%,454.0,82.40%,91.2,免费评估
6,牛津大学University of Oxford,60.00%,66.20%,36.20%,591.0,84.40%,90.4,免费评估
7,利兹大学University of Leeds,84.60%,90.80%,30.60%,409.0,75.90%,89.5,免费评估
8,爱丁堡大学The University of Edinburgh,67.90%,72.00%,30.10%,475.0,81.80%,87.5,免费评估
9,伦敦大学亚非学院SOAS University of London,79.40%,83.70%,26.30%,416.0,67.60%,84.5,免费评估
10,曼彻斯特大学The University of Manchester,67.80%,63.10%,48.90%,354.0,66.70%,83.5,免费评估
11,威斯敏斯特大学University of Westminster,72.20%,77.00%,11.30%,281.0,63.30%,74.2,免费评估
