Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,林肯大学University of Lincoln,93.00%,93.80%,31.10%,,77.30%,100.0,免费评估
2,诺丁汉大学University of Nottingham,86.50%,86.60%,36.40%,403.0,72.00%,99.3,免费评估
3,雷丁大学University of Reading,82.80%,88.30%,50.70%,370.0,76.50%,99.1,免费评估
4,班戈大学Bangor University,90.00%,88.50%,29.70%,362.0,65.80%,95.8,免费评估
5,格拉斯哥大学University of Glasgow,84.50%,79.60%,42.30%,362.0,,94.9,免费评估
6,英国女王大学Queen's University Belfast,69.50%,81.00%,56.30%,351.0,74.60%,94.7,免费评估
7,纽卡斯尔大学Newcastle University,78.00%,85.10%,28.40%,360.0,81.10%,94.5,免费评估
8,亚伯大学Aberystwyth University,90.80%,92.30%,38.20%,319.0,58.30%,93.9,免费评估
9,哈珀亚当斯大学Harper Adams University,83.10%,89.30%,5.70%,346.0,81.60%,92.1,免费评估
10,牛津布鲁克斯大学Oxford Brookes University,93.30%,80.20%,,362.0,57.10%,90.3,免费评估
11,肯特大学University of Kent,81.60%,89.80%,,363.0,59.40%,89.4,免费评估
12,诺丁汉特伦特大学Nottingham Trent University,93.70%,89.80%,,331.0,51.70%,88.8,免费评估
13,普利茅斯大学University of Plymouth,82.90%,84.30%,17.40%,,30.80%,84.5,免费评估
14,皇家农学院Royal Agricultural University,72.70%,83.70%,2.10%,294.0,57.80%,82.4,免费评估
15,格林威治大学The University of Greenwich,,,19.50%,303.0,31.30%,81.5,免费评估
16,哥比亚大学University of Cumbria,78.00%,70.00%,,272.0,27.00%,76.2,免费评估
