Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,89.40%,91.10%,56.30%,569,81.30%,100.0,免费评估
2,牛津大学University of Oxford,80.20%,87.20%,56.10%,558,81.90%,97.0,免费评估
2,杜伦大学Durham University,87.20%,89.30%,41.40%,561,83.30%,97.0,免费评估
4,圣安德鲁斯大学University of St Andrews,90.60%,90.90%,46.70%,520,73.30%,96.3,免费评估
5,埃克塞特大学University of Exeter,89.10%,89.90%,45.60%,480,77.50%,95.2,免费评估
6,华威大学The University of Warwick,86.20%,81.40%,51.70%,470,80.20%,94.6,免费评估
7,伦敦大学学院University College London,79.00%,81.30%,51.90%,504,78.20%,93.4,免费评估
8,King's College London,82.00%,83.50%,45.30%,474,81.80%,93.1,免费评估
8,约克大学The University of York,88.70%,89.40%,43.30%,468,69.20%,93.1,免费评估
8,伯明翰大学University of Birmingham,83.90%,85.30%,48.80%,418,83.30%,93.1,免费评估
11,利兹大学University of Leeds,87.70%,88.30%,43.60%,448,73.30%,92.9,免费评估
12,兰卡斯特大学Lancaster University,88.90%,88.80%,37.00%,438,78.90%,92.8,免费评估
13,谢菲尔德大学The University of Sheffield,84.60%,86.10%,53.70%,424,69.30%,92.2,免费评估
14,萨塞克斯大学University of Sussex,83.60%,88.20%,41.30%,374,85.10%,91.3,免费评估
14,东英吉利大学University of East Anglia,89.60%,91.00%,47.40%,411,60.00%,91.3,免费评估
16,格拉斯哥大学University of Glasgow,86.00%,87.70%,47.70%,440,62.40%,91.1,免费评估
17,南安普顿大学University of Southampton,86.30%,87.70%,50.60%,396,65.30%,91.0,免费评估
18,伦敦政治经济学院The London School of Economics and Political Science,71.30%,74.80%,46.80%,501,82.10%,90.4,免费评估
19,诺丁汉大学University of Nottingham,83.80%,84.50%,36.90%,416,77.10%,90.1,免费评估
20,肯特大学University of Kent,85.40%,86.70%,41.30%,364,74.70%,89.8,免费评估
21,拉夫堡大学Loughborough University,86.70%,91.90%,22.50%,374,84.40%,89.5,免费评估
21,布里斯托大学University of Bristol,76.80%,79.90%,40.60%,488,71.90%,89.5,免费评估
23,伦敦大学玛丽女王学院Queen Mary University of London,87.50%,83.30%,43.70%,379,66.40%,89.4,免费评估
24,伦敦大学皇家霍洛威学院Royal Holloway University of London,87.70%,85.00%,40.60%,389,64.40%,89.1,免费评估
24,曼彻斯特大学The University of Manchester,85.00%,85.80%,39.80%,407,66.30%,89.1,免费评估
26,利物浦大学The University of Liverpool,85.60%,85.10%,38.90%,394,61.20%,87.9,免费评估
27,英国女王大学Queen's University Belfast,84.40%,86.70%,46.30%,360,59.20%,87.8,免费评估
27,爱丁堡大学The University of Edinburgh,73.20%,79.40%,46.90%,472,63.20%,87.8,免费评估
29,纽卡斯尔大学Newcastle University,82.90%,83.20%,29.00%,436,68.60%,87.7,免费评估
30,University of Strathclyde,84.50%,87.30%,42.00%,448,42.10%,86.9,免费评估
31,基尔大学Keele University,87.60%,88.20%,32.80%,344,62.60%,86.8,免费评估
32,林肯大学University of Lincoln,96.00%,94.60%,25.90%,311,55.40%,86.5,免费评估
32,莱斯特大学University of Leicester,84.20%,87.70%,34.30%,371,60.30%,86.5,免费评估
34,雷丁大学University of Reading,85.70%,84.80%,35.40%,374,58.40%,86.4,免费评估
35,阿伯丁大学University of Aberdeen,78.80%,82.80%,36.10%,427,60.00%,86.2,免费评估
36,伦敦大学亚非学院SOAS University of London,83.80%,86.80%,20.80%,381,71.20%,86.0,免费评估
37,邓迪大学University of Dundee,84.00%,83.70%,30.40%,399,59.20%,85.9,免费评估
37,埃塞克斯大学University of Essex,85.50%,89.80%,34.80%,306,63.70%,85.9,免费评估
39,哈德斯菲尔德大学University of Huddersfield,91.70%,82.20%,22.30%,310,69.70%,85.6,免费评估
40,德蒙福特大学De Montfort University,92.00%,90.90%,23.40%,259,69.40%,85.5,免费评估
40,赫尔大学The University of Hull,88.20%,89.30%,26.10%,336,60.50%,85.5,免费评估
40,Northumbria University,88.40%,88.10%,30.70%,342,55.60%,85.5,免费评估
43,蒂赛德大学Teesside University,92.90%,92.00%,27.90%,272,53.50%,84.5,免费评估
44,卡迪夫大学Cardiff University,80.70%,82.90%,31.40%,398,53.00%,84.1,免费评估
45,亚伯大学Aberystwyth University,90.10%,90.40%,19.50%,314,58.00%,84.0,免费评估
46,考文垂大学Coventry University,91.20%,92.00%,5.60%,289,72.70%,83.9,免费评估
47,斯旺西大学Swansea University,84.20%,85.50%,25.00%,303,65.70%,83.8,免费评估
48,斯特林大学University of Stirling,77.80%,79.80%,28.50%,384,62.10%,83.7,免费评估
48,利物浦霍普大学Liverpool Hope University,89.50%,82.80%,15.70%,278,72.40%,83.7,免费评估
50,班戈大学Bangor University,92.20%,88.10%,24.30%,314,48.4%*,83.6,免费评估
51,伦敦大学金史密斯学院Goldsmiths University of London,83.60%,79.90%,34.50%,317,57.10%,83.5,免费评估
52,布鲁内尔大学Brunel University,90.10%,89.30%,32.40%,306,42.90%,83.4,免费评估
53,朴茨茅斯大学University of Portsmouth,85.40%,84.30%,32.20%,284,57.30%,83.3,免费评估
53,赫特福德大学University of Hertfordshire,78.70%,78.60%,46.70%,305,53.90%,83.3,免费评估
55,艾芝西尔大学Edge Hill University,89.00%,88.00%,23.60%,293,54.50%,83.1,免费评估
56,牛津布鲁克斯大学Oxford Brookes University,84.00%,81.90%,35.00%,336,47.40%,82.9,免费评估
57,西英格兰大学University of the West of England,84.50%,82.30%,28.90%,304,51.00%,81.9,免费评估
57,罗汉普顿大学Roehampton University,86.30%,84.00%,21.40%,271,60.40%,81.9,免费评估
59,利物浦约翰摩尔斯大学Liverpool John Moores University,90.60%,87.20%,15.90%,317,47.50%,81.7,免费评估
60,纽曼大学Newman University,93.00%,88.60%,12.00%,280,52.20%,81.6,免费评估
60,普利茅斯大学University of Plymouth,91.30%,89.50%,22.60%,277,43.50%,81.6,免费评估
62,格罗斯泰斯特主教大学Bishop Grosseteste University,89.20%,87.00%,7.00%,260,66.4%*,81.3,免费评估
62,Manchester Metropolitan University,88.70%,82.30%,18.00%,325,48.40%,81.3,免费评估
64,温切斯特大学University of Winchester,88.70%,88.90%,19.10%,287,46.00%,80.9,免费评估
65,德比大学University of Derby,95.10%,93.50%,13.50%,272,39.00%,80.7,免费评估
66,北安普顿大学The University of Northampton,86.30%,85.20%,21.50%,276,46.50%,80.1,免费评估
67,切斯特大学University of Chester,89.80%,83.50%,9.10%,302,46.70%,79.5,免费评估
68,诺丁汉特伦特大学Nottingham Trent University,84.40%,81.20%,17.50%,269,54.00%,79.4,免费评估
69,坎特伯雷大学Canterbury Christ Church University,90.60%,84.50%,16.30%,273,40.90%,79.3,免费评估
70,奇切斯特大学University of Chichester,91.30%,89.50%,15.80%,242,41.00%,79.2,免费评估
71,巴斯斯巴大学Bath Spa University,85.20%,84.30%,8.30%,319,48.40%,79.0,免费评估
72,利兹贝克特大学Leeds Beckett University,91.10%,90.40%,11.00%,264,40.00%,78.9,免费评估
73,萨福克学院University Campus Suffolk,97.30%,87.90%,,315,33.70%,78.8,免费评估
73,谢菲尔德哈莱姆大学Sheffield Hallam University,76.90%,79.90%,38.30%,277,40.10%,78.8,免费评估
75,格林威治大学The University of Greenwich,89.50%,77.30%,8.60%,313,45.10%,78.6,免费评估
75,南威尔士大学The University of South Wales,86.30%,84.80%,15.80%,310,37.00%,78.6,免费评估
77,"特威克南圣玛丽大学St Mary's, Twickenham",85.60%,85.00%,11.00%,238,53.80%,78.3,免费评估
78,索尔福德大学University of Salford,87.50%,85.60%,,286,51.90%,78.1,免费评估
79,桑德兰大学University of Sunderland,83.60%,86.30%,7.70%,282,48.20%,77.8,免费评估
79,中央兰开夏大学University of Central Lancashire,85.30%,79.70%,12.00%,281,46.60%,77.8,免费评估
79,伍斯特大学University of Worcester,84.00%,78.00%,19.50%,258,46.40%,77.8,免费评估
82,格林多大学Glyndwr University,94.50%,87.40%,,282*,36.10%,77.5,免费评估
83,高地与群岛大学University of the Highlands and Islands,83.30%,78.70%,,281,30.40%,77.0,免费评估
84,约克圣约翰大学York St John University,85.40%,83.00%,,278,50.80%,76.9,免费评估
85,布莱顿大学University of Brighton,71.60%,65.40%,13.10%,309,66.20%,76.6,免费评估
86,剑桥安鲁大学Anglia Ruskin University,89.60%,86.20%,15.30%,232,31.10%,76.5,免费评估
86,威斯敏斯特大学University of Westminster,81.40%,80.30%,11.80%,277,44.70%,76.5,免费评估
88,金斯顿大学Kingston University,80.70%,77.80%,,243,49.90%,74.0,免费评估
89,阿尔斯特大学University of Ulster,75.00%,76.00%,24.00%,282,28.10%,73.9,免费评估
90,斯塔福德郡大学Staffordshire University,89.30%,84.80%,,202,35.70%,73.8,免费评估
91,东伦敦大学University of East London,77.40%,72.80%,13.90%,214,45.60%,73.4,免费评估
92,布拉德福德大学University of Bradford,69.00%,71.20%,12.70%,,55.80%,73.0,免费评估
93,格罗斯特大学University of Gloucestershire,64.40%,59.40%,11.20%,310,45.20%,70.6,免费评估
94,利兹圣三一大学Leeds Trinity University,69.90%,59.90%,10.30%,257,29.20%,68.1,免费评估
