Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,帝国理工学院Imperial College London,92.40%,95.80%,61.50%,559,97.70%,100.0,免费评估
2,剑桥大学University of Cambridge,74.70%,87.20%,67.00%,629,94.60%,97.1,免费评估
3,格拉斯哥大学University of Glasgow,79.80%,90.30%,47.20%,531,98.10%,94.8,免费评估
4,巴斯大学University of Bath,82.30%,85.90%,52.90%,526,94.30%,94.3,免费评估
5,利兹大学University of Leeds,91.00%,94.30%,32.00%,416,89.80%,90.9,免费评估
6,南安普顿大学University of Southampton,73.60%,83.60%,52.30%,469,91.90%,90.5,免费评估
6,邓迪大学University of Dundee,84.40%,85.80%,46.20%,399,91.60%,90.5,免费评估
8,谢菲尔德大学The University of Sheffield,78.70%,88.70%,43.10%,427,92.60%,90.2,免费评估
9,爱丁堡大学The University of Edinburgh,73.90%,85.40%,50.30%,496,87.80%,90.1,免费评估
10,纽卡斯尔大学Newcastle University,82.00%,88.60%,40.90%,401,91.70%,89.7,免费评估
10,拉夫堡大学Loughborough University,83.10%,91.90%,26.90%,394,96.20%,89.7,免费评估
12,卡迪夫大学Cardiff University,80.80%,89.20%,35.00%,411,93.40%,89.6,免费评估
13,英国女王大学Queen's University Belfast,84.60%,91.90%,31.30%,353,95.80%,89.5,免费评估
14,布里斯托大学University of Bristol,72.30%,79.50%,52.30%,509,84.50%,88.8,免费评估
15,埃克塞特大学University of Exeter,71.80%,85.70%,36.40%,446,94.40%,88.7,免费评估
16,诺丁汉大学University of Nottingham,75.90%,83.70%,40.80%,448,89.90%,88.6,免费评估
17,赫瑞瓦特大学Heriot Watt University,79.80%,87.30%,47.80%,412,83.90%,88.3,免费评估
18,阿伯丁大学University of Aberdeen,75.10%,82.40%,28.40%,470,92.60%,88.0,免费评估
19,斯旺西大学Swansea University,76.00%,81.10%,45.50%,347,92.70%,87.4,免费评估
20,University of Strathclyde,71.60%,78.90%,35.70%,465,87.20%,86.4,免费评估
21,伯明翰大学University of Birmingham,72.60%,79.50%,21.90%,437,94.70%,86.3,免费评估
22,阿伯泰邓迪大学University of Abertay Dundee,92.60%,94.30%,16.30%,322,83.10%,85.6,免费评估
23,考文垂大学Coventry University,87.20%,92.80%,10.30%,319,90.00%,85.4,免费评估
24,萨里大学University of Surrey,81.00%,86.80%,30.80%,407,79.70%,85.3,免费评估
25,曼彻斯特大学The University of Manchester,65.70%,69.60%,36.40%,453,92.10%,85.2,免费评估
26,Northumbria University,80.10%,76.80%,30.70%,354,88.90%,85.1,免费评估
27,利物浦大学The University of Liverpool,75.50%,86.60%,32.10%,358,83.60%,84.2,免费评估
28,布鲁内尔大学Brunel University,77.40%,84.80%,23.70%,353,85.70%,83.8,免费评估
29,西苏格兰大学University of the West of Scotland,90.00%,92.00%,9.00%,314,82.30%,83.6,免费评估
30,伦敦大学学院University College London,58.40%,70.70%,23.10%,496,90.90%,83.1,免费评估
31,伦敦城市大学City University London,82.70%,86.10%,20.20%,376,76.90%,82.8,免费评估
32,阿尔斯特大学University of Ulster,78.20%,90.30%,,278,95.50%,82.7,免费评估
33,索尔福德大学University of Salford,83.70%,87.30%,19.60%,321,79.20%,82.5,免费评估
34,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,75.30%,83.30%,9.10%,381,86.50%,82.4,免费评估
35,诺丁汉特伦特大学Nottingham Trent University,84.40%,86.30%,,266,91.40%,82.1,免费评估
36,南威尔士大学The University of South Wales,80.90%,82.50%,,344,88.70%,82.0,免费评估
37,德比大学University of Derby,81.30%,82.10%,6.70%,226,95.20%,81.9,免费评估
38,布拉德福德大学University of Bradford,72.20%,79.20%,17.80%,292,89.80%,81.2,免费评估
39,利物浦约翰摩尔斯大学Liverpool John Moores University,73.20%,77.90%,,352,92.10%,81.1,免费评估
40,利兹贝克特大学Leeds Beckett University,78.30%,88.30%,5.60%,286,85.70%,80.8,免费评估
41,剑桥安鲁大学Anglia Ruskin University,83.70%,85.90%,5.20%,255,85.00%,80.6,免费评估
42,龙比亚大学Napier University,79.60%,87.60%,7.70%,316,80.40%,80.5,免费评估
43,朴茨茅斯大学University of Portsmouth,77.70%,84.80%,9.10%,288,84.60%,80.4,免费评估
44,西英格兰大学University of the West of England,80.10%,82.30%,10.60%,275,82.40%,79.9,免费评估
45,伦敦南岸大学London South Bank University,78.30%,84.50%,19.60%,263,78.70%,79.7,免费评估
46,普利茅斯大学University of Plymouth,75.30%,80.00%,15.70%,271,83.60%,79.6,免费评估
47,布莱顿大学University of Brighton,75.90%,84.00%,5.10%,277,84.80%,79.3,免费评估
48,格林威治大学The University of Greenwich,82.10%,86.20%,5.50%,332,72.70%,79.0,免费评估
49,东伦敦大学University of East London,85.70%,89.40%,2.30%,290,73.50%,78.9,免费评估
50,泰晤士河谷大学Thames Valley University,99.20%,98.30%,,224*,58.80%,77.0,免费评估
51,蒂赛德大学Teesside University,70.40%,82.20%,5.80%,320*,75.70%,76.8,免费评估
52,金斯顿大学Kingston University,63.20%,70.40%,2.90%,266,65.00%,69.9,免费评估
