Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,81.60%,84.50%,57.30%,561.0,87.20%,100.0,免费评估
2,杜伦大学Durham University,86.90%,91.30%,55.00%,526.0,79.70%,99.5,免费评估
3,牛津大学University of Oxford,85.70%,89.80%,41.10%,538.0,87.20%,98.7,免费评估
4,圣安德鲁斯大学University of St Andrews,85.60%,85.70%,44.20%,524.0,80.50%,97.0,免费评估
5,埃克塞特大学University of Exeter,88.10%,94.00%,43.70%,444.0,76.80%,95.7,免费评估
6,布里斯托大学University of Bristol,75.60%,87.30%,61.30%,488.0,76.40%,95.6,免费评估
7,兰卡斯特大学Lancaster University,82.30%,89.60%,46.50%,423.0,84.30%,94.9,免费评估
8,利兹大学University of Leeds,83.40%,90.50%,42.30%,425.0,81.50%,94.2,免费评估
9,纽卡斯尔大学Newcastle University,87.30%,89.00%,43.10%,407.0,77.80%,93.9,免费评估
9,伦敦大学学院University College London,70.90%,74.00%,52.30%,482.0,90.80%,93.9,免费评估
11,曼彻斯特大学The University of Manchester,89.80%,93.00%,36.60%,430.0,72.60%,93.8,免费评估
12,伦敦大学皇家霍洛威学院Royal Holloway University of London,91.40%,90.70%,45.80%,384.0,71.20%,93.7,免费评估
13,东英吉利大学University of East Anglia,84.20%,90.60%,47.40%,420.0,70.10%,93.0,免费评估
14,拉夫堡大学Loughborough University,86.10%,91.90%,24.30%,376.0,88.00%,92.3,免费评估
15,南安普顿大学University of Southampton,82.80%,88.50%,45.80%,401.0,71.30%,91.9,免费评估
16,温切斯特大学University of Winchester,84.00%,89.50%,7.50%,,90.60%,91.5,免费评估
17,诺丁汉大学University of Nottingham,82.20%,88.50%,39.60%,410.0,72.00%,91.3,免费评估
18,萨塞克斯大学University of Sussex,84.90%,91.50%,35.80%,375.0,74.70%,91.2,免费评估
18,伯明翰大学University of Birmingham,83.10%,82.20%,42.00%,393.0,75.80%,91.2,免费评估
20,伦敦政治经济学院The London School of Economics and Political Science,67.90%,72.00%,46.90%,517.0,79.20%,91.1,免费评估
21,爱丁堡大学The University of Edinburgh,78.30%,83.50%,38.20%,469.0,69.90%,90.8,免费评估
22,亚伯大学Aberystwyth University,88.90%,90.60%,38.60%,307.0,75.80%,90.7,免费评估
22,格拉斯哥大学University of Glasgow,75.60%,84.20%,42.40%,446.0,72.90%,90.7,免费评估
24,King's College London,76.30%,79.90%,40.00%,426.0,78.60%,90.4,免费评估
25,约克大学The University of York,87.90%,90.40%,23.90%,383.0,71.10%,89.7,免费评估
25,卡迪夫大学Cardiff University,84.00%,88.50%,36.80%,387.0,66.50%,89.7,免费评估
27,阿伯丁大学University of Aberdeen,77.40%,87.30%,38.20%,426.0,67.00%,89.4,免费评估
28,利物浦大学The University of Liverpool,83.90%,86.60%,26.30%,369.0,74.40%,88.8,免费评估
29,谢菲尔德大学The University of Sheffield,78.10%,85.80%,31.10%,419.0,70.00%,88.6,免费评估
30,基尔大学Keele University,90.50%,92.90%,16.40%,343.0,67.80%,87.9,免费评估
30,考文垂大学Coventry University,94.30%,94.30%,2.00%,311.0,78.60%,87.9,免费评估
32,英国女王大学Queen's University Belfast,82.90%,91.20%,36.90%,337.0,62.60%,87.7,免费评估
33,斯旺西大学Swansea University,81.80%,87.90%,39.40%,333.0,63.50%,87.4,免费评估
34,邓迪大学University of Dundee,85.50%,91.90%,28.30%,357.0,59.50%,87.2,免费评估
35,雷丁大学University of Reading,80.00%,85.80%,35.00%,348.0,64.60%,86.7,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,72.10%,79.30%,45.10%,373.0,66.00%,86.4,免费评估
36,斯特林大学University of Stirling,74.60%,80.80%,30.30%,404.0,68.80%,86.4,免费评估
38,赫尔大学The University of Hull,84.50%,87.70%,31.70%,327.0,59.60%,86.1,免费评估
39,牛津布鲁克斯大学Oxford Brookes University,84.00%,90.60%,17.30%,322.0,69.30%,85.9,免费评估
40,班戈大学Bangor University,84.10%,85.50%,31.50%,309.0,62.20%,85.6,免费评估
41,利物浦霍普大学Liverpool Hope University,94.10%,87.70%,1.60%,298.0,70.60%,85.2,免费评估
42,莱斯特大学University of Leicester,75.90%,80.00%,29.70%,368.0,66.10%,85.1,免费评估
43,朴茨茅斯大学University of Portsmouth,88.00%,88.60%,14.90%,311.0,61.50%,84.5,免费评估
44,西英格兰大学University of the West of England,88.10%,89.80%,6.40%,316.0,61.60%,83.7,免费评估
44,Northumbria University,83.60%,84.30%,15.40%,337.0,61.10%,83.7,免费评估
46,普利茅斯大学University of Plymouth,80.00%,85.70%,25.80%,301.0,56.40%,82.7,免费评估
47,艾芝西尔大学Edge Hill University,86.90%,92.70%,6.20%,289.0,57.60%,82.3,免费评估
48,格罗斯特大学University of Gloucestershire,90.80%,91.50%,14.50%,286.0,43.10%,81.6,免费评估
49,伍斯特大学University of Worcester,88.90%,86.90%,8.10%,268.0,56.20%,81.5,免费评估
49,索尔福德大学University of Salford,80.40%,80.50%,16.70%,254.0,67.90%,81.5,免费评估
51,布拉德福德大学University of Bradford,71.6%*,73.8%*,23.60%,,70.80%,81.3,免费评估
52,诺丁汉特伦特大学Nottingham Trent University,90.90%,88.40%,4.10%,257.0,55.80%,81.2,免费评估
53,Manchester Metropolitan University,85.10%,80.10%,14.90%,304.0,50.10%,80.6,免费评估
54,斯塔福德郡大学Staffordshire University,92.30%,90.90%,,214.0,58.20%,80.5,免费评估
55,利物浦约翰摩尔斯大学Liverpool John Moores University,88.20%,90.30%,,331.0,44.20%,80.3,免费评估
56,切斯特大学University of Chester,87.40%,82.90%,6.40%,293.0,51.20%,80.2,免费评估
