Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,93.70%,96.30%,58.60%,553,75.80%,100.0,免费评估
2,剑桥大学University of Cambridge,86.90%,86.30%,57.50%,596,78.90%,98.7,免费评估
3,巴斯大学University of Bath,91.20%,92.80%,56.20%,514,77.80%,98.0,免费评估
4,拉夫堡大学Loughborough University,86.80%,89.00%,62.30%,403,80.60%,94.9,免费评估
5,伦敦大学学院University College London,78.40%,86.10%,57.00%,517,78.70%,94.7,免费评估
6,圣安德鲁斯大学University of St Andrews,79.30%,87.30%,45.40%,528,78.50%,93.9,免费评估
7,杜伦大学Durham University,82.90%,86.70%,37.10%,507,79.40%,93.3,免费评估
8,约克大学The University of York,86.50%,93.80%,46.70%,448,67.50%,92.5,免费评估
9,肯特大学University of Kent,81.00%,88.50%,38.80%,406,84.70%,91.7,免费评估
9,伯明翰大学University of Birmingham,74.90%,82.20%,55.80%,421,83.90%,91.7,免费评估
11,纽卡斯尔大学Newcastle University,82.70%,89.30%,50.00%,442,68.40%,91.4,免费评估
12,埃克塞特大学University of Exeter,77.20%,84.60%,43.30%,487,75.10%,91.2,免费评估
13,卡迪夫大学Cardiff University,79.60%,90.20%,55.70%,452,63.50%,90.9,免费评估
14,萨塞克斯大学University of Sussex,77.20%,86.10%,42.30%,405,83.90%,90.7,免费评估
15,格拉斯哥大学University of Glasgow,71.90%,85.80%,52.90%,458,75.10%,90.6,免费评估
16,布里斯托大学University of Bristol,77.60%,86.20%,49.40%,460,63.30%,89.4,免费评估
17,斯旺西大学Swansea University,81.20%,83.90%,44.70%,350,78.90%,89.2,免费评估
18,南安普顿大学University of Southampton,77.40%,85.20%,47.80%,411,70.10%,88.9,免费评估
19,阿伯丁大学University of Aberdeen,81.70%,84.90%,38.70%,428,66.60%,88.6,免费评估
20,诺丁汉大学University of Nottingham,75.10%,84.60%,36.40%,443,71.30%,88.1,免费评估
20,莱斯特大学University of Leicester,87.20%,88.90%,29.60%,370,68.40%,88.1,免费评估
22,伦敦大学皇家霍洛威学院Royal Holloway University of London,79.70%,86.20%,37.80%,446,62.30%,88.0,免费评估
22,华威大学The University of Warwick,78.00%,81.50%,43.10%,449,64.00%,88.0,免费评估
24,东英吉利大学University of East Anglia,85.90%,90.50%,33.20%,418,58.20%,87.9,免费评估
24,兰卡斯特大学Lancaster University,77.30%,84.00%,38.50%,412,71.20%,87.9,免费评估
24,萨里大学University of Surrey,79.10%,86.30%,22.00%,446,73.00%,87.9,免费评估
27,利兹大学University of Leeds,73.70%,86.80%,33.00%,445,71.10%,87.7,免费评估
28,邓迪大学University of Dundee,89.80%,91.00%,22.70%,413,58.60%,87.5,免费评估
29,爱丁堡大学The University of Edinburgh,69.60%,78.10%,52.80%,488,62.20%,87.4,免费评估
30,班戈大学Bangor University,85.70%,91.60%,32.00%,332,67.6%*,87.3,免费评估
31,英国女王大学Queen's University Belfast,81.70%,89.00%,40.20%,380,60.90%,87.1,免费评估
32,University of Strathclyde,87.80%,89.80%,23.50%,451,49.00%,86.3,免费评估
33,林肯大学University of Lincoln,90.50%,93.20%,7.90%,351,66.90%,86.2,免费评估
33,曼彻斯特大学The University of Manchester,76.60%,78.80%,44.90%,419,61.40%,86.2,免费评估
35,埃塞克斯大学University of Essex,83.40%,88.00%,41.00%,321,61.80%,86.0,免费评估
36,阿斯顿大学Aston University,79.10%,80.60%,39.10%,369,65.40%,85.8,免费评估
37,白金汉大学The University of Buckingham,94.70%,96.70%,,249,75.40%,85.5,免费评估
38,阿伯泰邓迪大学University of Abertay Dundee,86.70%,87.30%,15.10%,374,61.90%,85.1,免费评估
