Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,82.8%,83.3%,36.6%,544,87.9%,100.0,免费评估
2,杜伦大学Durham University,88.4%,89.1%,38.9%,429,88.0%,98.3,免费评估
3,伯明翰大学University of Birmingham,91.5%,91.4%,40.9%,378,85.7%,97.5,免费评估
4,格拉斯哥大学University of Glasgow,81.3%,86.9%,32.5%,430,96.2%,96.6,免费评估
5,斯特林大学University of Stirling,80.1%,83.3%,29.2%,438,96.0%,95.7,免费评估
6,邓迪大学University of Dundee,89.2%,87.6%,11.7%,399,97.2%,95.2,免费评估
7,西苏格兰大学University of the West of Scotland,92.5%,91.1%,7.5%,384,92.0%,94.6,免费评估
8,雷丁大学University of Reading,90.2%,88.6%,25.8%,368,87.0%,93.1,免费评估
9,南安普顿大学University of Southampton,91.8%,91.3%,41.1%,411,62.5%,92.2,免费评估
9,爱丁堡大学The University of Edinburgh,71.3%,80.7%,23.1%,432,97.2%,92.2,免费评估
11,University of Strathclyde,74.5%,84.4%,19.8%,450,85.2%,92.0,免费评估
12,曼彻斯特大学The University of Manchester,80.4%,79.1%,46.0%,373,62.5%,91.6,免费评估
13,苏格兰皇家音乐学院Royal Conservatoire of Scotland,76.9%,80.7%,..,438,97.4%,91.2,免费评估
14,西英格兰大学University of the West of England,89.0%,89.0%,5.3%,366,82.7%,91.0,免费评估
15,Northumbria University,82.1%,90.3%,..,338,90.0%,89.8,免费评估
16,布鲁内尔大学Brunel University,81.2%,86.2%,20.4%,338,71.2%,89.4,免费评估
17,布莱顿大学University of Brighton,82.9%,82.6%,1.6%,334,88.6%,89.0,免费评估
18,谢菲尔德大学The University of Sheffield,88.6%,88.1%,32.9%,382,59.0%,88.9,免费评估
18,艾芝西尔大学Edge Hill University,84.7%,86.6%,1.4%,335,81.2%,88.9,免费评估
20,约克大学The University of York,78.0%,78.7%,43.3%,385,73.6%,88.8,免费评估
20,"特威克南圣玛丽大学St Mary's, Twickenham",84.5%,90.0%,1.8%,286,90.2%,88.8,免费评估
22,东英吉利大学University of East Anglia,83.3%,87.9%,27.2%,396,66.7%,88.5,免费评估
23,奇切斯特大学University of Chichester,84.6%,86.4%,..,305,85.1%,88.2,免费评估
24,考文垂大学Coventry University,82.0%,83.5%,18.1%,..,77.3%,88.1,免费评估
25,班戈大学Bangor University,79.4%,81.3%,39.6%,316,75.6%,87.9,免费评估
