Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,86.60%,86.90%,55.70%,636,87.50%,100.0,免费评估
2,圣安德鲁斯大学University of St Andrews,93.60%,93.70%,51.00%,541,81.50%,98.2,免费评估
3,牛津大学University of Oxford,79.50%,82.40%,52.10%,624,87.40%,97.0,免费评估
4,杜伦大学Durham University,81.40%,87.10%,46.20%,603,87.80%,96.6,免费评估
5,华威大学The University of Warwick,86.90%,86.50%,46.10%,525,82.40%,94.9,免费评估
6,伯明翰大学University of Birmingham,89.60%,90.30%,33.80%,535,86.70%,94.8,免费评估
7,曼彻斯特大学The University of Manchester,77.70%,85.40%,44.90%,571,85.30%,94.1,免费评估
8,兰卡斯特大学Lancaster University,86.80%,86.90%,37.60%,487,86.30%,93.3,免费评估
8,巴斯大学University of Bath,87.90%,87.40%,40.00%,493,81.50%,93.3,免费评估
10,埃克塞特大学University of Exeter,82.70%,89.00%,42.40%,492,82.40%,92.9,免费评估
11,南安普顿大学University of Southampton,88.10%,91.60%,44.10%,430,79.20%,92.7,免费评估
12,University of Strathclyde,91.00%,91.40%,45.30%,418,74.80%,92.4,免费评估
13,诺丁汉大学University of Nottingham,83.40%,90.20%,48.30%,453,76.30%,92.3,免费评估
14,布里斯托大学University of Bristol,79.80%,86.60%,43.70%,472,83.20%,92.0,免费评估
15,英国女王大学Queen's University Belfast,85.90%,89.10%,44.40%,411,81.00%,91.9,免费评估
16,利兹大学University of Leeds,83.30%,89.80%,41.80%,451,79.10%,91.5,免费评估
17,萨里大学University of Surrey,84.40%,87.60%,39.60%,451,80.60%,91.4,免费评估
18,格拉斯哥大学University of Glasgow,77.20%,86.10%,42.00%,481,83.30%,91.3,免费评估
19,爱丁堡大学The University of Edinburgh,74.30%,77.50%,48.70%,523,79.00%,90.9,免费评估
20,帝国理工学院Imperial College London,61.90%,67.50%,49.60%,604,88.10%,90.7,免费评估
21,伦敦大学学院University College London,69.40%,80.20%,45.10%,515,85.60%,90.6,免费评估
22,莱斯特大学University of Leicester,86.20%,91.20%,40.80%,395,76.80%,90.5,免费评估
23,约克大学The University of York,80.60%,89.20%,35.80%,418,82.50%,89.7,免费评估
24,谢菲尔德大学The University of Sheffield,83.50%,87.00%,36.80%,434,75.00%,89.2,免费评估
24,King's College London,79.30%,78.40%,35.80%,478,81.20%,89.2,免费评估
26,萨塞克斯大学University of Sussex,81.20%,88.90%,24.70%,390,92.20%,89.1,免费评估
27,利物浦大学The University of Liverpool,82.90%,87.50%,31.50%,403,83.00%,89.0,免费评估
28,拉夫堡大学Loughborough University,85.30%,87.80%,19.00%,399,87.70%,88.1,免费评估
29,邓迪大学University of Dundee,89.80%,92.10%,34.10%,432,60.90%,87.9,免费评估
29,卡迪夫大学Cardiff University,82.00%,92.30%,34.90%,400,72.20%,87.9,免费评估
31,阿伯丁大学University of Aberdeen,87.10%,88.30%,32.00%,411,68.80%,87.6,免费评估
32,Northumbria University,88.90%,88.90%,30.70%,337,,87.4,免费评估
33,基尔大学Keele University,94.20%,94.30%,31.80%,354,60.50%,86.9,免费评估
33,赫尔大学The University of Hull,85.20%,91.00%,24.20%,337,81.40%,86.9,免费评估
33,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.10%,87.40%,31.50%,420,70.90%,86.9,免费评估
36,赫瑞瓦特大学Heriot Watt University,72.50%,82.20%,44.10%,427,69.40%,86.3,免费评估
36,斯旺西大学Swansea University,84.00%,88.10%,33.00%,332,73.80%,86.3,免费评估
38,赫特福德大学University of Hertfordshire,93.10%,92.40%,20.20%,314,72.90%,85.9,免费评估
39,肯特大学University of Kent,75.70%,85.10%,30.70%,343,79.80%,85.1,免费评估
40,朴茨茅斯大学University of Portsmouth,89.40%,91.40%,21.80%,244,72.70%,83.7,免费评估
41,伦敦大学玛丽女王学院Queen Mary University of London,78.80%,81.60%,27.60%,374,69.10%,83.4,免费评估
42,诺丁汉特伦特大学Nottingham Trent University,91.20%,89.50%,20.10%,295,65.80%,83.3,免费评估
42,亚伯大学Aberystwyth University,86.10%,92.20%,12.40%,283,77.90%,83.3,免费评估
44,中央兰开夏大学University of Central Lancashire,74.20%,77.40%,19.80%,325,81.80%,81.9,免费评估
45,西苏格兰大学University of the West of Scotland,85.80%,90.30%,19.10%,347,57.10%,81.6,免费评估
46,索尔福德大学University of Salford,85.30%,91.90%,4.40%,346,47.20%,77.1,免费评估
47,南威尔士大学The University of South Wales,78.10%,72.10%,,334,40.00%,70.7,免费评估
