Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,89.70%,89.40%,65.00%,572,81.70%,100.0,免费评估
2,牛津大学University of Oxford,84.30%,86.30%,58.30%,556,83.90%,97.3,免费评估
3,圣安德鲁斯大学University of St Andrews,95.40%,94.20%,43.20%,478,90.30%,97.1,免费评估
4,杜伦大学Durham University,91.60%,88.20%,54.30%,557,72.10%,96.2,免费评估
5,埃克塞特大学University of Exeter,88.20%,87.40%,45.00%,469,73.30%,91.7,免费评估
6,华威大学The University of Warwick,93.70%,88.40%,45.00%,427,71.50%,91.6,免费评估
7,诺丁汉大学University of Nottingham,86.40%,86.70%,52.00%,399,69.30%,89.9,免费评估
8,伦敦大学学院University College London,80.00%,79.20%,42.70%,470,80.40%,89.8,免费评估
9,纽卡斯尔大学Newcastle University,82.80%,85.90%,44.70%,392,76.10%,88.8,免费评估
10,伯明翰大学University of Birmingham,86.20%,83.20%,40.30%,398,76.30%,88.7,免费评估
11,格拉斯哥大学University of Glasgow,92.90%,90.80%,32.70%,434,57.70%,87.0,免费评估
12,King's College London,78.30%,79.30%,43.60%,431,66.20%,86.0,免费评估
13,伦敦大学皇家霍洛威学院Royal Holloway University of London,91.10%,87.50%,20.40%,411,61.60%,84.2,免费评估
13,利物浦大学The University of Liverpool,86.20%,86.80%,28.90%,375,64.20%,84.2,免费评估
13,爱丁堡大学The University of Edinburgh,79.60%,81.00%,34.90%,471,56.90%,84.2,免费评估
16,雷丁大学University of Reading,87.90%,86.60%,45.20%,360,47.50%,84.0,免费评估
17,布里斯托大学University of Bristol,73.30%,64.90%,42.20%,472,65.00%,83.8,免费评估
18,曼彻斯特大学The University of Manchester,81.90%,82.30%,31.00%,369,62.50%,82.6,免费评估
19,肯特大学University of Kent,82.70%,82.20%,33.10%,321,60.00%,81.5,免费评估
20,利兹大学University of Leeds,74.40%,77.50%,29.10%,402,63.20%,81.0,免费评估
21,斯旺西大学Swansea University,82.50%,81.40%,25.00%,294,69.20%,80.9,免费评估
22,罗汉普顿大学Roehampton University,90.60%,80.80%,,256,49.50%,73.5,免费评估
