Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,伯明翰大学University of Birmingham,87.00%,86.80%,63.70%,402,84.90%,100.0,免费评估
2,埃克塞特大学University of Exeter,88.50%,92.40%,50.80%,431,78.90%,99.4,免费评估
3,巴斯大学University of Bath,87.00%,84.40%,54.00%,442,76.50%,98.3,免费评估
4,格拉斯哥大学University of Glasgow,79.00%,85.30%,42.30%,535,73.10%,97.8,免费评估
5,杜伦大学Durham University,87.80%,90.50%,28.70%,426,81.60%,96.8,免费评估
6,拉夫堡大学Loughborough University,78.20%,85.50%,52.10%,422,80.20%,96.3,免费评估
7,利兹大学University of Leeds,83.50%,92.60%,50.50%,392,69.30%,95.0,免费评估
8,斯旺西大学Swansea University,83.80%,84.20%,38.80%,331,88.10%,94.3,免费评估
9,阿伯丁大学University of Aberdeen,84.60%,87.00%,34.70%,433,66.70%,93.6,免费评估
9,萨里大学University of Surrey,84.10%,88.70%,33.60%,403,,93.6,免费评估
11,爱丁堡大学The University of Edinburgh,71.70%,77.80%,26.10%,438,87.50%,93.0,免费评估
12,朴茨茅斯大学University of Portsmouth,93.60%,94.30%,8.10%,372,73.90%,92.8,免费评估
13,哈德斯菲尔德大学University of Huddersfield,91.70%,94.20%,,336,82.10%,91.9,免费评估
14,斯特林大学University of Stirling,83.60%,89.50%,33.60%,378,65.60%,91.5,免费评估
15,罗伯特高登大学The Robert Gordon University,90.40%,92.30%,4.90%,385,68.60%,90.9,免费评估
16,索尔福德大学University of Salford,89.20%,91.90%,3.80%,386,69.70%,90.7,免费评估
16,考文垂大学Coventry University,92.00%,92.80%,4.50%,309,78.50%,90.7,免费评估
18,布鲁内尔大学Brunel University,81.20%,82.60%,46.40%,380,60.50%,90.6,免费评估
19,林肯大学University of Lincoln,87.50%,91.70%,11.40%,375,64.30%,89.7,免费评估
20,东英吉利大学University of East Anglia,82.30%,84.60%,27.20%,419,56.40%,89.4,免费评估
20,班戈大学Bangor University,80.80%,82.00%,30.60%,376,64.9%*,89.4,免费评估
22,米德塞斯大学Middlesex University,82.30%,83.90%,10.00%,332,80.00%,89.1,免费评估
22,波尔顿大学University of Bolton,91.50%,90.00%,,302,76.80%,89.1,免费评估
22,诺丁汉大学University of Nottingham,78.90%,85.30%,31.40%,366,,89.1,免费评估
25,利物浦约翰摩尔斯大学Liverpool John Moores University,76.60%,80.70%,45.30%,371,60.20%,88.8,免费评估
25,布莱顿大学University of Brighton,86.90%,87.10%,10.90%,356,67.00%,88.8,免费评估
27,阿尔斯特大学University of Ulster,81.60%,87.30%,31.00%,347,61.50%,88.6,免费评估
28,切斯特大学University of Chester,91.90%,88.60%,6.60%,322,67.10%,88.5,免费评估
29,肯特大学University of Kent,73.70%,81.70%,21.00%,366,75.20%,88.4,免费评估
30,赫尔大学The University of Hull,84.20%,86.40%,14.20%,379,61.10%,88.1,免费评估
31,利物浦霍普大学Liverpool Hope University,92.20%,96.20%,10.90%,312,58.40%,87.9,免费评估
32,诺丁汉特伦特大学Nottingham Trent University,86.80%,87.30%,7.30%,339,65.50%,87.5,免费评估
33,奇切斯特大学University of Chichester,86.20%,90.00%,15.20%,317,62.30%,87.3,免费评估
34,斯塔福德郡大学Staffordshire University,88.70%,90.20%,19.10%,303,59.30%,87.2,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,80.10%,86.20%,7.70%,355,68.40%,87.1,免费评估
36,伦敦南岸大学London South Bank University,84.10%,89.30%,35.00%,216,69.60%,87.0,免费评估
37,伯恩茅斯大学Bournemouth University,81.70%,87.40%,9.00%,321,68.60%,86.7,免费评估
38,格罗斯特大学University of Gloucestershire,84.00%,86.20%,6.00%,368,59.80%,86.5,免费评估
39,Northumbria University,80.90%,84.20%,4.40%,384,61.80%,86.3,免费评估
39,赫特福德大学University of Hertfordshire,83.40%,83.20%,0.90%,314,73.60%,86.3,免费评估
39,西苏格兰大学University of the West of Scotland,84.20%,88.00%,9.10%,347,59.30%,86.3,免费评估
42,中央兰开夏大学University of Central Lancashire,87.90%,86.70%,5.10%,336,59.70%,86.2,免费评估
43,谢菲尔德哈莱姆大学Sheffield Hallam University,86.80%,89.70%,8.50%,331,57.60%,86.1,免费评估
44,剑桥安鲁大学Anglia Ruskin University,92.70%,93.50%,,284,60.50%,86.0,免费评估
45,埃塞克斯大学University of Essex,76.50%,86.30%,25.80%,346,57.10%,85.9,免费评估
45,伍斯特大学University of Worcester,79.00%,84.20%,4.90%,333,70.30%,85.9,免费评估
47,"特威克南圣玛丽大学St Mary's, Twickenham",79.70%,84.80%,4.80%,310,71.40%,85.6,免费评估
48,利兹贝克特大学Leeds Beckett University,76.00%,84.10%,12.60%,338,66.40%,85.5,免费评估
