Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,纽卡斯尔大学Newcastle University,90.90%,91.30%,37.80%,431,86.70%,100.0,免费评估
2,拉夫堡大学Loughborough University,82.90%,87.90%,62.30%,393,77.90%,98.1,免费评估
3,谢菲尔德大学The University of Sheffield,89.30%,91.00%,37.90%,403,83.60%,97.8,免费评估
4,兰卡斯特大学Lancaster University,85.30%,81.80%,51.40%,391,81.80%,97.0,免费评估
5,利兹大学University of Leeds,76.00%,85.60%,54.50%,411,70.50%,94.4,免费评估
6,卡迪夫大学Cardiff University,85.50%,88.80%,55.40%,375,63.90%,94.2,免费评估
7,莱斯特大学University of Leicester,86.10%,89.20%,46.10%,385,66.20%,93.8,免费评估
7,华威大学The University of Warwick,84.10%,82.10%,61.70%,427,51.70%,93.8,免费评估
9,King's College London,81.30%,77.10%,55.80%,431,57.00%,93.0,免费评估
10,肯特大学University of Kent,94.70%,94.10%,,339,93.30%,92.8,免费评估
11,东英吉利大学University of East Anglia,81.00%,83.60%,43.80%,417,62.40%,92.3,免费评估
12,伦敦大学玛丽女王学院Queen Mary University of London,88.10%,88.00%,35.10%,419,56.60%,92.0,免费评估
12,萨塞克斯大学University of Sussex,74.90%,81.80%,43.60%,353,82.60%,92.0,免费评估
14,斯特林大学University of Stirling,86.40%,87.20%,36.00%,409,56.70%,91.3,免费评估
15,伦敦大学金史密斯学院Goldsmiths University of London,78.00%,77.60%,60.00%,392,56.10%,91.1,免费评估
16,英国女王大学Queen's University Belfast,91.20%,96.60%,38.30%,347*,49.80%,89.7,免费评估
17,伦敦城市大学City University London,77.10%,79.10%,30.10%,409,67.60%,89.6,免费评估
18,南安普顿大学University of Southampton,84.00%,86.10%,42.70%,370,50.00%,88.6,免费评估
19,基尔大学Keele University,82.60%,84.00%,25.00%,347,68.90%,88.2,免费评估
20,埃克塞特大学University of Exeter,99.10%,88.00%,,429,47.7%*,87.9,免费评估
21,University of Strathclyde,78.10%,81.80%,39.40%,442,40.00%,87.4,免费评估
22,萨里大学University of Surrey,68.00%,74.80%,30.20%,399,68.40%,86.8,免费评估
23,利物浦大学The University of Liverpool,81.90%,85.00%,27.50%,363,56.50%,86.7,免费评估
24,伦敦大学皇家霍洛威学院Royal Holloway University of London,76.80%,74.10%,38.10%,383,52.40%,86.0,免费评估
25,斯旺西大学Swansea University,88.80%,90.70%,18.50%,304,59.60%,85.6,免费评估
26,索尔福德大学University of Salford,77.00%,77.20%,36.90%,369,51.10%,85.3,免费评估
27,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,72.30%,75.90%,15.20%,404,62.90%,84.8,免费评估
28,德蒙福特大学De Montfort University,80.40%,82.50%,31.20%,273,66.20%,84.7,免费评估
28,罗伯特高登大学The Robert Gordon University,75.70%,74.20%,7.50%,371,72.50%,84.7,免费评估
30,利物浦霍普大学Liverpool Hope University,94.20%,93.30%,,269,68.50%,84.6,免费评估
31,利兹贝克特大学Leeds Beckett University,87.70%,91.50%,11.00%,286,64.30%,84.5,免费评估
31,考文垂大学Coventry University,87.00%,87.30%,18.10%,292,61.00%,84.5,免费评估
31,牛津布鲁克斯大学Oxford Brookes University,83.00%,86.80%,25.30%,333,51.40%,84.5,免费评估
34,威斯敏斯特大学University of Westminster,74.10%,80.20%,28.30%,351,58.30%,84.4,免费评估
34,Northumbria University,81.50%,83.80%,22.20%,354,51.80%,84.4,免费评估
34,林肯大学University of Lincoln,80.40%,83.50%,4.00%,348,68.30%,84.4,免费评估
37,利物浦约翰摩尔斯大学Liverpool John Moores University,86.90%,89.90%,6.20%,332,58.40%,84.3,免费评估
38,班戈大学Bangor University,88.20%,89.70%,24.70%,319,45.80%,84.2,免费评估
39,诺丁汉特伦特大学Nottingham Trent University,82.90%,86.50%,10.00%,291,69.60%,84.0,免费评估
40,伯恩茅斯大学Bournemouth University,74.30%,79.70%,15.10%,347,65.00%,83.6,免费评估
41,布鲁内尔大学Brunel University,80.00%,77.10%,23.00%,322,59.30%,83.5,免费评估
42,罗汉普顿大学Roehampton University,84.80%,87.80%,26.40%,248,60.40%,83.4,免费评估
43,法尔茅斯大学Falmouth University,80.70%,80.90%,,289,75.30%,82.4,免费评估
44,朴茨茅斯大学University of Portsmouth,83.60%,83.00%,12.80%,301,57.90%,82.2,免费评估
45,桑德兰大学University of Sunderland,80.00%,82.10%,13.00%,303,60.50%,82.0,免费评估
46,龙比亚大学Napier University,77.00%,75.20%,9.50%,377,53.20%,81.8,免费评估
47,阿尔斯特大学University of Ulster,78.60%,83.00%,34.00%,293,45.10%,81.4,免费评估
47,西英格兰大学University of the West of England,84.00%,86.10%,18.60%,286,50.40%,81.4,免费评估
49,金斯顿大学Kingston University,81.40%,84.30%,15.70%,299,49.70%,80.6,免费评估
50,伯明翰城市大学Birmingham City University,73.50%,74.80%,6.00%,336,62.40%,80.5,免费评估
51,剑桥安鲁大学Anglia Ruskin University,87.90%,90.30%,26.40%,244,41.10%,80.3,免费评估
52,哈德斯菲尔德大学University of Huddersfield,78.90%,79.40%,,301,64.30%,80.2,免费评估
53,南安普顿索伦特大学Southampton Solent University,82.80%,86.50%,0.80%,274,56.80%,79.3,免费评估
54,Manchester Metropolitan University,67.60%,66.10%,29.00%,328,51.80%,79.1,免费评估
55,创意艺术大学University for the Creative Arts,84.60%,84.40%,3.40%,267,52.70%,78.7,免费评估
55,玛格丽特女王大学Queen Margaret University,76.30%,77.90%,14.00%,343,41.50%,78.7,免费评估
