Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,格拉斯哥大学University of Glasgow,83.2%,86.7%,42.3%,189.0,75.0%,100.0,免费评估
2,诺丁汉大学University of Nottingham,75.8%,79.3%,36.4%,146.0,80.3%,90.4,免费评估
3,亚伯大学Aberystwyth University,87.3%,84.5%,38.2%,120.0,65.7%,88.4,免费评估
4,雷丁大学University of Reading,77.0%,79.6%,50.7%,123.0,50.0%,86.7,免费评估
5,诺丁汉特伦特大学Nottingham Trent University,91.6%,89.7%,4.1%,149.0,52.7%,86.2,免费评估
6,利物浦大学The University of Liverpool,,,32.9%,144.0,65.7%,85.4,免费评估
7,林肯大学University of Lincoln,85.0%,83.6%,,147.0,56.0%,83.2,免费评估
8,米德塞斯大学Middlesex University,73.4%,62.1%,,143.0,100.0%,82.5,免费评估
9,布里斯托大学University of Bristol,,,33.2%,168.0,23.5%,81.3,免费评估
10,皇家兽医学院Royal Veterinary College,79.9%,80.4%,,143.0,57.6%,81.2,免费评估
11,哈珀亚当斯大学Harper Adams University,84.5%,81.7%,5.7%,140.0,36.8%,80.8,免费评估
12,普利茅斯大学University of Plymouth,80.5%,77.5%,,141.0,27.4%,77.3,免费评估
13,龙比亚大学Napier University,78.9%,66.8%,,164.0,3.2%,76.6,免费评估
14,切斯特大学University of Chester,74.6%,77.5%,7.9%,134.0,25.9%,76.2,免费评估
15,格林威治大学The University of Greenwich,,,19.5%,131.0,21.8%,75.9,免费评估
16,剑桥安鲁大学Anglia Ruskin University,63.6%,62.7%,24.6%,123.0,30.0%,74.2,免费评估
17,牛津布鲁克斯大学Oxford Brookes University,68.3%,65.9%,21.3%,,12.2%,72.3,免费评估
18,坎特伯雷大学Canterbury Christ Church University,,,,103.0,20.8%,68.0,免费评估
