Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,爱丁堡大学The University of Edinburgh,91.1%,93.0%,53.4%,176,97.9%,100.0,免费评估
2,格拉斯哥大学University of Glasgow,91.6%,89.5%,42.3%,183,97.9%,99.6,免费评估
3,利物浦大学The University of Liverpool,89.5%,85.3%,35.3%,152,100.0%,96.1,免费评估
4,朴茨茅斯大学University of Portsmouth,91.5%,92.8%,24.3%,,100.0%,96.0,免费评估
5,伯明翰大学University of Birmingham,88.0%,83.4%,37.0%,152,98.6%,95.4,免费评估
6,萨里大学University of Surrey,81.4%,81.8%,37.5%,159,98.4%,95.1,免费评估
7,利兹大学University of Leeds,83.4%,78.6%,31.7%,157,99.5%,94.9,免费评估
8,布鲁内尔大学Brunel University,87.3%,89.0%,18.2%,,100.0%,94.2,免费评估
9,玛格丽特女王大学Queen Margaret University,96.7%,91.0%,1.5%,160,97.3%,94.0,免费评估
10,班戈大学Bangor University,81.3%,76.2%,34.7%,144,100.0%,93.6,免费评估
11,英国女王大学Queen's University Belfast,84.5%,83.8%,34.7%,144,97.9%,93.5,免费评估
12,曼彻斯特大学The University of Manchester,,,57.1%,148,97.8%,93.4,免费评估
13,约克大学The University of York,80.0%,74.6%,40.2%,153,96.6%,93.2,免费评估
14,南安普顿大学University of Southampton,60.9%,54.3%,65.7%,153,99.6%,93.1,免费评估
14,基尔大学Keele University,87.6%,85.5%,20.9%,139,99.6%,93.1,免费评估
16,伦敦城市大学City University London,87.9%,84.7%,19.2%,142,99.1%,93.0,免费评估
16,东英吉利大学University of East Anglia,79.4%,76.3%,24.9%,152,99.3%,93.0,免费评估
18,诺丁汉大学University of Nottingham,76.8%,68.7%,31.4%,155,98.9%,92.8,免费评估
18,Manchester Metropolitan University,87.9%,87.8%,12.0%,142,99.6%,92.8,免费评估
20,哈德斯菲尔德大学University of Huddersfield,85.5%,82.3%,13.2%,152,98.1%,92.5,免费评估
21,伦敦国王学院King's College London,76.5%,77.0%,34.6%,146,98.2%,92.3,免费评估
22,南威尔士大学The University of South Wales,89.8%,83.0%,2.2%,147,99.1%,92.1,免费评估
22,Northumbria University,82.6%,77.6%,14.0%,148,99.2%,92.1,免费评估
24,考文垂大学Coventry University,89.3%,87.1%,4.5%,143,98.8%,92.0,免费评估
25,阿尔斯特大学University of Ulster,82.5%,83.0%,27.7%,135,98.3%,91.9,免费评估
25,卡迪夫大学Cardiff University,72.9%,66.0%,36.8%,149,98.7%,91.9,免费评估
27,斯旺西大学Swansea University,88.2%,86.4%,14.5%,139,97.2%,91.6,免费评估
28,伯明翰城市大学Birmingham City University,86.7%,79.8%,1.5%,147,98.7%,91.3,免费评估
29,利物浦约翰摩尔斯大学Liverpool John Moores University,84.7%,84.2%,6.0%,144,98.3%,91.2,免费评估
30,布拉德福德大学University of Bradford,86.3%,83.6%,9.5%,138,98.4%,91.1,免费评估
31,利兹贝克特大学Leeds Beckett University,91.3%,88.1%,3.5%,131,99.0%,91.0,免费评估
32,切斯特大学University of Chester,85.8%,82.1%,12.0%,132,99.2%,90.9,免费评估
33,赫尔大学The University of Hull,83.8%,78.6%,16.7%,138,97.7%,90.8,免费评估
