Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,58.7%,222,92.4%,100.0,免费评估
2,牛津大学University of Oxford,,,51.8%,216,85.6%,95.2,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,75.9%,72.3%,64.5%,209,84.6%,94.1,免费评估
4,格拉斯哥大学University of Glasgow,79.1%,83.1%,33.8%,227,83.6%,92.8,免费评估
5,伦敦大学学院University College London,71.3%,68.6%,57.7%,204,87.1%,91.9,免费评估
6,诺丁汉大学University of Nottingham,82.9%,83.8%,45.2%,184,80.5%,91.8,免费评估
7,杜伦大学Durham University,82.8%,78.7%,32.8%,208,83.6%,91.7,免费评估
8,约克大学The University of York,87.3%,90.6%,30.3%,166,85.2%,91.5,免费评估
8,利兹大学University of Leeds,87.3%,89.1%,40.1%,170,78.9%,91.5,免费评估
10,阿伯丁大学University of Aberdeen,81.5%,80.9%,20.9%,193,92.5%,91.0,免费评估
11,爱丁堡大学The University of Edinburgh,70.0%,75.0%,40.8%,216,86.5%,90.6,免费评估
12,布里斯托大学University of Bristol,78.0%,76.4%,50.5%,189,78.6%,90.5,免费评估
13,邓迪大学University of Dundee,86.3%,86.4%,16.3%,174,90.4%,90.4,免费评估
14,肯特大学University of Kent,83.4%,83.1%,43.9%,143,85.1%,90.0,免费评估
15,伦敦国王学院King's College London,,,39.2%,211,83.1%,89.4,免费评估
16,University of Strathclyde,77.1%,76.4%,29.4%,211,77.8%,88.6,免费评估
17,英国女王大学Queen's University Belfast,76.6%,73.2%,40.3%,158,88.1%,88.5,免费评估
18,兰卡斯特大学Lancaster University,77.0%,78.5%,38.9%,154,85.1%,88.1,免费评估
18,阿伯泰邓迪大学University of Abertay Dundee,93.6%,90.1%,1.2%,146,88.0%,88.1,免费评估
20,华威大学The University of Warwick,,,41.9%,182,80.6%,88.0,免费评估
21,朴茨茅斯大学University of Portsmouth,83.6%,82.3%,32.2%,130,82.9%,87.1,免费评估
21,伦敦大学玛丽女王学院Queen Mary University of London,76.0%,74.2%,23.7%,194,82.1%,87.1,免费评估
21,基尔大学Keele University,81.6%,79.9%,30.5%,127,88.4%,87.1,免费评估
24,埃克塞特大学University of Exeter,78.5%,78.8%,21.4%,179,82.6%,87.0,免费评估
25,伯明翰大学University of Birmingham,78.1%,68.6%,33.6%,159,83.5%,86.4,免费评估
26,东英吉利大学University of East Anglia,81.9%,81.2%,26.5%,157,77.0%,86.2,免费评估
27,谢菲尔德大学The University of Sheffield,75.7%,77.6%,31.9%,155,82.2%,86.1,免费评估
28,萨塞克斯大学University of Sussex,79.3%,81.2%,23.3%,141,84.6%,85.8,免费评估
29,雷丁大学University of Reading,73.7%,76.8%,31.2%,146,85.7%,85.7,免费评估
30,斯旺西大学Swansea University,82.4%,82.3%,20.4%,126,85.9%,85.5,免费评估
31,阿尔斯特大学University of Ulster,86.6%,82.2%,48.5%,127,62.6%,85.4,免费评估
32,赫瑞瓦特大学Heriot Watt University,76.8%,73.4%,18.8%,165,84.7%,85.2,免费评估
33,纽卡斯尔大学Newcastle University,77.6%,75.0%,25.4%,177,73.3%,84.8,免费评估
