Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,格拉斯哥大学University of Glasgow,93.1%,90.2%,29.3%,225.0,98.4%,100.0,免费评估
2,邓迪大学University of Dundee,97.4%,94.6%,22.1%,216.0,100.0%,98.3,免费评估
3,纽卡斯尔大学Newcastle University,97.0%,95.2%,43.6%,193.0,98.6%,97.5,免费评估
4,曼彻斯特大学The University of Manchester,87.8%,85.6%,57.1%,193.0,98.5%,95.9,免费评估
5,英国女王大学Queen's University Belfast,91.2%,91.1%,50.7%,184.0,98.8%,94.5,免费评估
6,伦敦国王学院King's College London,89.6%,88.7%,40.9%,187.0,98.2%,92.1,免费评估
7,布里斯托大学University of Bristol,82.9%,80.1%,47.1%,195.0,99.0%,92.0,免费评估
8,伦敦大学玛丽女王学院Queen Mary University of London,74.5%,76.0%,48.3%,206.0,98.1%,91.6,免费评估
9,卡迪夫大学Cardiff University,88.2%,88.2%,36.8%,189.0,99.2%,91.2,免费评估
10,利物浦大学The University of Liverpool,,,31.7%,179.0,99.2%,90.2,免费评估
11,谢菲尔德大学The University of Sheffield,95.6%,95.2%,28.5%,177.0,98.3%,89.9,免费评估
12,伯明翰大学University of Birmingham,88.4%,85.8%,19.2%,197.0,99.2%,88.9,免费评估
13,中央兰开夏大学University of Central Lancashire,93.6%,91.8%,8.3%,,100.0%,86.9,免费评估
14,利兹大学University of Leeds,76.0%,78.6%,31.7%,190.0,98.5%,85.1,免费评估
15,普利茅斯大学University of Plymouth,80.9%,81.4%,9.5%,191.0,98.3%,82.6,免费评估
