Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,75.5%,77.6%,67.0%,241,93.0%,100.0,免费评估
2,帝国理工学院Imperial College London,79.1%,84.9%,65.0%,219,90.6%,98.8,免费评估
3,南安普顿大学University of Southampton,87.1%,88.4%,53.3%,184,92.7%,97.0,免费评估
4,University of Strathclyde,83.8%,82.8%,41.7%,218,84.3%,94.8,免费评估
5,布里斯托大学University of Bristol,,,52.3%,178,89.2%,93.6,免费评估
6,爱丁堡大学The University of Edinburgh,75.5%,81.2%,50.3%,195,88.4%,93.2,免费评估
7,萨里大学University of Surrey,87.9%,87.4%,36.3%,187,83.7%,92.8,免费评估
8,格拉斯哥大学University of Glasgow,69.5%,73.5%,47.2%,209,92.6%,92.7,免费评估
9,利兹大学University of Leeds,83.1%,87.3%,41.8%,161,88.4%,91.6,免费评估
10,曼彻斯特大学The University of Manchester,78.9%,85.1%,37.0%,176,90.5%,91.4,免费评估
11,巴斯大学University of Bath,84.0%,89.3%,28.6%,170,90.4%,91.3,免费评估
12,英国女王大学Queen's University Belfast,80.8%,79.7%,47.3%,146,94.2%,91.2,免费评估
13,诺丁汉大学University of Nottingham,82.6%,84.8%,40.8%,155,90.3%,91.0,免费评估
14,谢菲尔德大学The University of Sheffield,81.5%,83.1%,42.6%,151,92.0%,90.9,免费评估
14,伦敦大学学院University College London,68.7%,72.6%,59.0%,188,86.0%,90.9,免费评估
16,纽卡斯尔大学Newcastle University,83.9%,83.6%,39.4%,151,86.8%,89.8,免费评估
17,埃塞克斯大学University of Essex,88.2%,87.0%,34.3%,125,90.5%,89.2,免费评估
18,埃克塞特大学University of Exeter,77.8%,81.7%,36.4%,166,86.7%,89.0,免费评估
19,兰卡斯特大学Lancaster University,73.9%,80.8%,41.6%,162,87.8%,88.8,免费评估
20,拉夫堡大学Loughborough University,83.8%,87.2%,23.8%,146,91.0%,88.6,免费评估
20,伯明翰大学University of Birmingham,80.6%,83.9%,32.1%,149,89.7%,88.6,免费评估
22,斯旺西大学Swansea University,75.8%,79.6%,45.5%,132,89.7%,87.7,免费评估
22,卡迪夫大学Cardiff University,82.1%,85.1%,30.2%,151,84.2%,87.7,免费评估
24,Northumbria University,89.0%,90.4%,30.7%,151,75.0%,87.6,免费评估
25,赫瑞瓦特大学Heriot Watt University,69.5%,71.7%,47.8%,171,82.7%,87.3,免费评估
26,约克大学The University of York,85.1%,83.3%,21.4%,150,81.9%,86.3,免费评估
27,布鲁内尔大学Brunel University,81.5%,79.6%,26.4%,136,83.3%,85.0,免费评估
28,肯特大学University of Kent,75.5%,78.0%,27.3%,141,85.4%,84.6,免费评估
29,罗伯特高登大学The Robert Gordon University,80.9%,83.9%,8.8%,183,72.6%,84.0,免费评估
30,考文垂大学Coventry University,84.0%,89.2%,10.3%,128,83.8%,83.8,免费评估
31,贝德福德大学University of Bedfordshire,83.2%,86.7%,9.1%,,76.9%*,83.5,免费评估
32,西英格兰大学University of the West of England,85.1%,79.0%,10.6%,136,81.6%,83.1,免费评估
32,伦敦大学玛丽女王学院Queen Mary University of London,64.8%,69.5%,41.9%,148,81.7%,83.1,免费评估
34,利物浦约翰摩尔斯大学Liverpool John Moores University,86.3%,85.4%,8.7%,148,74.5%,83.0,免费评估
34,利物浦大学The University of Liverpool,81.2%,82.2%,30.4%,135,72.0%,83.0,免费评估
36,班戈大学Bangor University,80.2%,81.3%,31.9%,117,77.4%,82.8,免费评估
36,阿伯丁大学University of Aberdeen,67.1%,73.3%,28.4%,170*,77.3%,82.8,免费评估
38,布莱顿大学University of Brighton,85.0%,82.1%,7.4%,124,82.4%,82.1,免费评估
39,哈德斯菲尔德大学University of Huddersfield,85.6%,84.8%,10.2%,126,76.6%,81.7,免费评估
39,谢菲尔德哈莱姆大学Sheffield Hallam University,78.2%,78.7%,17.8%,119,83.6%,81.7,免费评估
41,普利茅斯大学University of Plymouth,81.7%,84.4%,13.3%,122,78.8%,81.5,免费评估
42,朴茨茅斯大学University of Portsmouth,76.3%,76.6%,7.2%,126,89.0%,81.4,免费评估
42,伦敦城市大学City University London,77.8%,80.5%,20.2%,140,73.5%,81.4,免费评估
44,阿斯顿大学Aston University,76.2%,76.4%,25.8%,134,74.8%,81.2,免费评估
45,阿尔斯特大学University of Ulster,73.4%,70.9%,22.8%,121,83.3%,80.7,免费评估
46,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.2%,79.1%,4.7%,164,68.5%,80.0,免费评估
47,德比大学University of Derby,80.3%,80.9%,6.7%,121,78.4%,79.7,免费评估
47,桑德兰大学University of Sunderland,84.5%,80.7%,,80,92.3%,79.7,免费评估
49,雷丁大学University of Reading,68.7%,64.1%,16.3%,133,83.8%,79.1,免费评估
49,中央兰开夏大学University of Central Lancashire,74.4%,71.8%,11.7%,127*,80.0%,79.1,免费评估
51,萨塞克斯大学University of Sussex,66.0%,66.4%,24.0%,133,78.9%,78.7,免费评估
52,东伦敦大学University of East London,84.8%,88.8%,2.3%,,61.9%,78.1,免费评估
53,赫尔大学The University of Hull,71.7%,67.9%,16.5%,118,78.6%,77.7,免费评估
54,剑桥安鲁大学Anglia Ruskin University,90.6%,86.3%,9.1%,107*,60.0%,77.3,免费评估
55,威斯敏斯特大学University of Westminster,88.7%,88.2%,2.9%,116,59.6%,76.9,免费评估
56,波尔顿大学University of Bolton,73.6%,75.8%,,127*,75.0%,76.4,免费评估
56,德蒙福特大学De Montfort University,73.0%,73.3%,12.5%,99,78.1%,76.4,免费评估
58,赫特福德大学University of Hertfordshire,80.2%,82.4%,16.5%,121,56.3%,76.0,免费评估
59,伦敦南岸大学London South Bank University,68.0%,71.5%,19.6%,111,72.0%,75.6,免费评估
59,格林威治大学The University of Greenwich,76.1%,77.5%,7.5%,130*,62.7%,75.6,免费评估
61,伯明翰城市大学Birmingham City University,80.3%,77.8%,,125,63.2%,75.2,免费评估
62,蒂赛德大学Teesside University,76.5%,73.3%,5.8%,121,64.4%,74.7,免费评估
63,索尔福德大学University of Salford,73.5%,70.4%,4.4%,135,62.3%,74.2,免费评估
64,Manchester Metropolitan University,59.0%,62.2%,16.3%,135,70.3%,73.8,免费评估
65,布拉德福德大学University of Bradford,73.3%,78.3%,,115*,57.1%,71.5,免费评估
66,斯塔福德郡大学Staffordshire University,56.6%,57.5%,5.7%,140,63%*,69.9,免费评估
67,南威尔士大学The University of South Wales,56.5%,54.3%,,125*,69.4%,69.1,免费评估
