Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,39.2%,210.0,82.4%,100.0,免费评估
2,布里斯托大学University of Bristol,86.7%,81.1%,46.7%,167.0,70.5%,97.8,免费评估
3,埃克塞特大学University of Exeter,83.4%,78.8%,41.0%,167.0,73.2%,96.4,免费评估
4,巴斯大学University of Bath,79.8%,75.7%,43.4%,161.0,77.3%,95.4,免费评估
5,格拉斯哥大学University of Glasgow,78.3%,81.5%,41.8%,199.0,56.5%,95.1,免费评估
6,爱丁堡大学The University of Edinburgh,76.3%,73.4%,48.8%,193.0,61.9%,94.9,免费评估
7,曼彻斯特大学The University of Manchester,,,50.4%,148.0,68.6%,94.4,免费评估
8,伯明翰大学University of Birmingham,82.6%,76.9%,31.1%,154.0,77.4%,94.2,免费评估
9,萨里大学University of Surrey,84.4%,82.5%,30.2%,162.0,63.9%,93.8,免费评估
10,拉夫堡大学Loughborough University,84.3%,85.7%,40.6%,136.0,65.0%,93.7,免费评估
11,肯特大学University of Kent,73.9%,73.5%,59.0%,127.0,80.4%,93.4,免费评估
12,谢菲尔德大学The University of Sheffield,,,26.8%,144.0,72.5%,93.3,免费评估
12,利兹大学University of Leeds,78.9%,79.6%,47.6%,154.0,62.1%,93.3,免费评估
14,华威大学The University of Warwick,78.8%,82.2%,31.7%,164.0,67.5%,93.1,免费评估
15,萨塞克斯大学University of Sussex,83.3%,82.1%,29.7%,136.0,72.8%,92.8,免费评估
16,基尔大学Keele University,86.0%,84.1%,25.0%,127.0,73.7%,92.6,免费评估
17,班戈大学Bangor University,86.9%,82.8%,39.6%,130.0,59.5%,92.5,免费评估
18,伦敦国王学院King's College London,76.2%,82.3%,42.2%,158.0,,92.2,免费评估
19,约克大学The University of York,75.3%,73.9%,45.1%,141.0,73.5%,92.0,免费评估
19,伦敦政治经济学院The London School of Economics and Political Science,71.1%,65.1%,45.2%,174.0,72.1%,92.0,免费评估
21,阿伯丁大学University of Aberdeen,81.0%,78.4%,31.0%,186.0,49.3%,91.9,免费评估
22,兰卡斯特大学Lancaster University,78.9%,74.8%,51.4%,149.0,56.6%,91.8,免费评估
23,诺丁汉大学University of Nottingham,78.6%,77.9%,43.5%,143.0,62.0%,91.5,免费评估
24,阿斯顿大学Aston University,82.7%,79.8%,38.6%,130.0,58.0%,90.6,免费评估
25,埃塞克斯大学University of Essex,76.4%,78.1%,44.3%,132.0,63.4%,90.4,免费评估
26,纽卡斯尔大学Newcastle University,79.3%,78.6%,30.3%,146.0,61.9%,90.2,免费评估
27,考文垂大学Coventry University,85.9%,85.1%,5.6%,119.0,76.4%,90.1,免费评估
28,朴茨茅斯大学University of Portsmouth,85.1%,81.4%,32.2%,115.0,61.1%,89.9,免费评估
28,莱斯特大学University of Leicester,81.7%,82.4%,18.4%,130.0,69.7%,89.9,免费评估
30,东英吉利大学University of East Anglia,86.2%,83.5%,45.8%,,38.8%*,89.5,免费评估
31,林肯大学University of Lincoln,87.0%,90.0%,,126.0,67.8%*,89.4,免费评估
32,斯特林大学University of Stirling,82.4%,75.7%,33.8%,159.0,42.8%,89.1,免费评估
33,南安普顿大学University of Southampton,72.9%,70.8%,52.8%,138.0,53.8%,88.4,免费评估
34,普利茅斯大学University of Plymouth,93.7%,84.5%,16.0%,97.0,55.6%,88.3,免费评估
35,布拉德福德大学University of Bradford,81.1%,79.6%,10.6%,129.0,67.1%,87.8,免费评估
36,杜伦大学Durham University,70.4%,69.6%,28.7%,167.0,58.7%,87.5,免费评估
37,哈德斯菲尔德大学University of Huddersfield,83.8%,77.4%,9.5%,113.0,69.1%,87.2,免费评估
37,牛津布鲁克斯大学Oxford Brookes University,78.3%,76.0%,17.8%,122.0,68.2%,87.2,免费评估
37,纽曼大学Newman University,91.0%,86.7%,2.2%,101.0,,87.2,免费评估
40,Northumbria University,79.2%,80.1%,12.7%,141.0,57.4%,87.0,免费评估
41,诺丁汉特伦特大学Nottingham Trent University,84.1%,81.3%,5.1%,125.0,60.3%,86.7,免费评估
42,利物浦大学The University of Liverpool,,,24.5%,140.0,51.2%,86.6,免费评估
43,格罗斯特大学University of Gloucestershire,85.9%,86.1%,14.5%,115.0,48.3%,86.4,免费评估
44,阿伯泰邓迪大学University of Abertay Dundee,82.8%,73.2%,5.0%,141.0,59.0%,86.3,免费评估
45,中央兰开夏大学University of Central Lancashire,78.5%,75.6%,11.8%,121.0,67.7%,86.2,免费评估
46,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,80.2%,72.9%,12.7%,178.0,38.5%,86.0,免费评估
47,龙比亚大学Napier University,79.1%,75.9%,5.3%,150.0,55.0%,85.7,免费评估
48,英国女王大学Queen's University Belfast,73.9%,79.5%,26.2%,132.0,51.9%,85.6,免费评估
48,卡迪夫大学Cardiff University,72.9%,69.6%,30.8%,143.0,52.4%,85.6,免费评估
50,西苏格兰大学University of the West of Scotland,82.7%,75.2%,9.4%,140.0,50.0%,85.5,免费评估
51,玛格丽特女王大学Queen Margaret University,82.5%,78.4%,,118.0,64.0%,85.3,免费评估
51,布鲁内尔大学Brunel University,75.3%,73.7%,26.0%,124.0,56.9%,85.3,免费评估
53,University of Strathclyde,78.9%,78.5%,31.9%,,45.0%*,85.2,免费评估
53,伦敦大学金史密斯学院Goldsmiths University of London,,,33.4%,116.0,42.8%,85.2,免费评估
55,西英格兰大学University of the West of England,80.5%,79.9%,10.9%,121.0,54.6%,85.1,免费评估
55,罗伯特高登大学The Robert Gordon University,75.4%,76.7%,4.9%,163.0,51.2%,85.1,免费评估
57,斯塔福德郡大学Staffordshire University,87.1%,84.5%,,113.0,50.8%,84.8,免费评估
58,索尔福德大学University of Salford,82.3%,77.4%,27.7%,116.0,39.9%,84.6,免费评估
58,伦敦城市大学City University London,81.0%,80.2%,19.2%,124.0,42.9%,84.6,免费评估
60,贝德福德大学University of Bedfordshire,86.1%,82.3%,16.3%,81.0,54.5%,84.5,免费评估
61,赫尔大学The University of Hull,73.5%,72.3%,14.3%,126.0,63.0%,84.4,免费评估
61,东伦敦大学University of East London,83.9%,81.6%,13.7%,111.0,46.7%,84.4,免费评估
63,Manchester Metropolitan University,80.0%,76.7%,14.9%,121.0,49.0%,84.1,免费评估
64,伦敦大学皇家霍洛威学院Royal Holloway University of London,78.7%,76.6%,,137.0,55.2%,84.0,免费评估
65,伯恩茅斯大学Bournemouth University,79.1%,77.0%,4.7%,110.0,62.5%,83.9,免费评估
66,利物浦约翰摩尔斯大学Liverpool John Moores University,80.0%,79.5%,5.8%,124.0,50.0%,83.7,免费评估
67,罗汉普顿大学Roehampton University,74.9%,71.3%,24.9%,94.0,63.7%,83.5,免费评估
68,谢菲尔德哈莱姆大学Sheffield Hallam University,82.5%,79.6%,14.4%,115.0,41.7%,83.4,免费评估
69,威斯敏斯特大学University of Westminster,82.9%,83.6%,,111.0,49.7%,83.2,免费评估
70,巴斯斯巴大学Bath Spa University,86.6%,80.4%,13.9%,110.0,35.2%,83.1,免费评估
70,剑桥安鲁大学Anglia Ruskin University,84.6%,82.4%,26.4%,98.0,32.8%,83.1,免费评估
72,德蒙福特大学De Montfort University,76.2%,73.2%,11.2%,107.0,60.6%,82.9,免费评估
72,切斯特大学University of Chester,81.6%,74.8%,6.4%,114.0,50.8%,82.9,免费评估
74,德比大学University of Derby,78.5%,74.3%,13.5%,91.0,60.9%,82.7,免费评估
74,北安普顿大学The University of Northampton,88.3%,84.6%,,99.0,42.7%,82.7,免费评估
76,蒂赛德大学Teesside University,75.8%,69.5%,15.0%,109.0,56.7%,82.4,免费评估
77,温切斯特大学University of Winchester,78.7%,77.2%,4.4%,116.0,50.7%,82.3,免费评估
77,桑德兰大学University of Sunderland,82.9%,77.6%,1.9%,112.0,47.1%,82.3,免费评估
77,伯明翰城市大学Birmingham City University,82.7%,83.0%,3.8%,116.0,39.7%,82.3,免费评估
80,坎特伯雷大学Canterbury Christ Church University,87.1%,81.2%,,106.0,40.4%,82.1,免费评估
81,南威尔士大学The University of South Wales,76.9%,74.4%,,125.0,53.4%,82.0,免费评估
81,阿尔斯特大学University of Ulster,84.7%,83.1%,,113.0,39.3%,82.0,免费评估
83,利物浦霍普大学Liverpool Hope University,86.5%,81.4%,8.6%,110.0,30.4%*,81.7,免费评估
84,布莱顿大学University of Brighton,77.8%,73.8%,12.4%,111.0,46.4%,81.5,免费评估
85,利兹贝克特大学Leeds Beckett University,77.5%,75.1%,6.4%,108.0,51.4%,81.4,免费评估
86,艾芝西尔大学Edge Hill University,78.8%,74.2%,5.7%,114.0,45.3%,81.1,免费评估
87,米德塞斯大学Middlesex University,74.1%,74.2%,14.9%,105.0,49.8%,81.0,免费评估
88,萨福克学院University Campus Suffolk,81.6%,77.3%,,114.0,40.2%,80.6,免费评估
89,伦敦都市大学London Metropolitan University,78.9%,76.2%,,85.0,55.0%,79.9,免费评估
90,金斯顿大学Kingston University,78.0%,76.4%,,111.0,41.1%,79.4,免费评估
91,"特威克南圣玛丽大学St Mary's, Twickenham",69.6%,75.5%,,113.0,48.8%,78.5,免费评估
91,伦敦南岸大学London South Bank University,70.0%,69.9%,20.1%,99.0,43.5%,78.5,免费评估
93,新白金汉大学Buckinghamshire New University,72.8%,67.8%,,104.0,43.5%,76.7,免费评估
94,格林威治大学The University of Greenwich,74.6%,70.7%,,122.0,28.2%,76.5,免费评估
95,伍斯特大学University of Worcester,69.0%,62.2%,,114.0,43.8%,75.8,免费评估
