Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,伦敦政治经济学院The London School of Economics and Political Science,69.9%,60.3%,74.9%,175,87.0%,100.0,免费评估
1,University of Strathclyde,78.9%,78.5%,31.9%,204,,100.0,免费评估
3,格拉斯哥大学University of Glasgow,84.9%,79.2%,41.8%,188,69.8%,99.7,免费评估
4,爱丁堡大学The University of Edinburgh,83.4%,71.2%,53.4%,188,63.9%,98.8,免费评估
5,约克大学The University of York,81.2%,77.9%,47.5%,145,79.1%,96.9,免费评估
6,班戈大学Bangor University,86.7%,82.8%,39.6%,,67.7%,96.6,免费评估
7,布里斯托大学University of Bristol,,,47.9%,150,69.8%,96.4,免费评估
8,利兹大学University of Leeds,80.7%,77.4%,47.6%,158,64.9%,95.4,免费评估
8,阿斯顿大学Aston University,84.1%,85.6%,38.6%,127,78.2%,95.4,免费评估
10,诺丁汉大学University of Nottingham,73.1%,80.1%,43.5%,139,85.0%,95.1,免费评估
11,斯特林大学University of Stirling,84.0%,73.0%,33.8%,162,,95.0,免费评估
12,伯明翰大学University of Birmingham,74.7%,68.1%,40.1%,153,81.8%,94.2,免费评估
13,利物浦霍普大学Liverpool Hope University,90.9%,89.5%,8.6%,119,81.5%,93.2,免费评估
14,肯特大学University of Kent,72.9%,68.3%,59.0%,129,74.7%,92.8,免费评估
15,林肯大学University of Lincoln,80.5%,78.9%,5.8%,,79.2%,91.8,免费评估
16,谢菲尔德大学The University of Sheffield,,,26.8%,139,71.7%,91.5,免费评估
16,巴斯大学University of Bath,71.7%,68.8%,43.4%,155,66.7%,91.5,免费评估
18,波尔顿大学University of Bolton,,,1.0%,,60.0%,90.8,免费评估
19,拉夫堡大学Loughborough University,69.8%,71.3%,40.6%,144,68.8%,90.2,免费评估
20,卡迪夫大学Cardiff University,84.1%,85.0%,30.8%,142,42.9%,89.4,免费评估
21,斯旺西大学Swansea University,87.2%,79.7%,22.7%,131,54.3%,89.3,免费评估
21,斯塔福德郡大学Staffordshire University,96.3%,90.6%,,100,68.4%,89.3,免费评估
23,南安普顿大学University of Southampton,73.4%,70.9%,52.8%,131,,88.7,免费评估
24,基尔大学Keele University,80.5%,79.5%,25.0%,134,57.1%,88.6,免费评估
25,阿尔斯特大学University of Ulster,90.3%,90.6%,39.2%,118,30.8%,88.4,免费评估
26,英国女王大学Queen's University Belfast,77.6%,77.0%,26.2%,,61.1%,88.3,免费评估
27,中央兰开夏大学University of Central Lancashire,82.4%,77.3%,11.8%,154,49.7%,87.6,免费评估
28,索尔福德大学University of Salford,77.3%,73.8%,27.7%,114,59.1%,85.9,免费评估
29,普利茅斯大学University of Plymouth,85.8%,81.8%,16.0%,,41.7%,85.7,免费评估
30,米德塞斯大学Middlesex University,76.9%,77.0%,14.9%,129,53.1%,84.8,免费评估
31,西苏格兰大学University of the West of Scotland,83.1%,73.8%,9.4%,,47.6%,83.7,免费评估
32,坎特伯雷大学Canterbury Christ Church University,87.1%,81.2%,3.2%,110*,48.3%,83.5,免费评估
33,切斯特大学University of Chester,80.3%,75.3%,0.3%,118,,82.8,免费评估
34,伯明翰城市大学Birmingham City University,70.8%,77.0%,3.8%,114,60.6%,81.7,免费评估
35,圣大卫三一学院University of Wales Trinity Saint David,83.7%,79.3%,,117,40.6%,81.3,免费评估
36,贝德福德大学University of Bedfordshire,73.8%,78.3%,16.3%,102,48.9%,81.0,免费评估
37,伦敦都市大学London Metropolitan University,70.5%,73.7%,8.8%,113,55.5%,80.7,免费评估
38,北安普顿大学The University of Northampton,78.6%,75.8%,,120,40.0%,79.7,免费评估
39,布莱顿大学University of Brighton,73.2%,71.2%,12.4%,113,43.3%,79.4,免费评估
40,剑桥安鲁大学Anglia Ruskin University,83.8%,81.4%,5.4%,80,42.9%,79.1,免费评估
41,伦敦大学金史密斯学院Goldsmiths University of London,61.0%,63.9%,13.5%,107,,73.6,免费评估
