Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,52.5%,244,84.8%,100.0,免费评估
2,布里斯托大学University of Bristol,96.6%,94.8%,47.0%,171,87.5%,98.3,免费评估
3,University of Strathclyde,77.8%,76.7%,52.2%,226,95.6%,98.0,免费评估
4,诺丁汉大学University of Nottingham,83.7%,84.9%,51.2%,180,98.9%,97.5,免费评估
5,英国女王大学Queen's University Belfast,84.3%,86.6%,60.0%,161,98.5%,97.4,免费评估
6,阿尔斯特大学University of Ulster,91.1%,91.3%,42.5%,151,100.0%,96.9,免费评估
7,巴斯大学University of Bath,82.0%,80.0%,56.2%,165,96.7%,95.6,免费评估
8,格拉斯哥大学University of Glasgow,80.1%,82.4%,33.4%,208,90.0%,94.5,免费评估
9,曼彻斯特大学The University of Manchester,78.2%,76.1%,57.1%,169,94.3%,94.2,免费评估
9,东英吉利大学University of East Anglia,86.4%,85.6%,38.1%,147,99.1%,94.2,免费评估
11,伯明翰大学University of Birmingham,90.6%,89.4%,19.2%,159,,94.0,免费评估
12,利兹大学University of Leeds,83.9%,87.4%,40.9%,173,87.5%,93.9,免费评估
13,卡迪夫大学Cardiff University,80.6%,84.9%,36.8%,166,97.9%,93.8,免费评估
14,阿斯顿大学Aston University,86.6%,85.1%,39.1%,140,98.4%,93.6,免费评估
15,伦敦大学学院University College London,71.6%,75.2%,51.3%,186,95.7%,93.4,免费评估
16,罗伯特高登大学The Robert Gordon University,84.5%,83.6%,4.9%,196,100.0%,93.1,免费评估
17,基尔大学Keele University,87.6%,88.0%,20.9%,148,97.9%,92.4,免费评估
18,利物浦大学The University of Liverpool,89.2%,89.3%,31.7%,159,83.0%,92.3,免费评估
19,伦敦国王学院King's College London,75.9%,79.9%,46.8%,161,93.1%,92.1,免费评估
19,肯特大学University of Kent,,,42.3%,130,99.3%,92.1,免费评估
21,雷丁大学University of Reading,83.4%,81.4%,34.2%,139,100.0%,92.0,免费评估
22,邓迪大学University of Dundee,77.0%,82.6%,55.4%,,90.0%,91.9,免费评估
23,纽卡斯尔大学Newcastle University,81.4%,77.3%,47.8%,171,80.0%,91.3,免费评估
24,阿伯丁大学University of Aberdeen,86.3%,84.1%,34.7%,172,75.4%,90.8,免费评估
25,哈德斯菲尔德大学University of Huddersfield,87.8%,87.2%,13.2%,129,98.1%,90.0,免费评估
26,赫特福德大学University of Hertfordshire,87.9%,87.9%,10.9%,120,95.1%,88.6,免费评估
27,利物浦约翰摩尔斯大学Liverpool John Moores University,82.7%,82.8%,6.0%,139,97.2%,88.0,免费评估
28,威斯敏斯特大学University of Westminster,97.5%,95.3%,21.2%,114,69.0%,87.6,免费评估
29,德蒙福特大学De Montfort University,77.2%,79.6%,13.0%,126,98.0%,86.4,免费评估
30,赫尔大学The University of Hull,83.8%,78.6%,16.7%,,81.1%,86.1,免费评估
31,朴茨茅斯大学University of Portsmouth,73.6%,75.8%,24.3%,129,94.2%,86.0,免费评估
31,考文垂大学Coventry University,83.4%,88.5%,4.5%,136,84.2%,86.0,免费评估
33,中央兰开夏大学University of Central Lancashire,68.0%,70.6%,8.3%,154,99.4%,84.9,免费评估
34,布莱顿大学University of Brighton,74.8%,75.9%,4.8%,125,98.1%,84.3,免费评估
35,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.3%,86.1%,8.1%,169,66.7%,84.2,免费评估
36,莱斯特大学University of Leicester,78.0%,84.0%,,157*,77.8%,83.9,免费评估
37,桑德兰大学University of Sunderland,71.9%,74.7%,7.5%,121,96.8%,83.3,免费评估
37,金斯顿大学Kingston University,81.2%,82.6%,2.6%,118,85.0%,83.3,免费评估
39,格林威治大学The University of Greenwich,73.9%,77.3%,2.7%,129,92.3%,83.2,免费评估
40,布拉德福德大学University of Bradford,67.3%,69.1%,9.5%,138,95.8%,82.9,免费评估
41,玛格丽特女王大学Queen Margaret University,78.8%,75.0%,1.5%,127,74.1%,80.2,免费评估
42,剑桥安鲁大学Anglia Ruskin University,82.8%,80.3%,3.1%,74,,78.3,免费评估
43,林肯大学University of Lincoln,66.0%,60.8%,22.6%,136,,78.2,免费评估
44,伦敦都市大学London Metropolitan University,77.5%,79.4%,5.2%,92,61.4%,76.0,免费评估
45,东伦敦大学University of East London,83.9%,84.3%,7.6%,103,39.9%,75.1,免费评估
