Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,萨里大学University of Surrey,89.0%,88.0%,37.5%,167,92.2%,100.0,免费评估
2,利兹大学University of Leeds,79.4%,84.9%,36.8%,174,91.1%,98.3,免费评估
3,罗伯特高登大学The Robert Gordon University,89.8%,86.8%,4.9%,177,92.0%,96.0,免费评估
3,诺丁汉大学University of Nottingham,84.8%,84.5%,36.4%,157,86.1%,96.0,免费评估
5,英国女王大学Queen's University Belfast,75.7%,83.9%,56.3%,141,87.5%,95.5,免费评估
6,雷丁大学University of Reading,76.2%,80.0%,50.7%,150,86.6%,95.4,免费评估
6,伦敦国王学院King's College London,76.5%,77.0%,46.8%,171,77.1%,95.4,免费评估
8,普利茅斯大学University of Plymouth,92.3%,88.2%,17.4%,158,80.0%,93.9,免费评估
9,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,87.0%,86.8%,8.1%,,93.8%,93.1,免费评估
10,阿尔斯特大学University of Ulster,87.4%,86.3%,42.5%,133,76.5%,92.8,免费评估
11,赫特福德大学University of Hertfordshire,90.6%,87.2%,14.8%,127,96.9%,92.2,免费评估
12,纽卡斯尔大学Newcastle University,77.9%,77.7%,28.4%,149,86.2%,91.5,免费评估
13,中央兰开夏大学University of Central Lancashire,82.0%,87.6%,8.3%,152,80.8%,89.6,免费评估
14,伦敦都市大学London Metropolitan University,80.9%,81.0%,,154,88.0%,88.9,免费评估
15,考文垂大学Coventry University,83.0%,85.3%,,139,93.7%,88.8,免费评估
16,林肯大学University of Lincoln,84.1%,84.4%,31.1%,,70%*,88.7,免费评估
17,格林威治大学The University of Greenwich,83.0%,80.8%,19.5%,,78.6%,88.3,免费评估
18,Manchester Metropolitan University,87.5%,85.4%,12.0%,137,76.4%,88.2,免费评估
19,哈德斯菲尔德大学University of Huddersfield,89.3%,84.6%,,134,83.6%,87.5,免费评估
20,巴斯斯巴大学Bath Spa University,91.5%,89.8%,,123,78.2%,86.0,免费评估
21,Northumbria University,79.7%,79.8%,14.0%,137,73.3%,85.8,免费评估
21,哈珀亚当斯大学Harper Adams University,85.2%,85.1%,5.7%,120,83.6%,85.8,免费评估
23,利物浦约翰摩尔斯大学Liverpool John Moores University,90.8%,91.9%,6.0%,139,59.6%,85.7,免费评估
24,利兹贝克特大学Leeds Beckett University,86.2%,86.2%,,118,83.7%,85.0,免费评估
25,卡迪夫都市大学Cardiff Metropolitan University,86.8%,83.9%,,123,76.2%,84.1,免费评估
26,蒂赛德大学Teesside University,94.1%,88.4%,,110,71.4%,83.4,免费评估
26,谢菲尔德哈莱姆大学Sheffield Hallam University,85.6%,83.1%,3.7%,124,70.9%,83.4,免费评估
28,切斯特大学University of Chester,66.7%,67.8%,12.0%,117,91.8%,82.3,免费评估
29,皇家农学院Royal Agricultural University,77.2%,78.5%,2.1%,103,91.7%,82.2,免费评估
30,罗汉普顿大学Roehampton University,84.1%,86.0%,20.6%,110,58.3%,81.8,免费评估
31,阿伯泰邓迪大学University of Abertay Dundee,70.0%,65.2%,,146,76.5%,81.7,免费评估
32,艾芝西尔大学Edge Hill University,89.2%,91.0%,,132,50.0%,81.4,免费评估
33,伍斯特大学University of Worcester,94.9%,94.7%,,112*,54.5%,81.2,免费评估
34,"特威克南圣玛丽大学St Mary's, Twickenham",84.6%,85.7%,,114,68.8%,81.1,免费评估
35,利兹圣三一大学Leeds Trinity University,85.5%,74.7%,,105,68.0%,78.8,免费评估
36,伯恩茅斯大学Bournemouth University,73.5%,80.3%,4.7%,113,59.3%,77.1,免费评估
37,玛格丽特女王大学Queen Margaret University,60.0%,56.4%,,149,56.0%,75.0,免费评估
38,萨福克学院University Campus Suffolk,70.1%,71.7%,,120*,56.0%,74.9,免费评估
39,金斯顿大学Kingston University,73.4%,70.7%,2.6%,116,50.0%,74.2,免费评估
40,牛津布鲁克斯大学Oxford Brookes University,58.9%,57.8%,3.0%,126,64.0%,73.9,免费评估
41,伦敦南岸大学London South Bank University,80.5%,71.4%,,102,44.4%,72.5,免费评估
42,威斯敏斯特大学University of Westminster,65.1%,72.5%,,105,56.5%,72.1,免费评估
