Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,54.0%,203,80.6%,100.0,免费评估
2,兰卡斯特大学Lancaster University,82.8%,80.0%,47.0%,152,96.7%,97.5,免费评估
3,纽卡斯尔大学Newcastle University,93.1%,91.9%,36.3%,171,82.5%,96.9,免费评估
4,杜伦大学Durham University,84.2%,73.6%,34.6%,199,86.3%,95.7,免费评估
5,萨里大学University of Surrey,89.6%,82.7%,39.1%,165,..,94.6,免费评估
6,牛津大学University of Oxford,,,41.3%,214,72.7%,94.4,免费评估
7,埃克塞特大学University of Exeter,82.3%,81.8%,35.1%,175,84.5%,93.9,免费评估
8,格拉斯哥大学University of Glasgow,79.4%,78.2%,26.3%,204,85.6%,93.7,免费评估
9,英国女王大学Queen's University Belfast,81.6%,82.1%,53.6%,150,74.2%,93.0,免费评估
10,南安普顿大学University of Southampton,85.1%,85.2%,42.7%,147,77.6%,92.6,免费评估
11,思克莱德大学University of Strathclyde,75.4%,71.7%,42.0%,203,73.1%,92.0,免费评估
11,圣安德鲁斯大学University of St Andrews,82.8%,81.5%,26.4%,186,79.8%,92.0,免费评估
13,赫瑞瓦特大学Heriot Watt University,84.2%,81.2%,26.3%,189,77.0%,91.8,免费评估
14,曼彻斯特大学The University of Manchester,,,48.9%,149,70.7%,91.6,免费评估
15,亚伯大学Aberystwyth University,82.3%,78.8%,16.6%,..,88.7%*,91.4,免费评估
16,约克大学The University of York,83.3%,83.6%,37.3%,153,75.0%,90.8,免费评估
17,布里斯托大学University of Bristol,76.6%,71.7%,36.0%,168,81.2%,90.4,免费评估
18,伦敦大学学院University College London,76.6%,67.9%,43.7%,182,71.3%,90.1,免费评估
19,利兹大学University of Leeds,77.9%,78.9%,30.6%,164,79.7%,89.7,免费评估
20,肯特大学University of Kent,81.8%,81.4%,41.9%,127,77.0%,89.6,免费评估
21,伦敦国王学院King's College London,74.4%,69.9%,42.1%,165,76.0%,89.5,免费评估
22,伦敦大学玛丽女王学院Queen Mary University of London,89.8%,83.8%,35.1%,137,70.4%,89.4,免费评估
22,谢菲尔德大学The University of Sheffield,82.5%,77.6%,41.2%,145,72.1%,89.4,免费评估
22,巴斯大学University of Bath,77.4%,79.6%,27.4%,170,79.2%,89.4,免费评估
25,诺丁汉大学University of Nottingham,75.7%,68.8%,39.4%,154,78.4%,88.9,免费评估
25,东英吉利大学University of East Anglia,83.6%,80.5%,33.1%,143,75.0%,88.9,免费评估
27,伯明翰大学University of Birmingham,78.8%,77.2%,33.7%,168,70.2%,88.3,免费评估
28,班戈大学Bangor University,88.6%,86.0%,39.6%,130,63.4%,88.0,免费评估
29,爱丁堡大学The University of Edinburgh,73.5%,73.8%,30.3%,183,71.1%,87.5,免费评估
30,伦敦大学皇家霍洛威学院Royal Holloway University of London,74.8%,74.2%,48.3%,147,66.7%,87.4,免费评估
31,华威大学The University of Warwick,72.9%,66.9%,45.2%,162,..,87.3,免费评估
32,阿伯丁大学University of Aberdeen,70.1%,84.6%,29.3%,176,71.0%*,87.1,免费评估
33,朴茨茅斯大学University of Portsmouth,85.5%,89.2%,32.2%,110,72.5%,87.0,免费评估
33,斯特林大学University of Stirling,74.6%,71.9%,29.8%,161,76.0%,87.0,免费评估
35,曼彻斯特城市大学Manchester Metropolitan University,90.5%,91.4%,29.0%,115,65.1%,86.2,免费评估
36,卡迪夫大学Cardiff University,79.6%,78.7%,32.5%,143,68.6%,86.1,免费评估
37,赫尔大学The University of Hull,90.1%,88.5%,22.7%,108,71.0%,85.5,免费评估
38,利物浦大学The University of Liverpool,73.7%,70.4%,33.4%,138,74.2%,85.1,免费评估
39,斯旺西大学Swansea University,89.5%,86.8%,22.8%,113,66.8%,84.6,免费评估
40,阿斯顿大学Aston University,84.1%,83.0%,23.4%,129,67.4%,84.4,免费评估
41,莱斯特大学University of Leicester,88.5%,89.1%,16.9%,132,63.6%,84.1,免费评估
42,雷丁大学University of Reading,76.6%,68.3%,41.7%,124,..,83.7,免费评估
43,切斯特大学University of Chester,94.5%,92.5%,17.3%,110,59.3%,83.1,免费评估
44,诺桑比亚大学Northumbria University,79.8%,79.9%,..,136*,74.2%*,80.8,免费评估
45,考文垂大学Coventry University,64.8%,70.4%,18.1%,109,77.8%,78.8,免费评估
46,诺丁汉特伦特大学Nottingham Trent University,86.6%,87.6%,7.6%,126,53.7%,78.7,免费评估
47,阿尔斯特大学University of Ulster,74.0%,72.5%,22.4%,123*,49.6%,76.0,免费评估
48,威斯敏斯特大学University of Westminster,73.0%,69.2%,2.0%,127,63.6%,75.2,免费评估
