Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,牛津大学University of Oxford,,,61.3%,214,84.4%,100.0,免费评估
2,剑桥大学University of Cambridge,,,51.6%,208,83.3%,99.3,免费评估
3,纽卡斯尔大学Newcastle University,86.9%,86.5%,54.3%,148,84.8%,97.5,免费评估
4,伯明翰大学University of Birmingham,85.5%,81.0%,52.8%,155,85.7%,97.0,免费评估
5,圣安德鲁斯大学University of St Andrews,86.0%,84.2%,52.7%,191,68.5%,96.9,免费评估
6,伦敦大学学院University College London,77.8%,69.5%,55.6%,192,81.4%,96.1,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,72.4%,67.2%,48.6%,198,90.5%,95.6,免费评估
8,埃克塞特大学University of Exeter,80.0%,77.2%,41.0%,178,84.4%,94.7,免费评估
9,华威大学The University of Warwick,80.4%,78.7%,47.7%,177,73.2%,93.8,免费评估
10,杜伦大学Durham University,77.8%,73.6%,30.1%,191,80.6%,92.3,免费评估
11,布里斯托大学University of Bristol,,,40.9%,186,71.1%,92.0,免费评估
12,南安普顿大学University of Southampton,87.6%,81.8%,31.7%,151,75.1%,91.9,免费评估
13,萨塞克斯大学University of Sussex,82.9%,80.7%,34.2%,143,82.9%,91.8,免费评估
14,曼彻斯特大学The University of Manchester,,,31.9%,163,74.3%,91.3,免费评估
15,谢菲尔德大学The University of Sheffield,,,48.3%,153,72.8%,90.8,免费评估
16,阿伯丁大学University of Aberdeen,85.0%,84.6%,39.1%,156,62.4%,90.6,免费评估
17,利兹大学University of Leeds,81.4%,80.7%,39.5%,160,66.3%,90.4,免费评估
18,伦敦大学皇家霍洛威学院Royal Holloway University of London,80.1%,78.5%,30.5%,140,84.7%,90.3,免费评估
19,约克大学The University of York,80.4%,78.3%,30.7%,153,78.5%,90.2,免费评估
19,爱丁堡大学The University of Edinburgh,75.0%,71.5%,49.7%,166,68.9%,90.2,免费评估
21,兰卡斯特大学Lancaster University,70.4%,66.8%,53.0%,145,78.2%,89.2,免费评估
22,斯特林大学University of Stirling,86.5%,74.7%,22.7%,167,64.7%,88.6,免费评估
23,温切斯特大学University of Winchester,91.1%,86.0%,,112*,90.0%,88.1,免费评估
24,伦敦国王学院King's College London,71.3%,66.2%,53.9%,176,57.6%,87.9,免费评估
25,卡迪夫大学Cardiff University,83.3%,77.5%,36.3%,136,64.5%,87.8,免费评估
26,基尔大学Keele University,90.6%,88.9%,23.7%,118,65.0%,87.7,免费评估
27,诺丁汉大学University of Nottingham,79.2%,75.2%,28.2%,146,73.0%,87.6,免费评估
28,利物浦大学The University of Liverpool,95.3%,90.6%,,104,77.3%,86.7,免费评估
29,班戈大学Bangor University,98.5%,97.9%,,128,59.2%,86.6,免费评估
30,利物浦大学The University of Liverpool,76.4%,71.2%,28.4%,133,78.2%,86.4,免费评估
31,"伦敦大学伯克贝克学院Birkbeck, University Of London",76.9%,69.8%,37.4%,110,78.0%,86.0,免费评估
32,埃塞克斯大学University of Essex,79.8%,75.3%,44.0%,109,65.3%,85.9,免费评估
32,巴斯斯巴大学Bath Spa University,90.7%,86.3%,,110,80.0%,85.9,免费评估
34,英国女王大学Queen's University Belfast,78.9%,74.0%,40.3%,143,53.1%,85.2,免费评估
35,赫特福德大学University of Hertfordshire,77.3%,72.0%,32.9%,104,76.4%,84.9,免费评估
35,格拉斯哥大学University of Glasgow,76.2%,72.5%,18.9%,172,62.2%,84.9,免费评估
37,肯特大学University of Kent,73.7%,71.0%,31.0%,118,72.7%,83.9,免费评估
37,东英吉利大学University of East Anglia,80.6%,73.3%,28.6%,137,56.8%,83.9,免费评估
39,"特威克南圣玛丽大学St Mary's, Twickenham",90.1%,80.4%,7.0%,113,64.0%,83.4,免费评估
39,中央兰开夏大学University of Central Lancashire,92.8%,86.2%,8.3%,101,60.9%,83.4,免费评估
41,诺丁汉特伦特大学Nottingham Trent University,88.5%,85.8%,10.0%,128,53.1%,83.1,免费评估
42,邓迪大学University of Dundee,80.0%,73.9%,27.7%,156,41.5%,82.2,免费评估
43,牛津布鲁克斯大学Oxford Brookes University,85.2%,80.7%,8.4%,123,58.9%,82.1,免费评估
44,剑桥安鲁大学Anglia Ruskin University,86.4%,84.6%,,86,72.7%,81.4,免费评估
45,罗汉普顿大学Roehampton University,83.1%,68.7%,,107,77.6%,81.2,免费评估
45,曼彻斯特城市大学Manchester Metropolitan University,83.5%,72.7%,12.5%,122,58.1%,81.2,免费评估
47,雷丁大学University of Reading,75.1%,61.6%,28.6%,127,55.8%,80.2,免费评估
47,赫尔大学The University of Hull,87.9%,80.0%,10.5%,111,48.8%,80.2,免费评估
49,西英格兰大学University of the West of England,86.3%,85.6%,18.6%,120,36.9%,80.0,免费评估
50,布莱顿大学University of Brighton,80.9%,72.1%,13.1%,102,59.7%,79.2,免费评估
51,格罗斯特大学University of Gloucestershire,77.1%,63.2%,6.9%,127,58.3%,77.9,免费评估
52,利兹圣三一大学Leeds Trinity University,78.3%,73.3%,,94,48.0%,73.7,免费评估
