Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,60.7%,242,88.9%,100.0,免费评估
2,牛津大学University of Oxford,,,67.5%,228,90.6%,99.1,免费评估
3,圣安德鲁斯大学University of St Andrews,82.0%,79.2%,44.2%,234,88.5%,96.4,免费评估
3,帝国理工学院Imperial College London,77.9%,81.9%,59.7%,225,84.5%,96.4,免费评估
5,杜伦大学Durham University,78.6%,77.0%,44.0%,218,86.4%,94.0,免费评估
6,华威大学The University of Warwick,77.1%,75.4%,55.8%,208,83.6%,93.8,免费评估
7,伦敦大学学院University College London,76.1%,75.3%,42.0%,203,90.2%,93.0,免费评估
8,兰卡斯特大学Lancaster University,81.4%,82.1%,45.8%,162,88.2%,92.8,免费评估
9,赫瑞瓦特大学Heriot Watt University,83.2%,82.1%,42.3%,177,83.0%,92.2,免费评估
10,曼彻斯特大学The University of Manchester,82.5%,81.6%,44.3%,184,79.1%,91.7,免费评估
11,拉夫堡大学Loughborough University,86.9%,86.7%,31.0%,159,84.0%,91.3,免费评估
12,南安普顿大学University of Southampton,83.0%,82.7%,41.9%,170,80.4%,91.2,免费评估
13,伯明翰大学University of Birmingham,82.2%,83.4%,34.1%,174,83.9%,91.1,免费评估
14,爱丁堡大学The University of Edinburgh,73.4%,75.8%,43.7%,198,84.0%,90.9,免费评估
15,思克莱德大学University of Strathclyde,79.3%,81.0%,34.6%,191,82.5%,90.8,免费评估
16,诺丁汉大学University of Nottingham,78.4%,78.6%,44.8%,178,81.1%,90.6,免费评估
17,格拉斯哥大学University of Glasgow,78.4%,81.4%,41.4%,205,74.5%,90.4,免费评估
18,埃克塞特大学University of Exeter,77.8%,82.2%,37.9%,174,82.2%,90.0,免费评估
19,利兹大学University of Leeds,77.5%,77.7%,42.0%,171,80.8%,89.5,免费评估
20,巴斯大学University of Bath,73.1%,71.9%,35.7%,196,85.0%,89.4,免费评估
21,南威尔士大学The University of South Wales,99.3%,95.8%,10.1%,126,79.0%,89.2,免费评估
22,邓迪大学University of Dundee,82.1%,79.0%,48.2%,159,73.8%,89.1,免费评估
23,布里斯托大学University of Bristol,69.9%,69.0%,57.3%,194,76.0%,89.0,免费评估
24,谢菲尔德大学The University of Sheffield,,,34.0%,156,82.2%,88.9,免费评估
25,亚伯大学Aberystwyth University,94.9%,90.4%,19.4%,124,78.2%,88.6,免费评估
26,德蒙福特大学De Montfort University,94.0%,96.0%,,102,90.0%,88.0,免费评估
27,肯特大学University of Kent,76.1%,77.7%,28.2%,136,89.1%,87.4,免费评估
28,伦敦政治经济学院The London School of Economics and Political Science,66.7%,66.0%,28.7%,210,85.7%,87.3,免费评估
28,英国女王大学Queen's University Belfast,74.0%,72.9%,25.0%,162,88.8%,87.3,免费评估
30,卡迪夫大学Cardiff University,79.7%,82.8%,31.6%,165,74.1%,87.1,免费评估
31,萨塞克斯大学University of Sussex,75.5%,75.5%,28.5%,135,89.0%,87.0,免费评估
32,约克大学The University of York,81.9%,79.3%,27.0%,159,76.6%,86.9,免费评估
33,萨里大学University of Surrey,80.3%,78.8%,31.5%,164,74.4%,86.8,免费评估
34,诺丁汉特伦特大学Nottingham Trent University,86.8%,87.5%,18.4%,133,77.7%,86.6,免费评估
35,纽卡斯尔大学Newcastle University,79.6%,81.7%,32.0%,158,73.0%,86.4,免费评估
36,埃塞克斯大学University of Essex,74.0%,78.8%,34.3%,122,85.3%,86.2,免费评估
36,考文垂大学Coventry University,83.8%,85.3%,9.4%,125,86.7%,86.2,免费评估
38,索尔福德大学University of Salford,87.1%,90.6%,4.4%,104,87.5%,86.0,免费评估
38,诺桑比亚大学Northumbria University,88.1%,88.2%,16.7%,135,74.3%,86.0,免费评估
40,阿伯丁大学University of Aberdeen,74.8%,78.1%,32.0%,170,74.4%,85.9,免费评估
41,伦敦大学皇家霍洛威学院Royal Holloway University of London,83.5%,83.5%,35.5%,137,68.4%,85.7,免费评估
41,东英吉利大学University of East Anglia,79.7%,79.7%,33.7%,148,72.3%,85.7,免费评估
43,斯旺西大学Swansea University,75.8%,76.4%,20.7%,139,84.0%,85.1,免费评估
44,斯特林大学University of Stirling,81.1%,79.2%,14.0%,161,76.6%,85.0,免费评估
44,基尔大学Keele University,84.9%,84.1%,19.5%,129,74.8%,85.0,免费评估
46,朴茨茅斯大学University of Portsmouth,85.1%,83.4%,11.2%,107,84.2%,84.9,免费评估
47,雷丁大学University of Reading,77.3%,72.7%,35.3%,131,76.5%,84.7,免费评估
48,伦敦国王学院King's College London,69.6%,67.2%,37.1%,163,76.2%,84.2,免费评估
49,赫尔大学The University of Hull,79.9%,71.0%,24.2%,122,79.9%,83.9,免费评估
50,利物浦约翰摩尔斯大学Liverpool John Moores University,81.8%,79.9%,3.2%,129,80.7%,83.0,免费评估
51,伍尔弗汉普顿大学University of Wolverhampton,85.9%,89.2%,,110,77.6%,82.8,免费评估
51,赫特福德大学University of Hertfordshire,80.8%,80.9%,20.2%,103,76.8%,82.8,免费评估
51,莱斯特大学University of Leicester,72.0%,75.3%,25.0%,134,77.7%,82.8,免费评估
54,阿斯顿大学Aston University,77.0%,80.7%,21.7%,130,72.9%,82.7,免费评估
55,伦敦都市大学London Metropolitan University,86.8%,92.6%,13.5%,75,73.7%,82.3,免费评估
55,格林威治大学The University of Greenwich,85.6%,85.4%,5.1%,124,71.9%,82.3,免费评估
55,利物浦大学The University of Liverpool,,,29.8%,142,72.9%,82.3,免费评估
58,中央兰开夏大学University of Central Lancashire,80.1%,75.6%,19.8%,130,71.4%,82.2,免费评估
59,奇切斯特大学University of Chichester,72.5%,77.5%,,86,96.3%,81.7,免费评估
60,利物浦大学The University of Liverpool,71.6%,76.1%,8.8%,104,88.0%,81.5,免费评估
61,伦敦大学玛丽女王学院Queen Mary University of London,71.8%,71.7%,30.3%,138,69.7%,81.3,免费评估
62,布鲁内尔大学Brunel University,75.4%,73.9%,25.8%,117,71.2%,81.0,免费评估
63,牛津布鲁克斯大学Oxford Brookes University,82.5%,78.4%,13.9%,140,62.3%,80.5,免费评估
63,伦敦城市大学City University London,80.4%,82.6%,30.2%,120,57.7%,80.5,免费评估
65,普利茅斯大学University of Plymouth,89.8%,87.6%,9.3%,130,55.8%,80.4,免费评估
66,曼彻斯特城市大学Manchester Metropolitan University,89.6%,86.6%,5.6%,119,59.8%,80.1,免费评估
67,切斯特大学University of Chester,73.8%,77.3%,7.1%,111,78.8%,80.0,免费评估
68,谢菲尔德哈莱姆大学Sheffield Hallam University,67.0%,77.3%,17.8%,113,74.4%,79.0,免费评估
69,米德塞斯大学Middlesex University,72.4%,80.4%,14.2%,103,,78.4,免费评估
70,西英格兰大学University of the West of England,78.8%,72.1%,10.6%,121,65.8%,78.3,免费评估
71,布莱顿大学University of Brighton,82.0%,77.2%,6.4%,107,63.1%,77.6,免费评估
72,德比大学University of Derby,74.8%,71.0%,5.0%,99,74.5%,77.4,免费评估
73,金斯顿大学Kingston University,80.3%,82.2%,,93,58.0%,74.9,免费评估
