Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,80.6%*,77.4%*,52.5%,242,83.9%,100.0,免费评估
2,帝国理工学院Imperial College London,76.0%,79.0%,61.6%,209,88.4%,99.2,免费评估
3,牛津大学University of Oxford,,,50.9%,217,83.9%,98.0,免费评估
4,邓迪大学University of Dundee,80.3%,81.9%,55.4%,184,85.2%,96.9,免费评估
5,兰卡斯特大学Lancaster University,86.6%,87.7%,46.5%,158,82.3%,94.8,免费评估
6,圣安德鲁斯大学University of St Andrews,85.7%,84.3%,37.6%,210,73.4%,94.5,免费评估
7,谢菲尔德大学The University of Sheffield,81.5%,86.9%,57.4%,164,77.8%,94.4,免费评估
8,华威大学The University of Warwick,83.8%,86.4%,37.1%,160,86.9%,94.1,免费评估
9,约克大学The University of York,85.2%,85.2%,41.9%,176,77.4%,93.6,免费评估
10,伦敦大学学院University College London,75.4%,75.6%,55.4%,190,77.6%,93.5,免费评估
10,埃克塞特大学University of Exeter,85.1%,85.4%,39.7%,177,77.8%,93.5,免费评估
12,布里斯托大学University of Bristol,82.3%,83.8%,46.8%,179,76.1%,93.4,免费评估
13,杜伦大学Durham University,76.7%,76.0%,32.9%,205,80.7%,92.6,免费评估
14,伦敦国王学院King's College London,81.9%,82.6%,38.0%,175,79.0%,92.4,免费评估
15,格拉斯哥大学University of Glasgow,82.6%,82.3%,33.4%,200,72.4%,92.0,免费评估
15,伯明翰大学University of Birmingham,83.1%,80.0%,38.1%,161,81.6%,92.0,免费评估
17,思克莱德大学University of Strathclyde,72.5%,77.7%,52.2%,183,76.6%,91.9,免费评估
18,巴斯大学University of Bath,76.7%,81.3%,31.5%,182,82.6%,91.7,免费评估
19,曼彻斯特大学The University of Manchester,80.0%,79.1%,38.3%,167,78.8%,91.1,免费评估
20,诺丁汉特伦特大学Nottingham Trent University,84.2%,84.9%,24.1%,141,87.2%,90.8,免费评估
21,利兹大学University of Leeds,80.5%,82.6%,40.9%,162,74.9%,90.4,免费评估
21,肯特大学University of Kent,78.4%,81.4%,39.1%,136,85.1%,90.4,免费评估
23,南安普顿大学University of Southampton,83.5%,85.5%,34.2%,154,76.5%,90.3,免费评估
24,爱丁堡大学The University of Edinburgh,69.9%,72.3%,62.9%,178,70.1%,90.2,免费评估
25,阿斯顿大学Aston University,80.9%,78.7%,39.1%,139,82.0%,90.0,免费评估
26,阿伯丁大学University of Aberdeen,82.8%,82.4%,34.7%,185,66.8%,89.6,免费评估
27,萨里大学University of Surrey,85.5%,86.8%,37.5%,158,68.4%,89.5,免费评估
28,斯旺西大学Swansea University,82.6%,85.5%,38.6%,137,75.9%,89.3,免费评估
29,萨塞克斯大学University of Sussex,72.5%,73.6%,46.8%,149,80.3%,89.1,免费评估
30,亚伯大学Aberystwyth University,85.3%,85.5%,38.2%,123,75.6%,88.7,免费评估
31,东英吉利大学University of East Anglia,80.1%,82.3%,38.8%,142,75.1%,88.6,免费评估
32,朴茨茅斯大学University of Portsmouth,85.5%,82.7%,24.3%,111,84.5%,87.9,免费评估
33,诺丁汉大学University of Nottingham,77.5%,78.9%,26.5%,156,77.2%,87.5,免费评估
34,莱斯特大学University of Leicester,79.3%,80.5%,36.5%,137,72.8%,87.0,免费评估
35,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.2%,80.1%,8.1%,171,78.0%,86.7,免费评估
36,卡迪夫大学Cardiff University,78.6%,75.3%,33.3%,154,71.2%,86.6,免费评估
37,英国女王大学Queen's University Belfast,70.8%,72.8%,47.3%,145,72.7%,86.4,免费评估
38,"伦敦大学伯克贝克学院Birkbeck, University Of London",77.4%,75.2%,41.0%,96,83.0%,86.2,免费评估
38,利物浦大学The University of Liverpool,73.0%,72.8%,33.9%,144,77.6%,86.2,免费评估
40,基尔大学Keele University,81.2%,84.2%,16.5%,130,78.2%,85.8,免费评估
41,斯特林大学University of Stirling,75.6%,78.2%,49.0%,164,56.9%,85.5,免费评估
41,纽卡斯尔大学Newcastle University,75.2%,76.4%,28.4%,152,72.7%,85.5,免费评估
43,蒂赛德大学Teesside University,85.6%,85.6%,,121,84.3%,85.4,免费评估
44,University of Lincoln,88.7%,88.2%,,129,77.5%,85.2,免费评估
45,格罗斯特大学University of Gloucestershire,88.7%,88.1%,14.5%,119,72.3%,85.1,免费评估
