Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,47.2%,213,84.8%,100.0,免费评估
2,邓迪大学University of Dundee,82.7%,83.4%,55.4%,178,82.2%,98.5,免费评估
3,牛津大学University of Oxford,,,42.9%,196,81.6%,97.5,免费评估
4,杜伦大学Durham University,88.1%,82.6%,41.2%,176,73.6%,94.9,免费评估
5,伦敦大学学院University College London,88.8%,85.4%,51.4%,146,73.6%,94.2,免费评估
6,利物浦大学The University of Liverpool,,,33.5%,150,85.7%,93.7,免费评估
7,格拉斯哥大学University of Glasgow,82.9%,82.9%,16.4%,195*,75.0%,91.6,免费评估
8,埃克塞特大学University of Exeter,84.5%,81.7%,33.6%,154,77.0%,91.4,免费评估
9,英国女王大学Queen's University Belfast,93.7%,91.3%,36.9%,127,72.1%,91.2,免费评估
10,约克大学The University of York,83.6%,79.2%,35.1%,148,78.1%,90.9,免费评估
11,伯明翰大学University of Birmingham,85.8%,77.1%,40.3%,146,72.6%,90.5,免费评估
12,莱斯特大学University of Leicester,87.5%,82.7%,37.2%,123,79.3%,90.4,免费评估
13,南安普顿大学University of Southampton,84.7%,80.8%,43.5%,141,70.8%,90.3,免费评估
14,纽卡斯尔大学Newcastle University,86.0%,82.7%,25.8%,147,78.5%,90.1,免费评估
15,斯旺西大学Swansea University,83.2%,75.5%,39.4%,126,78.1%,89.0,免费评估
16,雷丁大学University of Reading,90.7%,81.1%,44.7%,128,62.3%,88.6,免费评估
16,伯明翰城市大学Birmingham City University,98.0%,97.1%,,129,80.9%,88.6,免费评估
18,肯特大学University of Kent,81.3%,79.7%,33.1%,144,72.2%,88.3,免费评估
19,曼彻斯特大学The University of Manchester,88.5%*,82.6%*,24.7%,156,64.4%,87.9,免费评估
20,谢菲尔德大学The University of Sheffield,79.2%,78.2%,31.6%,139,73.7%,87.3,免费评估
21,哈德斯菲尔德大学University of Huddersfield,89.3%,88.7%,,140,82.6%,87.2,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,82.1%,84.1%,4.1%,167,72.2%,86.1,免费评估
23,班戈大学Bangor University,88.1%,80.6%,24.3%,126,,86.0,免费评估
24,诺丁汉大学University of Nottingham,81.4%,80.2%,23.7%,142,68.4%,85.7,免费评估
25,卡迪夫大学Cardiff University,86.8%,80.0%,31.1%,124,63.8%,85.3,免费评估
26,阿伯丁大学University of Aberdeen,80.9%,75.7%,29.4%,,66.7%,84.8,免费评估
27,蒂赛德大学Teesside University,88.1%,86.4%,,125,79.5%,84.6,免费评估
28,伍斯特大学University of Worcester,88.8%,83.9%,8.1%,117,74.1%,83.8,免费评估
29,罗伯特高登大学The Robert Gordon University,81.6%,77.2%,8.8%,153,68.2%,83.7,免费评估
30,德蒙福特大学De Montfort University,93.1%,93.0%,,113,72.5%,83.6,免费评估
31,布拉德福德大学University of Bradford,73.4%,70.1%,23.6%,120,80.3%,83.5,免费评估
32,University of Lincoln,80.8%,84.1%,,128,80.3%,83.2,免费评估
33,华威大学The University of Warwick,81.4%,73.6%,,159,70.4%,82.9,免费评估
34,德比大学University of Derby,88.8%,90.4%,3.6%,122,67.2%,82.6,免费评估
35,考文垂大学Coventry University,84.5%,88.1%,,127,71.7%,82.3,免费评估
36,西苏格兰大学University of the West of Scotland,84.7%,82.1%,,131,71.0%,82.0,免费评估
37,中央兰开夏大学University of Central Lancashire,80.5%,77.0%,9.8%,139,63.9%,81.4,免费评估
38,University of Wales Trinity St David,87.7%,80.8%,17.3%,99,65.0%,81.1,免费评估
39,赫尔大学The University of Hull,72.4%,69.6%,31.7%,117,66.0%,81.0,免费评估
40,基尔大学Keele University,75.5%,71.5%,,131,78.3%,80.6,免费评估
41,爱丁堡大学The University of Edinburgh,72.0%,65.7%,20.9%,179,48.1%,80.4,免费评估
42,利物浦约翰摩尔斯大学Liverpool John Moores University,78.4%,80.5%,,147,62.0%,79.9,免费评估
43,斯塔福德郡大学Staffordshire University,84.6%,81.0%,,125,64.9%,79.7,免费评估
44,西英格兰大学University of the West of England,72.5%,73.9%,,137,72.7%,79.4,免费评估
45,切斯特大学University of Chester,91.1%,82.3%,15.4%,102,52.7%,79.0,免费评估
45,格林威治大学The University of Greenwich,85.1%,86.5%,,141,52.0%,79.0,免费评估
47,伯恩茅斯大学Bournemouth University,75.4%,77.4%,19.9%,123,56.0%,78.7,免费评估
48,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,63.1%,59.3%,4.7%,173,65.3%,78.4,免费评估
49,阿伯泰邓迪大学University of Abertay Dundee,62.0%,67.7%,,188,57.1%,77.8,免费评估
50,剑桥安鲁大学Anglia Ruskin University,75.0%,72.7%,24.6%,107,56.6%,77.5,免费评估
51,南威尔士大学The University of South Wales,79.9%,80.6%,,132,56.1%,77.4,免费评估
51,温切斯特大学University of Winchester,70.8%,71.4%,7.5%,100,76.2%,77.4,免费评估
53,泰晤士河谷大学Thames Valley University,75.4%,78.2%,,110,67.3%,76.6,免费评估
54,曼彻斯特城市大学Manchester Metropolitan University,79.4%,78.8%,,149,44.7%,76.1,免费评估
55,坎特伯雷大学Canterbury Christ Church University,76.6%,77.2%,16.3%,101,41.2%,72.7,免费评估
56,伍尔弗汉普顿大学University of Wolverhampton,67.4%,70.0%,,122,49.2%,71.0,免费评估
57,哥比亚大学University of Cumbria,77.9%,67.3%,1.5%,100,46.7%,70.5,免费评估
58,伦敦南岸大学London South Bank University,58.9%,51.8%,,95,65.7%,68.5,免费评估
