Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,利兹大学University of Leeds,89.9%,92.4%,39.3%,177,87.0%,100.0,免费评估
2,伦敦政治经济学院The London School of Economics and Political Science,77.5%,77.3%,52.3%,188,93.6%,98.9,免费评估
3,华威大学The University of Warwick,83.1%,85.0%,40.4%,188,88.9%,98.6,免费评估
4,格拉斯哥大学University of Glasgow,82.4%,87.1%,22.1%,220,88.7%,98.2,免费评估
5,思克莱德大学University of Strathclyde,74.6%,76.3%,44.3%,214,89.5%,97.9,免费评估
6,巴斯大学University of Bath,82.6%,84.3%,41.8%,173,87.5%,97.3,免费评估
7,约克大学The University of York,86.1%,87.7%,24.0%,172*,,95.8,免费评估
8,英国女王大学Queen's University Belfast,81.3%,82.4%,32.7%,159,94.0%,95.4,免费评估
8,兰卡斯特大学Lancaster University,80.7%,83.4%,42.6%,149,88.9%,95.4,免费评估
10,拉夫堡大学Loughborough University,76.0%,85.4%,32.6%,157,96.5%,94.7,免费评估
11,埃克塞特大学University of Exeter,81.5%,84.2%,24.4%,162,90.6%,94.0,免费评估
12,利物浦大学The University of Liverpool,87.5%,88.3%,20.1%,157,82.1%,93.6,免费评估
13,阿伯丁大学University of Aberdeen,78.2%,79.0%,24.9%,181,88.0%,93.5,免费评估
14,伯明翰大学University of Birmingham,81.0%,80.8%,29.1%,145,91.8%,93.2,免费评估
15,阿尔斯特大学University of Ulster,83.6%,82.6%,40.4%,125,83.9%,93.1,免费评估
16,诺丁汉大学University of Nottingham,75.6%,80.6%,32.6%,155,90.3%,92.8,免费评估
17,斯旺西大学Swansea University,85.6%,87.0%,22.0%,129,90.4%,92.6,免费评估
17,萨塞克斯大学University of Sussex,81.4%,85.7%,23.7%,142,90.6%,92.6,免费评估
19,雷丁大学University of Reading,82.2%,82.6%,29.3%,136,87.9%,92.4,免费评估
20,谢菲尔德大学The University of Sheffield,80.3%,84.1%,26.8%,146,86.6%,92.3,免费评估
21,曼彻斯特大学The University of Manchester,78.0%,84.3%,33.3%,169,73.2%,92.2,免费评估
22,斯特林大学University of Stirling,79.5%,82.1%,25.2%,171,77.6%,91.9,免费评估
23,赫瑞瓦特大学Heriot Watt University,81.3%,83.6%,18.8%,161,83.6%,91.8,免费评估
24,杜伦大学Durham University,75.9%,80.4%,23.1%,157,90.8%,91.6,免费评估
25,纽卡斯尔大学Newcastle University,77.6%,78.4%,20.7%,154,93.1%,91.5,免费评估
26,东英吉利大学University of East Anglia,81.1%,82.4%,28.1%,143,81.1%,91.3,免费评估
27,罗伯特高登大学The Robert Gordon University,86.2%,85.7%,2.6%,184,74.6%,90.8,免费评估
27,伦敦城市大学City University London,80.5%,84.3%,28.7%,163,68.2%,90.8,免费评估
29,南安普顿大学University of Southampton,80.7%,82.6%,24.0%,148,79.6%,90.7,免费评估
29,肯特大学University of Kent,77.9%,78.1%,24.8%,139,90.2%,90.7,免费评估
31,卡迪夫大学Cardiff University,76.6%,77.0%,32.0%,160,73.6%,90.1,免费评估
32,伦敦大学玛丽女王学院Queen Mary University of London,71.9%,75.4%,31.3%,157,81.9%,89.8,免费评估
33,诺丁汉特伦特大学Nottingham Trent University,87.7%,87.6%,4.6%,128,86.3%,89.7,免费评估
34,利物浦约翰摩尔斯大学Liverpool John Moores University,91.0%,88.0%,,129,84.0%,89.5,免费评估
35,邓迪大学University of Dundee,79.0%,79.6%,12.1%,165,79.1%,89.2,免费评估
35,布里斯托大学University of Bristol,73.0%,75.7%,32.1%,168,70.8%,89.2,免费评估
35,亚伯大学Aberystwyth University,91.9%,90.2%,14.5%,107,74.8%,89.2,免费评估
38,爱丁堡大学The University of Edinburgh,68.7%,73.9%,25.8%,185,74.8%,88.8,免费评估
39,University of Lincoln,86.5%,87.3%,4.8%,113,83.6%,87.9,免费评估
40,基尔大学Keele University,84.8%,86.9%,10.2%,116,79.0%,87.7,免费评估
41,朴茨茅斯大学University of Portsmouth,83.1%,82.7%,9.5%,109,88.0%,87.6,免费评估
41,龙比亚大学Napier University,83.3%,85.6%,2.3%,147,75.2%,87.6,免费评估
43,德蒙福特大学De Montfort University,81.8%,84.4%,10.7%,99,90.3%,87.3,免费评估
44,阿斯顿大学Aston University,78.3%,78.2%,19.7%,138,73.4%,87.1,免费评估
45,诺桑比亚大学Northumbria University,81.9%,82.6%,4.0%,136,78.4%,86.8,免费评估
45,德比大学University of Derby,86.6%,83.7%,0.9%,107,86.2%,86.8,免费评估
47,威斯敏斯特大学University of Westminster,81.8%,83.8%,2.4%,140,74.5%,86.3,免费评估
48,西苏格兰大学University of the West of Scotland,83.2%,82.0%,2.9%,146,70.4%,86.2,免费评估
48,伍斯特大学University of Worcester,90.0%,91.1%,0.9%,109,70.8%,86.2,免费评估
48,白金汉大学The University of Buckingham,89.3%,94.0%,,106,71.7%,86.2,免费评估
48,中央兰开夏大学University of Central Lancashire,93.8%,94.3%,4.4%,130,50.0%,86.2,免费评估
52,赫尔大学The University of Hull,80.0%,80.4%,10.2%,124,78.4%,86.1,免费评估
53,南威尔士大学The University of South Wales,88.8%,89.4%,0.2%,120,68.9%,86.0,免费评估
53,切斯特大学University of Chester,91.4%,88.5%,0.5%,95,75.9%,86.0,免费评估
53,班戈大学Bangor University,89.8%,92.6%,23.4%,94,53.7%,86.0,免费评估
56,伦敦大学皇家霍洛威学院Royal Holloway University of London,74.0%,78.7%,27.0%,134,,85.9,免费评估
57,格林威治大学The University of Greenwich,86.3%,87.4%,3.3%,130,65.4%,85.8,免费评估
58,伦敦南岸大学London South Bank University,86.4%,87.2%,2.1%,107,75.7%,85.7,免费评估
58,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,77.7%,77.4%,1.8%,173,68.3%,85.7,免费评估
60,埃塞克斯大学University of Essex,78.8%,83.5%,25.1%,104,68.7%,85.6,免费评估
61,考文垂大学Coventry University,84.2%,85.6%,1.6%,117,75.0%,85.5,免费评估
61,萨里大学University of Surrey,72.4%,75.9%,15.8%,158,69.3%,85.5,免费评估
63,普利茅斯大学University of Plymouth,84.9%,86.9%,13.1%,124,58.2%,85.3,免费评估
63,哈德斯菲尔德大学University of Huddersfield,81.1%,79.6%,4.1%,127,77.3%,85.3,免费评估
65,布拉德福德大学University of Bradford,77.8%,82.1%,11.8%,129,70.7%,85.2,免费评估
66,牛津布鲁克斯大学Oxford Brookes University,83.8%,82.7%,5.1%,122,69.7%,85.0,免费评估
67,莱斯特大学University of Leicester,68.9%,72.7%,24.3%,126,77.5%,84.7,免费评估
68,格罗斯特大学University of Gloucestershire,84.9%,77.9%,,102,82.2%,84.4,免费评估
69,赫特福德大学University of Hertfordshire,83.0%,85.2%,0.9%,111,72.1%,84.1,免费评估
70,Solent University,83.4%,87.1%,,112,69.4%,83.9,免费评估
71,布鲁内尔大学Brunel University,74.3%,79.7%,23.0%,112,65.0%,83.6,免费评估
72,西英格兰大学University of the West of England,79.2%,82.6%,5.5%,113,71.1%,83.5,免费评估
72,蒂赛德大学Teesside University,84.1%,79.3%,2.0%,102,75.0%,83.5,免费评估
72,阿伯泰邓迪大学University of Abertay Dundee,85.6%,85.0%,,136,55.2%,83.5,免费评估
75,泰晤士河谷大学Thames Valley University,89.6%,89.2%,,107,56.7%,83.3,免费评估
