Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,拉夫堡大学Loughborough University,85.6%,89.2%,45.1%,160,89.0%,100.0,免费评估
2,卡迪夫大学Cardiff University,76.1%,78.1%,55.4%,..,92.3%,96.0,免费评估
3,亚伯大学Aberystwyth University,86.0%,83.4%,9.2%,..,85.4%,92.2,免费评估
4,布鲁内尔大学Brunel University,78.4%,77.0%,23.0%,146,80.4%,90.5,免费评估
5,德比大学University of Derby,79.5%,77.2%,13.5%,139,78.9%,88.3,免费评估
6,德蒙福特大学De Montfort University,76.4%,74.4%,31.2%,113,82.9%,87.6,免费评估
7,诺桑比亚大学Northumbria University,71.6%,68.9%,21.0%,147,73.0%,86.4,免费评估
8,龙比亚大学Napier University,74.7%,71.7%,9.5%,141,79.4%,86.1,免费评估
9,罗伯特高登大学The Robert Gordon University,79.4%,75.8%,7.5%,..,76.9%,86.0,免费评估
10,利兹贝克特大学Leeds Beckett University,78.3%,75.8%,11.0%,124,78.7%,85.8,免费评估
11,谢菲尔德哈莱姆大学Sheffield Hallam University,82.2%,80.7%,14.4%,111,73.2%,85.4,免费评估
12,伯明翰城市大学Birmingham City University,80.0%,77.5%,6.0%,123,..,85.2,免费评估
13,朴茨茅斯大学University of Portsmouth,77.4%,76.6%,12.8%,113,81.2%,85.1,免费评估
14,格罗斯特大学University of Gloucestershire,75.2%,74.3%,..,127,75.8%,83.1,免费评估
15,东伦敦大学University of East London,85.6%,86.0%,13.9%,112,46.8%,82.7,免费评估
16,威斯敏斯特大学University of Westminster,71.2%,70.6%,28.3%,125,58.7%,82.6,免费评估
17,剑桥安鲁大学Anglia Ruskin University,75.5%,71.9%,26.4%,..,58.1%,81.9,免费评估
18,伍尔弗汉普顿大学University of Wolverhampton,68.5%,67.6%,33.2%,..,66.7%,81.6,免费评估
19,赫特福德大学University of Hertfordshire,69.3%,72.1%,..,114,86.0%,81.5,免费评估
20,曼彻斯特城市大学Manchester Metropolitan University,79.0%,75.4%,4.7%,129,51.2%,80.9,免费评估
21,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,67.0%,67.6%,15.2%,..,72.8%,79.9,免费评估
22,伦敦都市大学London Metropolitan University,74.9%,73.6%,5.9%,87,67.3%,77.8,免费评估
