Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,巴斯大学University of Bath,87.1%,86.1%,52.9%,205.0,96.6%,100.0,免费评估
2,剑桥大学University of Cambridge,,,49.0%,221.0,90.9%,97.7,免费评估
3,拉夫堡大学Loughborough University,87.7%,87.7%,58.3%,165.0,,96.4,免费评估
4,谢菲尔德大学The University of Sheffield,86.1%,87.3%,36.6%,179.0,96.4%,95.3,免费评估
5,伦敦大学学院University College London,77.7%,74.6%,54.1%,199.0,91.0%,95.2,免费评估
6,卡迪夫大学Cardiff University,84.2%,80.4%,40.7%,186.0,94.5%,94.9,免费评估
7,思克莱德大学University of Strathclyde,88.1%,78.9%,23.0%,198.0,93.5%,93.5,免费评估
8,纽卡斯尔大学Newcastle University,82.3%,82.8%,43.7%,175.0,89.9%,93.1,免费评估
9,英国女王大学Queen's University Belfast,89.8%,86.4%,35.2%,153.0,91.1%,92.2,免费评估
10,曼彻斯特建筑学院Manchester School of Architecture,85.1%,85.0%,12.6%,170.0,94.7%,90.0,免费评估
11,利物浦大学The University of Liverpool,79.1%,81.0%,43.5%,151.0,86.5%,89.4,免费评估
12,爱丁堡大学The University of Edinburgh,74.9%,74.1%,35.1%,181.0,87.5%,89.3,免费评估
13,邓迪大学University of Dundee,83.4%,83.7%,8.7%,178.0,87.3%,87.5,免费评估
14,牛津布鲁克斯大学Oxford Brookes University,84.9%,83.5%,17.6%,157.0,85.6%,87.1,免费评估
15,西英格兰大学University of the West of England,88.9%,89.0%,10.6%,149.0,86.0%,86.8,免费评估
16,伦敦艺术大学University of the Arts London,82.7%,77.1%,,181.0,90.6%,86.5,免费评估
17,肯特大学University of Kent,74.1%,75.0%,33.3%,154.0,85.6%,86.3,免费评估
18,阿尔斯特大学University of Ulster,81.7%,77.2%,28.6%,128.0,88.2%,85.9,免费评估
18,Solent University,100.0%,99.2%,,97.0,92.6%,85.9,免费评估
18,诺丁汉大学University of Nottingham,75.9%,74.2%,14.8%,167.0,90.1%,85.9,免费评估
21,诺桑比亚大学Northumbria University,89.6%,90.7%,5.9%,153.0,82.3%,85.7,免费评估
22,普利茅斯大学University of Plymouth,87.1%,85.3%,13.2%,130.0,88.3%,85.5,免费评估
23,考文垂大学Coventry University,88.6%,88.7%,10.3%,128.0,86.3%,85.0,免费评估
24,罗伯特高登大学The Robert Gordon University,82.6%,79.7%,8.3%,163.0,81.2%,84.1,免费评估
24,雷丁大学University of Reading,72.9%,78.0%,40.0%,136.0,,84.1,免费评估
26,伯恩茅斯艺术大学Arts University Bournemouth,93.4%,86.0%,2.4%,134.0,82.2%,83.9,免费评估
27,威斯敏斯特大学University of Westminster,84.9%,81.6%,10.7%,141.0,82.3%,83.6,免费评估
27,格林威治大学The University of Greenwich,89.0%,81.2%,2.0%,147.0,82.5%,83.6,免费评估
27,德比大学University of Derby,85.5%,83.7%,6.7%,130.0,86.6%,83.6,免费评估
30,诺丁汉特伦特大学Nottingham Trent University,82.0%,84.2%,3.4%,131.0,88.1%,82.9,免费评估
31,创意艺术大学University for the Creative Arts,83.2%,82.8%,3.4%,137.0,84.6%,82.6,免费评估
32,利物浦约翰摩尔斯大学Liverpool John Moores University,83.8%,82.8%,4.9%,152.0,78.8%,82.5,免费评估
33,德蒙福特大学De Montfort University,65.7%,67.2%,35.9%,109.0,89.0%,81.5,免费评估
33,朴茨茅斯大学University of Portsmouth,80.4%,81.0%,,116.0,91.7%,81.5,免费评估
35,伦敦南岸大学London South Bank University,78.9%,75.8%,19.6%,103.0,82.6%,80.3,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,91.8%,91.7%,,92.0,82.1%,80.3,免费评估
37,谢菲尔德哈莱姆大学Sheffield Hallam University,88.1%,87.3%,13.4%,112.0,69.5%,79.5,免费评估
37,伯明翰城市大学Birmingham City University,81.9%,79.6%,9.6%,126.0,75.3%,79.5,免费评估
39,法尔茅斯大学Falmouth University,68.6%,67.8%,,104.0,100.0%,79.1,免费评估
40,布莱顿大学University of Brighton,84.9%,77.4%,13.1%,114.0,69.8%,78.1,免费评估
41,诺里奇艺术大学Norwich University of the Arts,90.2%,78.9%,,106.0,73.7%,77.6,免费评估
42,哈德斯菲尔德大学University of Huddersfield,72.8%,77.3%,,137.0,76.5%,77.2,免费评估
43,伦敦都市大学London Metropolitan University,84.6%,75.1%,7.2%,99.0,75.3%,77.1,免费评估
43,索尔福德大学University of Salford,69.9%,66.8%,19.6%,120.0,75.6%,77.1,免费评估
43,米德塞斯大学Middlesex University,88.0%,80.8%,13.3%,122.0,60.0%,77.1,免费评估
46,东伦敦大学University of East London,89.8%,84.7%,8.1%,113.0,63.0%,77.0,免费评估
47,金斯顿大学Kingston University,77.7%,74.9%,10.1%,127.0,69.2%,76.8,免费评估
48,利兹贝克特大学Leeds Beckett University,75.7%,70.7%,5.6%,123.0,74.1%,76.3,免费评估
49,龙比亚大学Napier University,67.7%,73.6%,5.7%,133.0,74.3%,75.8,免费评估
50,剑桥安鲁大学Anglia Ruskin University,79.6%,68.5%,5.2%,89.0,78.6%,75.2,免费评估
51,University of Lincoln,56.2%,54.6%,3.2%,124.0,89.6%,74.6,免费评估
51,中央兰开夏大学University of Central Lancashire,66.7%,61.7%,3.0%,129.0,77.8%,74.6,免费评估
53,伍尔弗汉普顿大学University of Wolverhampton,85.4%,81.0%,5.6%,97.0,60.9%,73.6,免费评估
54,北安普顿大学The University of Northampton,71.4%,59.9%,,102.0,78.6%,73.0,免费评估
55,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,70.5%,68.4%,9.1%,,69.2%,72.2,免费评估
56,Ravensbourne University London,62.0%,57.1%,,99.0,66.7%,67.4,免费评估
