Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,格拉斯哥大学University of Glasgow,77.7%,75.4%,53.9%,198,68.5%,100.0,免费评估
2,萨塞克斯大学University of Sussex,93.6%,90.7%,45.6%,153,76.7%,99.9,免费评估
3,兰卡斯特大学Lancaster University,94.0%,91.9%,48.0%,167,64.6%,99.5,免费评估
4,华威大学The University of Warwick,83.8%,78.5%,61.7%,159,73.1%,98.6,免费评估
5,埃塞克斯大学University of Essex,94.4%,90.9%,37.7%,135,85.4%,98.5,免费评估
6,玛格丽特女王大学Queen Margaret University,89.9%,81.2%,14.0%,187,74.4%,97.6,免费评估
7,曼彻斯特大学The University of Manchester,,,58.6%,172,56.5%,97.3,免费评估
8,埃克塞特大学University of Exeter,82.7%,85.2%,46.3%,157,75.3%,97.2,免费评估
9,"中央演讲与戏剧学院Central School of Speech & Drama, U of London",,,47.7%,143,76.3%,96.6,免费评估
10,龙比亚大学Napier University,81.7%,81.8%,37.9%,167,66.7%,94.7,免费评估
11,伯明翰大学University of Birmingham,71.2%,72.1%,36.9%,174,75.9%,94.1,免费评估
12,布里斯托大学University of Bristol,77.6%,73.5%,48.7%,178,56.2%,93.7,免费评估
13,苏格兰皇家音乐学院Royal Conservatoire of Scotland,82.7%,79.7%,11.3%,146,91.1%,93.5,免费评估
14,萨里大学University of Surrey,81.6%,79.7%,27.2%,165,66.9%,92.8,免费评估
15,拉夫堡大学Loughborough University,88.4%,87.5%,32.4%,149,62.5%,92.7,免费评估
16,利兹大学University of Leeds,81.5%,83.4%,28.0%,161,66.3%,92.6,免费评估
17,伦敦大学玛丽女王学院Queen Mary University of London,80.6%,76.2%,68.4%,138,56.8%,92.3,免费评估
18,谢菲尔德大学The University of Sheffield,69.3%,78.4%,60.0%,149*,63.9%,91.8,免费评估
19,伯恩茅斯艺术大学Arts University Bournemouth,85.0%,84.5%,2.4%,152,79.2%,91.5,免费评估
20,伦敦大学皇家霍洛威学院Royal Holloway University of London,77.9%,76.4%,50.6%,146,61.1%,91.1,免费评估
21,东英吉利大学University of East Anglia,80.3%,81.0%,43.8%,164,49.5%,91.0,免费评估
21,亚伯大学Aberystwyth University,94.0%,87.7%,30.3%,120,67.0%,91.0,免费评估
23,约克大学The University of York,76.2%,74.9%,26.0%,169,64.4%,90.9,免费评估
24,肯特大学University of Kent,79.9%,74.0%,44.3%,132,69.3%,90.4,免费评估
25,牛津布鲁克斯大学Oxford Brookes University,88.1%,83.6%,27.8%,129*,68.3%,90.3,免费评估
26,曼彻斯特城市大学Manchester Metropolitan University,86.7%,86.1%,7.5%,146,68.4%,89.5,免费评估
27,考文垂大学Coventry University,86.5%,84.3%,18.1%,127,72.0%,89.1,免费评估
28,哈德斯菲尔德大学University of Huddersfield,84.8%,83.8%,28.0%,131,64.7%,89.0,免费评估
29,德蒙福特大学De Montfort University,83.9%,83.7%,14.5%,123,78.8%,88.9,免费评估
30,英国女王大学Queen's University Belfast,79.3%,76.5%,38.3%,147,55.7%,88.6,免费评估
31,阿伯丁大学University of Aberdeen,78.2%,68.4%,29.3%,153*,,88.4,免费评估
32,爱丁堡大学The University of Edinburgh,65.7%,52.5%,48.0%,182,52.0%,88.3,免费评估
33,东伦敦大学University of East London,87.1%,84.6%,11.2%,132,64.5%,87.4,免费评估
34,雷丁大学University of Reading,76.3%,76.5%,34.8%,139,57.5%,86.8,免费评估
35,诺丁汉特伦特大学Nottingham Trent University,73.2%,68.8%,10.0%,158,68.7%,86.7,免费评估
36,罗伯特高登大学The Robert Gordon University,91.0%,81.5%,11.5%,,52.9%,86.6,免费评估
37,法尔茅斯大学Falmouth University,80.0%,74.5%,6.2%,137,73.4%,86.5,免费评估
38,泰晤士河谷大学Thames Valley University,91.2%,88.5%,2.3%,146,50.9%,86.2,免费评估
39,创意艺术大学University for the Creative Arts,80.9%,76.5%,3.4%,139,69.3%,86.0,免费评估
39,威斯敏斯特大学University of Westminster,76.4%,74.4%,,142,75.6%,86.0,免费评估
41,斯塔福德郡大学Staffordshire University,87.4%,81.7%,,118,73.9%,85.7,免费评估
41,赫特福德大学University of Hertfordshire,78.8%,76.3%,5.3%,130,74.9%,85.7,免费评估
43,德比大学University of Derby,86.3%,78.8%,5.1%,119,69.0%,85.0,免费评估
44,赫尔大学The University of Hull,87.4%,84.9%,11.2%,129,54.8%,84.8,免费评估
45,罗汉普顿大学Roehampton University,76.0%,73.2%,46.6%,116,55.5%,84.6,免费评估
46,朴茨茅斯大学University of Portsmouth,78.9%,77.0%,,122,76.6%,84.4,免费评估
47,利物浦大学The University of Liverpool,73.9%,71.2%,3.0%,129,77.3%,84.2,免费评估
48,伯明翰城市大学Birmingham City University,80.1%,73.5%,11.6%,130,63.2%,84.1,免费评估
48,诺丁汉大学University of Nottingham,67.3%,63.5%,45.8%,138,54.5%,84.1,免费评估
50,米德塞斯大学Middlesex University,78.5%,73.5%,16.1%,130,61.6%,84.0,免费评估
51,伦敦大学金史密斯学院Goldsmiths University of London,75.5%,65.6%,28.3%,132,57.6%,83.7,免费评估
52,巴斯斯巴大学Bath Spa University,78.7%,74.7%,10.7%,132,59.9%,83.3,免费评估
52,中央兰开夏大学University of Central Lancashire,78.3%,74.1%,3.9%,138,61.6%,83.3,免费评估
54,布鲁内尔大学Brunel University,76.7%,72.4%,32.6%,130,49.5%,83.2,免费评估
55,伦敦艺术大学University of the Arts London,79.9%,72.2%,,139,61.7%,83.1,免费评估
55,阿尔斯特大学University of Ulster,89.5%,85.2%,40.0%,126,27.2%,83.1,免费评估
57,University of Lincoln,79.7%,75.7%,6.5%,126,63.2%,83.0,免费评估
58,诺里奇艺术大学Norwich University of the Arts,76.6%,72.3%,,127,70.8%,82.8,免费评估
59,伦敦南岸大学London South Bank University,79.6%,72.9%,,122,70.1%,82.7,免费评估
59,西英格兰大学University of the West of England,83.9%,79.2%,,133,56.4%,82.7,免费评估
61,蒂赛德大学Teesside University,85.4%,83.6%,2.9%,130,51.9%,82.5,免费评估
61,西苏格兰大学University of the West of Scotland,83.9%,75.5%,,142,51.8%,82.5,免费评估
61,纽曼大学Newman University,92.5%,81.5%,9.6%,122,45.8%,82.5,免费评估
61,格罗斯特大学University of Gloucestershire,81.8%,77.1%,,131,59.5%,82.5,免费评估
65,诺桑比亚大学Northumbria University,81.1%,74.7%,13.3%,142,44.7%,82.2,免费评估
65,利物浦约翰摩尔斯大学Liverpool John Moores University,77.3%,76.6%,,140,57.4%,82.2,免费评估
67,伍尔弗汉普顿大学University of Wolverhampton,92.1%,90.1%,,113,51.5%,82.0,免费评估
67,普利茅斯大学University of Plymouth,78.4%,74.5%,20.2%,132,48.2%,82.0,免费评估
