Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,78.3%,240,84.0%,100.0,免费评估
2,牛津大学University of Oxford,,,70.8%,232,93.4%,97.4,免费评估
3,拉夫堡大学Loughborough University,91.2%,87.4%,41.8%,149,95.9%,92.9,免费评估
4,谢菲尔德大学The University of Sheffield,77.5%,79.3%,41.0%,165,95.7%,90.4,免费评估
5,帝国理工学院Imperial College London,65.7%,69.2%,62.3%,196,82.8%,90.0,免费评估
6,曼彻斯特大学The University of Manchester,87.5%,87.7%,36.4%,171,74.6%,88.1,免费评估
7,埃克塞特大学University of Exeter,81.6%,83.3%,36.4%,147,87.8%,87.5,免费评估
8,伯明翰大学University of Birmingham,73.5%,73.5%,49.3%,163,83.7%,87.4,免费评估
9,斯旺西大学Swansea University,75.8%,79.1%,45.5%,115,95.0%,86.5,免费评估
10,谢菲尔德哈莱姆大学Sheffield Hallam University,84.5%,84.5%,17.8%,121,76.1%,80.2,免费评估
11,伦敦大学玛丽女王学院Queen Mary University of London,60.8%,73.7%,40.0%,134,76.4%,79.1,免费评估
12,伯明翰城市大学Birmingham City University,74.4%,71.0%,,130,77.3%,74.8,免费评估
13,德蒙福特大学De Montfort University,84.4%,79.4%,12.5%,91,65.8%,73.8,免费评估
14,新白金汉大学Buckinghamshire New University,54.1%,52.9%,,138*,55.0%,64.1,免费评估
15,哈德斯菲尔德大学University of Huddersfield,56.8%,48.9%,10.2%,126,46.9%,63.0,免费评估
