Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,华威大学The University of Warwick,81.2%,81.6%,49.6%,197,92.8%,100.0,免费评估
2,圣安德鲁斯大学University of St Andrews,87.4%,87.6%,23.6%,215,92.5%,99.7,免费评估
3,剑桥大学University of Cambridge,,,45.0%,233,94.1%,99.6,免费评估
4,牛津大学University of Oxford,,,58.0%,218,84.3%,99.0,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,68.8%,66.3%,70.7%,203,89.8%,97.7,免费评估
6,思克莱德大学University of Strathclyde,81.9%,84.7%,44.3%,203,79.4%,97.2,免费评估
7,伦敦大学学院University College London,67.6%,70.7%,70.2%,196,85.8%,96.6,免费评估
8,利兹大学University of Leeds,78.3%,80.6%,39.3%,174,88.1%,95.3,免费评估
9,巴斯大学University of Bath,70.6%,77.5%,41.8%,187,90.8%,94.8,免费评估
10,拉夫堡大学Loughborough University,81.8%,85.1%,32.6%,157,87.3%,94.6,免费评估
11,格拉斯哥大学University of Glasgow,75.6%,81.4%,26.4%,188,89.3%,94.1,免费评估
11,布里斯托大学University of Bristol,75.6%,77.5%,43.6%,178,83.6%,94.1,免费评估
13,诺丁汉大学University of Nottingham,72.7%,78.6%,31.7%,185,87.6%,93.2,免费评估
14,埃克塞特大学University of Exeter,72.5%,76.4%,26.9%,181,91.9%,92.9,免费评估
15,兰卡斯特大学Lancaster University,72.9%,78.1%,42.6%,150,87.4%,92.5,免费评估
16,杜伦大学Durham University,71.6%,71.6%,23.1%,201,90.1%,92.3,免费评估
17,东英吉利大学University of East Anglia,85.2%,86.8%,25.7%,136,79.9%,91.7,免费评估
18,斯特林大学University of Stirling,84.5%,80.8%,25.2%,148,80.4%,91.5,免费评估
19,赫瑞瓦特大学Heriot Watt University,82.8%,82.9%,18.8%,141,85.7%,91.3,免费评估
20,阿伯丁大学University of Aberdeen,74.1%,78.2%,16.0%,188,85.1%,90.9,免费评估
21,利物浦大学The University of Liverpool,79.9%,81.4%,20.1%,146,85.1%,90.7,免费评估
22,阿斯顿大学Aston University,78.6%,79.2%,19.7%,128,91.8%,90.5,免费评估
23,约克大学The University of York,74.9%,77.6%,22.6%,152,86.7%,90.1,免费评估
24,伯明翰大学University of Birmingham,74.1%,75.5%,26.6%,158,84.3%,90.0,免费评估
24,伦敦大学玛丽女王学院Queen Mary University of London,75.4%,81.0%,31.3%,151,78.6%,90.0,免费评估
26,伦敦大学皇家霍洛威学院Royal Holloway University of London,76.8%,78.2%,31.3%,122,85.9%,89.9,免费评估
27,萨里大学University of Surrey,72.8%,77.3%,33.0%,153,80.5%,89.7,免费评估
27,哈德斯菲尔德大学University of Huddersfield,87.7%,89.2%,4.1%,120,,89.7,免费评估
27,爱丁堡大学The University of Edinburgh,69.2%,75.1%,30.2%,191,77.3%,89.7,免费评估
30,斯旺西大学Swansea University,79.2%,82.0%,22.0%,129,83.6%,89.5,免费评估
30,南安普顿大学University of Southampton,74.5%,77.6%,23.4%,145,85.8%,89.5,免费评估
32,诺丁汉特伦特大学Nottingham Trent University,85.1%,84.4%,4.6%,123,87.6%,89.4,免费评估
32,埃塞克斯大学University of Essex,80.5%,83.3%,43.6%,100,75.0%,89.4,免费评估
34,谢菲尔德大学The University of Sheffield,75.4%,77.6%,16.6%,155,85.7%,89.3,免费评估
35,曼彻斯特大学The University of Manchester,71.0%,74.9%,26.8%,168,79.7%,88.8,免费评估
36,萨塞克斯大学University of Sussex,76.3%,75.8%,25.1%,143,80.0%,88.5,免费评估
36,肯特大学University of Kent,78.2%,82.6%,14.6%,134,82.8%,88.5,免费评估
38,纽卡斯尔大学Newcastle University,67.1%,71.4%,20.7%,155,90.7%,88.2,免费评估
38,邓迪大学University of Dundee,75.3%,73.8%,12.1%,174,80.7%,88.2,免费评估
40,西英格兰大学University of the West of England,86.3%,86.5%,5.5%,116,79.2%,87.8,免费评估
40,卡迪夫都市大学Cardiff Metropolitan University,88.0%,91.4%,,105,81.0%,87.8,免费评估
42,英国女王大学Queen's University Belfast,73.6%,73.5%,32.7%,142,74.8%,87.4,免费评估
43,赫特福德大学University of Hertfordshire,91.7%,91.1%,0.9%,98,75.9%,87.2,免费评估
44,伦敦大学亚非学院SOAS University of London,73.2%,69.1%,22.9%,149,81.0%,87.1,免费评估
45,班戈大学Bangor University,82.5%,87.9%,23.4%,97,70.6%,86.5,免费评估
46,伦敦南岸大学London South Bank University,83.9%,79.3%,,104,86.7%,86.4,免费评估
47,卡迪夫大学Cardiff University,68.3%,69.7%,32.0%,154,74.8%,86.3,免费评估
48,伦敦大学金史密斯学院Goldsmiths University of London,86.6%,82.9%,16.8%,113,67.7%,86.2,免费评估
49,阿尔斯特大学University of Ulster,73.9%,74.4%,39.2%,121,69.9%,86.1,免费评估
49,索尔福德大学University of Salford,87.1%,86.6%,5.9%,109,72.4%,86.1,免费评估
51,考文垂大学Coventry University,78.8%,82.5%,1.6%,113,84.3%,85.8,免费评估
52,赫尔大学The University of Hull,77.2%,80.2%,10.2%,114,79.7%,85.4,免费评估
53,白金汉大学The University of Buckingham,76.8%,77.9%,,116,86.0%,85.1,免费评估
54,德蒙福特大学De Montfort University,78.2%,79.5%,10.7%,94,82.2%,85.0,免费评估
55,雷丁大学University of Reading,69.9%,72.1%,29.3%,129,73.5%,84.8,免费评估
56,普利茅斯大学University of Plymouth,79.9%,77.3%,13.1%,113,73.7%,84.7,免费评估
56,朴茨茅斯大学University of Portsmouth,78.0%,79.2%,9.5%,105,79.1%,84.7,免费评估
56,伦敦国王学院King's College London,70.3%,70.5%,,181,78.3%,84.7,免费评估
59,莱斯特大学University of Leicester,72.0%,74.0%,21.4%,127,73.4%,84.3,免费评估
60,中央兰开夏大学University of Central Lancashire,87.6%,85.7%,4.4%,102,66.7%,84.2,免费评估
61,伦敦都市大学London Metropolitan University,88.0%,90.4%,,104,65.4%,84.1,免费评估
62,牛津布鲁克斯大学Oxford Brookes University,75.8%,79.2%,5.1%,119,76.4%,83.7,免费评估
63,格林威治大学The University of Greenwich,84.3%,81.4%,3.3%,124,65.2%,83.6,免费评估
64,基尔大学Keele University,80.5%,75.9%,10.2%,110,69.6%,83.1,免费评估
65,东伦敦大学University of East London,91.9%,90.9%,0.8%,87,59.6%,82.9,免费评估
