Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,83.7%*,85.5%*,67.0%,239.0,93.6%,100.0,免费评估
2,帝国理工学院Imperial College London,73.3%,77.3%,59.6%,221.0,86.2%,92.8,免费评估
3,布里斯托大学University of Bristol,84.1%,88.4%,52.3%,204.0,78.0%,92.2,免费评估
4,巴斯大学University of Bath,81.0%,86.1%,37.4%,198.0,85.9%,90.7,免费评估
5,利兹大学University of Leeds,83.8%,83.7%,40.9%,173.0,83.5%,89.3,免费评估
6,格拉斯哥大学University of Glasgow,70.7%,73.4%,47.2%,209.0,82.8%,88.5,免费评估
7,斯旺西大学Swansea University,78.5%,81.6%,45.5%,149.0,86.2%,87.4,免费评估
7,南安普顿大学University of Southampton,74.7%,75.9%,52.3%,181.0,78.7%,87.4,免费评估
9,拉夫堡大学Loughborough University,76.8%,81.1%,41.8%,168.0,84.1%,87.3,免费评估
10,纽卡斯尔大学Newcastle University,71.0%,72.7%,30.2%,,95.2%,86.5,免费评估
11,诺丁汉大学University of Nottingham,77.7%,71.4%,40.8%,168.0,80.5%,85.5,免费评估
12,思克莱德大学University of Strathclyde,70.9%,75.1%,37.2%,208.0,73.2%,85.0,免费评估
13,考文垂大学Coventry University,91.0%,89.2%,10.3%,137.0,80.9%,84.1,免费评估
14,曼彻斯特大学The University of Manchester,73.7%,73.0%,35.1%,170.0,77.4%,83.5,免费评估
15,西苏格兰大学University of the West of Scotland,93.3%,93.9%,9.0%,152.0,65.6%,82.3,免费评估
15,萨里大学University of Surrey,75.2%,75.0%,30.8%,163.0,75.0%,82.3,免费评估
17,利物浦大学The University of Liverpool,73.3%,77.8%,32.1%,143.0,80.1%,82.2,免费评估
17,谢菲尔德大学The University of Sheffield,66.6%,71.9%,36.0%,156.0,82.8%,82.2,免费评估
19,阿尔斯特大学University of Ulster,88.0%,85.6%,,131.0,80.6%,81.2,免费评估
20,西英格兰大学University of the West of England,80.4%,80.8%,10.6%,133.0,81.3%,80.8,免费评估
21,普利茅斯大学University of Plymouth,76.9%,79.1%,15.7%,126.0,83.7%,80.6,免费评估
22,伦敦大学玛丽女王学院Queen Mary University of London,67.6%,74.8%,46.7%,133.0,71.4%,79.8,免费评估
23,英国女王大学Queen's University Belfast,66.5%,65.4%,36.7%,148.0,77.4%,79.7,免费评估
24,朴茨茅斯大学University of Portsmouth,76.2%,77.4%,9.1%,111.0,88.9%,79.5,免费评估
25,萨塞克斯大学University of Sussex,69.7%,74.2%,,142.0,87.5%,78.4,免费评估
26,布鲁内尔大学Brunel University,63.8%,65.6%,23.7%,144.0,82.1%,78.3,免费评估
27,赫特福德大学University of Hertfordshire,71.7%,73.2%,16.5%,111.0,83.6%,77.9,免费评估
28,斯塔福德郡大学Staffordshire University,78.2%,71.4%,5.7%,116.0,79.3%,76.9,免费评估
29,阿斯顿大学Aston University,78.2%,79.1%,20.6%,126.0,61.5%,76.2,免费评估
30,伦敦城市大学City University London,76.6%,84.2%,23.1%,133.0,55.6%,75.8,免费评估
31,南威尔士大学The University of South Wales,82.8%,78.9%,,122.0,65.0%,75.0,免费评估
32,谢菲尔德哈莱姆大学Sheffield Hallam University,70.5%,63.9%,17.8%,122.0,71.4%,74.6,免费评估
33,新白金汉大学Buckinghamshire New University,75.8%,67.3%,,111.0,74.1%,73.6,免费评估
34,索尔福德大学University of Salford,66.1%,71.3%,4.4%,129.0,68.8%,72.5,免费评估
35,伍尔弗汉普顿大学University of Wolverhampton,71.2%,72.4%,4.4%,101.0,,71.6,免费评估
36,蒂赛德大学Teesside University,67.5%,62.2%,5.8%,121.0,,71.1,免费评估
37,中央兰开夏大学University of Central Lancashire,60.2%,61.0%,7.1%,137.0,,70.3,免费评估
38,金斯顿大学Kingston University,70.6%,68.2%,2.9%,116.0,57.9%,69.4,免费评估
39,布莱顿大学University of Brighton,67.6%,74.3%,7.4%,121.0,52.0%,68.9,免费评估
