Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,圣安德鲁斯大学University of St Andrews,90.6%,91.5%,37.6%,204,100.0%,100.0,免费评估
2,剑桥大学University of Cambridge,,,52.5%,240,84.0%,98.7,免费评估
3,纽卡斯尔大学Newcastle University,91.8%,86.7%,47.8%,179,91.8%,97.0,免费评估
4,邓迪大学University of Dundee,86.0%,89.1%,55.4%,188,79.8%,94.7,免费评估
5,牛津大学University of Oxford,,,50.9%,222,76.3%,92.5,免费评估
6,格拉斯哥大学University of Glasgow,81.8%,83.9%,33.4%,199,84.7%,92.4,免费评估
7,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,92.1%,91.8%,8.1%,165,97.5%,92.2,免费评估
8,伦敦大学学院University College London,77.5%,77.8%,55.4%,193,78.7%,92.0,免费评估
9,拉夫堡大学Loughborough University,88.2%*,92.3%*,52.1%,150*,79.2%,91.7,免费评估
10,布里斯托大学University of Bristol,82.9%,82.7%,49.7%,176,75.0%,90.3,免费评估
11,哈德斯菲尔德大学University of Huddersfield,90.2%,86.5%,7.8%,139,99.7%,89.6,免费评估
12,布莱顿大学University of Brighton,96.7%,95.8%,4.8%,128,95.3%,89.3,免费评估
13,利兹大学University of Leeds,79.3%,80.7%,40.9%,165,82.1%,89.1,免费评估
14,索尔福德大学University of Salford,96.7%,95.4%,12.7%,126,90.5%,89.0,免费评估
14,阿伯丁大学University of Aberdeen,86.8%,88.5%,34.7%,184,70.3%,89.0,免费评估
16,利物浦大学The University of Liverpool,86.7%,86.9%,31.7%,147,83.3%,88.7,免费评估
17,卡迪夫大学Cardiff University,83.1%,85.3%,33.3%,152,,88.6,免费评估
18,曼彻斯特大学The University of Manchester,83.2%,80.7%,38.3%,166,76.4%,88.2,免费评估
19,萨塞克斯大学University of Sussex,68.9%,71.9%,46.8%,160,84.9%,87.3,免费评估
20,伦敦国王学院King's College London,75.8%,77.0%,38.0%,163,78.4%,86.5,免费评估
21,伯明翰大学University of Birmingham,76.8%,74.1%,31.5%,163,,86.2,免费评估
22,斯旺西大学Swansea University,72.3%,76.2%,44.7%,155,,86.1,免费评估
23,英国女王大学Queen's University Belfast,72.4%,72.1%,33.3%,157,85.0%,85.9,免费评估
24,爱丁堡大学The University of Edinburgh,65.1%,63.8%,52.8%,188,68.7%,84.7,免费评估
25,"圣乔治医学院St George's, University of London",74.3%,73.8%,20.0%,128,94.4%,84.6,免费评估
26,诺丁汉大学University of Nottingham,77.2%,77.1%,26.5%,156,77.5%,84.3,免费评估
26,卡迪夫都市大学Cardiff Metropolitan University,79.6%,76.4%,,146,93.8%,84.3,免费评估
28,莱斯特大学University of Leicester,81.6%,80.7%,36.5%,135,73.0%,84.1,免费评估
29,中央兰开夏大学University of Central Lancashire,85.5%,86.2%,8.3%,,74.4%,83.0,免费评估
30,曼彻斯特城市大学Manchester Metropolitan University,81.4%,80.7%,12.0%,135,82.2%,82.9,免费评估
31,东伦敦大学University of East London,89.8%,88.0%,,127,79.7%,82.3,免费评估
32,考文垂大学Coventry University,85.0%,85.8%,4.5%,119,82.2%,81.7,免费评估
33,阿尔斯特大学University of Ulster,82.1%,80.4%,,134,83.1%,81.4,免费评估
34,伦敦大学玛丽女王学院Queen Mary University of London,62.8%,69.3%,26.1%,139,85.7%,81.3,免费评估
35,朴茨茅斯大学University of Portsmouth,72.9%,69.6%,8.1%,131*,89.5%,81.1,免费评估
36,普利茅斯大学University of Plymouth,79.2%,77.2%,,139,79.9%,80.1,免费评估
37,牛津布鲁克斯大学Oxford Brookes University,83.4%,82.8%,21.3%,134,63.6%,79.9,免费评估
38,威斯敏斯特大学University of Westminster,84.7%,81.1%,21.2%,113,68.6%,79.5,免费评估
39,玛格丽特女王大学Queen Margaret University,62.1%,58.3%,,137,97.4%,79.2,免费评估
40,基尔大学Keele University,78.5%,82.5%,16.5%,130,68.4%,79.1,免费评估
41,剑桥安鲁大学Anglia Ruskin University,71.5%,67.2%,2.2%,126,88.2%,79.0,免费评估
42,雷丁大学University of Reading,72.5%,72.1%,26.6%,128,67.4%,77.9,免费评估
43,格林威治大学The University of Greenwich,72.1%,83.2%,2.2%,123*,,76.9,免费评估
44,班戈大学Bangor University,73.4%,71.8%,,118,77.8%,76.1,免费评估
45,德比大学University of Derby,70.5%,70.3%,1.6%,105,68.8%,72.1,免费评估
