Rank,University,Country,Score,Free
1,Wageningen University and Research Center,Netherlands,100.0,免费评估
2,University of California--Davis,United States,91.2,免费评估
3,康奈尔大学Cornell University,United States,87.9,免费评估
4,China Agricultural University,China,86.8,免费评估
5,University of Massachusetts--Amherst,United States,83.9,免费评估
6,Ghent University,Belgium,81.9,免费评估
7,Universidade de São Paulo,Brazil,80.9,免费评估
8,Zhejiang University,China,79.0,免费评估
9,Nanjing Agricultural University,China,78.4,免费评估
10,University of Copenhagen,Denmark,77.9,免费评估
10,佛罗里达大学University of Florida,United States,77.9,免费评估
12,Aarhus University,Denmark,77.8,免费评估
12,Harvard University,United States,77.8,免费评估
14,University of Guelph,Canada,76.3,免费评估
15,University Hohenheim,Germany,75.4,免费评估
16,Jiangnan University,China,75.0,免费评估
17,密歇根州立大学Michigan State University,United States,74.8,免费评估
18,Northwest A&F University - China,China,74.6,免费评估
19,University of Wisconsin--Madison,United States,74.3,免费评估
20,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,74.0,免费评估
21,University of Minnesota--Twin Cities,United States,73.3,免费评估
22,University of British Columbia,Canada,73.1,免费评估
23,South China University of Technology,China,72.7,免费评估
24,University of Queensland Australia,Australia,72.5,免费评估
25,西澳大学The University of Western Australia,Australia,72.1,免费评估
26,Catholic University of Leuven,Belgium,71.9,免费评估
27,State University of Campinas,Brazil,71.4,免费评估
28,Swiss Federal Institute of Technology Zurich,Switzerland,70.3,免费评估
29,德克萨斯A&M大学Texas A & M University,United States,70.2,免费评估
30,Ohio State University--Columbus,United States,70.1,免费评估
30,University of Barcelona,Spain,70.1,免费评估
32,匹兹堡州立大学Pittsburg State University,United States,69.7,免费评估
33,Swedish University of Agricultural Sciences,Sweden,69.6,免费评估
34,Iowa State University,United States,69.0,免费评估
34,Purdue University--West Lafayette,United States,69.0,免费评估
36,"Rutgers, The State University of New Jersey--New Brunswick",United States,68.8,免费评估
37,雷丁大学University of Reading,United Kingdom,68.7,免费评估
37,University of Valencia,Spain,68.7,免费评估
39,Washington State University,United States,68.4,免费评估
40,AgroParisTech,France,68.0,免费评估
41,Technical University of Munich,Germany,67.8,免费评估
41,悉尼大学The University of Sydney,Australia,67.8,免费评估
43,Oregon State University,United States,67.5,免费评估
43,University of Nebraska--Lincoln,United States,67.5,免费评估
45,Polytechnic University of Valencia,Spain,67.4,免费评估
46,North Carolina State University--Raleigh,United States,67.2,免费评估
46,University of Bologna,Italy,67.2,免费评估
48,Nanchang University,China,65.2,免费评估
49,乔治亚大学University of Georgia,United States,64.9,免费评估
50,University of Bodenkultur Wien,Austria,64.8,免费评估
51,University College Dublin,Ireland,64.6,免费评估
52,Seoul National University,South Korea,64.5,免费评估
53,Universiti Putra Malaysia,Malaysia,64.4,免费评估
54,Technical University of Denmark,Denmark,64.1,免费评估
54,University of Maryland--College Park,United States,64.1,免费评估
56,阿德莱德大学University of Adelaide,Australia,64.0,免费评估
57,University College Cork,Ireland,63.9,免费评估
58,University of Bonn,Germany,63.6,免费评估
59,Kansas State University,United States,63.4,免费评估
60,University of Helsinki,Finland,62.6,免费评估
61,University of Granada,Spain,62.3,免费评估
62,Colorado State University,United States,61.7,免费评估
63,University of Göttingen,Germany,61.5,免费评估
64,Universitat de Lleida,Spain,61.2,免费评估
65,Massey University,New Zealand,61.0,免费评估
66,Lund University,Sweden,60.9,免费评估
67,King Abdulaziz University,Saudi Arabia,60.8,免费评估
68,University of Alberta,Canada,60.4,免费评估
69,McGill University,Canada,60.3,免费评估
70,UNESP - Universidade Estadual Paulista,Brazil,60.1,免费评估
71,University of Milan,Italy,59.7,免费评估
72,Federal University of Vicosa,Brazil,59.6,免费评估
72,塔夫茨大学Tufts University,United States,59.6,免费评估
74,University of Auckland,New Zealand,59.5,免费评估
75,University of Tehran,Iran,59.0,免费评估
76,墨尔本大学The University of Melbourne,Australia,58.9,免费评估
77,University of Porto,Portugal,58.7,免费评估
78,University of Lisbon,Portugal,58.4,免费评估
79,National University of Singapore,Singapore,58.3,免费评估
80,National Taiwan University,Taiwan,58.2,免费评估
80,University of Manitoba,Canada,58.2,免费评估
82,University of Naples Federico II,Italy,58.1,免费评估
83,University of Tokyo,Japan,58.0,免费评估
