Rank,University,Country,Score,Free
1,Tsinghua University,China,100.0,免费评估
2,National University of Singapore,Singapore,94.0,免费评估
3,麻省理工学院Massachusetts Institute of Technology,United States,93.6,免费评估
4,Aalborg University,Denmark,92.0,免费评估
5,Nanyang Technological University,Singapore,91.8,免费评估
6,Harbin Institute of Technology,China,91.5,免费评估
7,University of California--Berkeley,United States,90.9,免费评估
8,King Abdulaziz University,Saudi Arabia,88.1,免费评估
9,帝国理工学院Imperial College London,United Kingdom,87.8,免费评估
10,Shanghai Jiao Tong University,China,87.3,免费评估
10,Swiss Federal Institute of Technology Zurich,Switzerland,87.3,免费评估
12,Zhejiang University,China,86.8,免费评估
13,University of Malaya,Malaysia,86.4,免费评估
14,斯坦福大学Stanford University,United States,85.8,免费评估
15,City University Hong Kong,Hong Kong,85.6,免费评估
16,Hong Kong Polytechnic University,Hong Kong,85.1,免费评估
17,University of Michigan--Ann Arbor,United States,84.9,免费评估
18,佐治亚理工学院Georgia Institute of Technology,United States,84.7,免费评估
19,Huazhong University of Science and Technology,China,84.5,免费评估
20,Delft University of Technology,Netherlands,83.8,免费评估
21,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,83.6,免费评估
22,Southeast University,China,83.4,免费评估
23,École Polytechnique Federale of Lausanne,Switzerland,83.0,免费评估
24,新南威尔士大学The University of New South Wales,Australia,82.0,免费评估
25,Hong Kong University of Science and Technology,Hong Kong,81.5,免费评估
26,Peking University,China,81.1,免费评估
26,Tongji University,China,81.1,免费评估
28,Technical University of Denmark,Denmark,80.6,免费评估
28,Xi'an Jiaotong University,China,80.6,免费评估
30,Universite Paris Saclay (ComUE),France,80.3,免费评估
31,Islamic Azad University,Iran,80.2,免费评估
32,Royal Institute of Technology,Sweden,80.1,免费评估
33,普林斯顿大学Princeton University,United States,79.9,免费评估
34,University of Hong Kong,Hong Kong,79.8,免费评估
35,Polytechnic University of Milan,Italy,79.6,免费评估
36,Harvard University,United States,79.4,免费评估
37,阿德莱德大学University of Adelaide,Australia,79.3,免费评估
38,University of Texas--Austin,United States,79.2,免费评估
39,University of Science and Technology of China,China,78.8,免费评估
39,University of Tehran,Iran,78.8,免费评估
41,Catholic University of Leuven,Belgium,78.5,免费评估
42,University of California--San Diego,United States,78.3,免费评估
43,Tianjin University,China,78.1,免费评估
44,Purdue University--West Lafayette,United States,77.6,免费评估
45,剑桥大学University of Cambridge,United Kingdom,77.5,免费评估
46,University of Toronto,Canada,77.1,免费评估
47,Beihang University,China,76.7,免费评估
48,德克萨斯A&M大学Texas A & M University,United States,75.8,免费评估
49,University of Technology Sydney,Australia,75.3,免费评估
50,Korea Advanced Institute of Science and Technology,South Korea,75.1,免费评估
50,Universiti Teknologi Malaysia,Malaysia,75.1,免费评估
52,University of California--Los Angeles,United States,74.9,免费评估
53,Dalian University of Technology,China,74.7,免费评估
54,South China University of Technology,China,74.5,免费评估
55,卡内基梅隆大学Carnegie Mellon University,United States,74.1,免费评估
56,University of Lisbon,Portugal,74.0,免费评估
57,Beijing Institute of Technology,China,73.5,免费评估
58,University of Waterloo,Canada,73.3,免费评估
59,加利福尼亚理工学院California Institute of Technology,United States,73.2,免费评估
60,Polytechnic University of Catalonia,Spain,72.7,免费评估
61,University of British Columbia,Canada,72.6,免费评估
62,University of Maryland--College Park,United States,72.2,免费评估
63,匹兹堡州立大学Pittsburg State University,United States,72.1,免费评估
64,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,United States,72.0,免费评估
65,诺丁汉大学University of Nottingham,United Kingdom,71.8,免费评估
66,Polytechnic University of Turin,Italy,71.7,免费评估
67,Ohio State University--Columbus,United States,71.6,免费评估
68,Norwegian University of Science and Technology,Norway,71.5,免费评估
69,Beijing Jiaotong University,China,71.3,免费评估
69,University of California--Riverside,United States,71.3,免费评估
71,哥伦比亚大学Columbia University,United States,71.2,免费评估
71,蒙纳士大学Monash University,Australia,71.2,免费评估
71,皇家墨尔本理工大学Royal Melbourne Institute of Technology University,Australia,71.2,免费评估
71,曼彻斯特大学The University of Manchester,United Kingdom,71.2,免费评估
75,Eindhoven University of Technology,Netherlands,71.0,免费评估
76,Technical University of Munich,Germany,70.9,免费评估
76,牛津大学University of Oxford,United Kingdom,70.9,免费评估
78,University of Alberta,Canada,70.6,免费评估
79,南安普顿大学University of Southampton,United Kingdom,70.5,免费评估
80,佛罗里达大学University of Florida,United States,70.3,免费评估
80,University of Padua,Italy,70.3,免费评估
82,Sapienza University of Rome,Italy,70.0,免费评估
83,Chinese University Hong Kong,Hong Kong,69.8,免费评估
83,National Taiwan University,Taiwan,69.8,免费评估
85,Seoul National University,South Korea,69.6,免费评估
86,伦敦大学学院University College London,United Kingdom,69.5,免费评估
86,University of Minnesota--Twin Cities,United States,69.5,免费评估
88,Chalmers University of Technology,Sweden,69.4,免费评估
88,University of Tokyo,Japan,69.4,免费评估
90,Karlsruhe Institute of Technology,Germany,69.3,免费评估
91,Aalto University,Finland,69.2,免费评估
92,Sharif University of Technology,Iran,69.0,免费评估
93,University of Electronic Science and Technology of China,China,68.9,免费评估
94,University of Bologna,Italy,68.8,免费评估
94,芝加哥大学The University of Chicago,United States,68.8,免费评估
94,悉尼大学The University of Sydney,Australia,68.8,免费评估
97,Communaute Universite Grenoble Alpes,France,68.7,免费评估
98,National Cheng Kung University,Taiwan,68.6,免费评估
98,New York University,United States,68.6,免费评估
98,RWTH Aachen University,Germany,68.6,免费评估
101,University of Queensland Australia,Australia,68.5,免费评估
102,Lund University,Sweden,68.4,免费评估
102,McGill University,Canada,68.4,免费评估
104,科廷大学Curtin University,Australia,68.3,免费评估
104,University of Wisconsin--Madison,United States,68.3,免费评估
106,Amirkabir University of Technology (AUT),Iran,68.2,免费评估
107,University of Naples Federico II,Italy,68.1,免费评估
108,North Carolina State University--Raleigh,United States,67.7,免费评估
109,Arizona State University--Tempe,United States,67.5,免费评估
110,Wuhan University,China,67.3,免费评估
111,Indian Institute of Technology Delhi,India,67.2,免费评估
111,Tokyo Institute of Technology,Japan,67.2,免费评估
113,Technical University of Berlin,Germany,67.1,免费评估
114,澳大利亚国立大学The Australian National University,Australia,67.0,免费评估
114,南加州大学University of Southern California,United States,67.0,免费评估
116,Ghent University,Belgium,66.7,免费评估
116,University of California--Santa Barbara,United States,66.7,免费评估
116,University of Porto,Portugal,66.7,免费评估
119,Nanjing University of Aeronautics and Astronautics,China,66.4,免费评估
119,National Technical University of Athens,Greece,66.4,免费评估
121,King Saud University,Saudi Arabia,66.3,免费评估
121,爱丁堡大学The University of Edinburgh,United Kingdom,66.3,免费评估
121,University of Montreal,Canada,66.3,免费评估
124,Khalifa University of Science & Technology,United Arab Emirates,66.2,免费评估
124,Northwestern Polytechnical University,China,66.2,免费评估
126,Central South University,China,66.0,免费评估
127,Korea University,South Korea,65.8,免费评估
128,University of Tennessee,United States,65.6,免费评估
129,Nanjing University,China,65.5,免费评估
130,谢菲尔德大学The University of Sheffield,United Kingdom,65.2,免费评估
131,纽卡斯尔大学Newcastle University,Australia,65.1,免费评估
132,Chongqing University,China,64.9,免费评估
133,墨尔本大学The University of Melbourne,Australia,64.8,免费评估
133,University of Washington,United States,64.8,免费评估
135,西澳大学The University of Western Australia,Australia,64.7,免费评估
136,China University of Petroleum,China,64.5,免费评估
136,康奈尔大学Cornell University,United States,64.5,免费评估
136,Tohoku University,Japan,64.5,免费评估
139,利兹大学University of Leeds,United Kingdom,64.4,免费评估
140,Hunan University,China,64.3,免费评估
140,King Abdullah University of Science & Technology,Saudi Arabia,64.3,免费评估
140,西北大学Northwestern University,United States,64.3,免费评估
143,Polytechnic University of Valencia,Spain,64.1,免费评估
144,Kyoto University,Japan,64.0,免费评估
145,Iran University Science & Technology,Iran,63.9,免费评估
145,North China Electric Power University,China,63.9,免费评估
145,Shandong University,China,63.9,免费评估
148,约翰霍普金斯大学Johns Hopkins University,United States,63.5,免费评估
149,King Fahd University of Petroleum and Minerals (KFUPM),Saudi Arabia,63.4,免费评估
149,University of Science & Technology Beijing,China,63.4,免费评估
151,纽卡斯尔大学Newcastle University,United Kingdom,63.3,免费评估
152,Aristotle University of Thessaloniki,Greece,63.2,免费评估
152,密歇根州立大学Michigan State University,United States,63.2,免费评估
152,University of California--Davis,United States,63.2,免费评估
155,University of Lorraine,France,63.1,免费评估
156,Universiti Sains Malaysia,Malaysia,62.9,免费评估
157,Technion Israel Institute of Technology,Israel,62.8,免费评估
158,杜克大学Duke University,United States,62.6,免费评估
159,University of Auckland,New Zealand,62.4,免费评估
160,University of Colorado--Boulder,United States,62.3,免费评估
161,PSL Research University Paris (ComUE),France,62.0,免费评估
162,Universite Federale Toulouse Midi-Pyrenees (ComUE),France,61.9,免费评估
162,思克莱德大学University of Strathclyde,United Kingdom,61.9,免费评估
164,Universite de Lyon (ComUE),France,61.7,免费评估
164,University of Seville,Spain,61.7,免费评估
166,University of Trento,Italy,61.6,免费评估
167,Hanyang University,South Korea,61.5,免费评估
168,Indian Institute of Technology Bombay,India,61.3,免费评估
169,Universite Lille-Nord-de-France (ComUE),France,61.2,免费评估
169,Universiti Kebangsaan Malaysia (UKM),Malaysia,61.2,免费评估
171,University of Calgary,Canada,61.1,免费评估
172,Polytechnic University of Madrid,Spain,60.9,免费评估
172,University Djillali Liabes Sidi Bel Abbes,Algeria,60.9,免费评估
174,University of Duisburg-Essen,Germany,60.8,免费评估
175,National Tsing Hua University,Taiwan,60.7,免费评估
176,布里斯托大学University of Bristol,United Kingdom,60.6,免费评估
177,Indian Institute of Technology Kharagpur,India,60.5,免费评估
177,Xidian University,China,60.5,免费评估
179,China University of Mining,China,60.4,免费评估
180,Quaid I Azam University,Pakistan,60.3,免费评估
181,University of Coimbra,Portugal,60.1,免费评估
182,Istanbul Technical University,Turkey,60.0,免费评估
183,莱斯大学Rice University,United States,59.8,免费评估
183,Southwest Jiaotong University,China,59.8,免费评估
185,格里菲斯大学Griffith University,Australia,59.6,免费评估
185,Iowa State University,United States,59.6,免费评估
185,Sun Yat-sen University,China,59.6,免费评估
185,伯明翰大学University of Birmingham,United Kingdom,59.6,免费评估
185,University of Twente,Netherlands,59.6,免费评估
190,Sungkyunkwan University,South Korea,59.5,免费评估
190,利物浦大学The University of Liverpool,United Kingdom,59.5,免费评估
192,Indian Institute of Technology (IIT) - Roorkee,India,59.4,免费评估
192,University of Tabriz,Iran,59.4,免费评估
192,Yonsei University,South Korea,59.4,免费评估
195,Indian Institute of Technology Madras,India,59.2,免费评估
195,Northeastern University - China,China,59.2,免费评估
197,National Taiwan University of Science and Technology,Taiwan,59.1,免费评估
198,Concordia University,Canada,58.9,免费评估
