Rank,University,Country,Score,Free
1,Tsinghua University,China,100.0,免费评估
2,Nanyang Technological University,Singapore,97.5,免费评估
3,University of Texas--Austin,United States,96.7,免费评估
4,National University of Singapore,Singapore,92.5,免费评估
5,King Abdulaziz University,Saudi Arabia,90.2,免费评估
6,Huazhong University of Science and Technology,China,87.6,免费评估
7,Universite Paris Saclay (ComUE),France,86.8,免费评估
8,麻省理工学院Massachusetts Institute of Technology,United States,86.6,免费评估
9,Zhejiang University,China,85.5,免费评估
10,Southeast University,China,84.7,免费评估
11,City University Hong Kong,Hong Kong,84.4,免费评估
11,斯坦福大学Stanford University,United States,84.4,免费评估
13,Shanghai Jiao Tong University,China,83.6,免费评估
14,University of Waterloo,Canada,81.7,免费评估
15,University of British Columbia,Canada,80.3,免费评估
16,Swiss Federal Institute of Technology Zurich,Switzerland,79.9,免费评估
17,Hong Kong University of Science and Technology,Hong Kong,79.5,免费评估
18,普林斯顿大学Princeton University,United States,79.3,免费评估
19,佐治亚理工学院Georgia Institute of Technology,United States,78.1,免费评估
20,Beijing University of Posts,China,77.6,免费评估
21,南加州大学University of Southern California,United States,75.4,免费评估
22,卡内基梅隆大学Carnegie Mellon University,United States,75.0,免费评估
23,Peking University,China,74.8,免费评估
24,University of California--Berkeley,United States,74.6,免费评估
25,伦敦大学学院University College London,United Kingdom,72.8,免费评估
26,University of Electronic Science and Technology of China,China,72.0,免费评估
27,Chinese University Hong Kong,Hong Kong,71.8,免费评估
28,Harbin Institute of Technology,China,71.0,免费评估
28,University of Toronto,Canada,71.0,免费评估
30,Xidian University,China,70.2,免费评估
31,帝国理工学院Imperial College London,United Kingdom,69.5,免费评估
32,École Polytechnique Federale of Lausanne,Switzerland,69.4,免费评估
33,新南威尔士大学The University of New South Wales,Australia,69.2,免费评估
34,Hong Kong Polytechnic University,Hong Kong,69.0,免费评估
35,Harvard University,United States,68.3,免费评估
36,Polytechnic University of Catalonia,Spain,68.0,免费评估
37,University of Science and Technology of China,China,66.6,免费评估
38,Singapore University of Technology & Design,Singapore,66.5,免费评估
39,University of Technology Sydney,Australia,66.4,免费评估
40,澳大利亚国立大学The Australian National University,Australia,66.1,免费评估
41,Korea Advanced Institute of Science and Technology,South Korea,66.0,免费评估
42,University of California--San Diego,United States,65.7,免费评估
43,Aalto University,Finland,65.5,免费评估
44,Beihang University,China,65.3,免费评估
44,University of Granada,Spain,65.3,免费评估
46,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,65.2,免费评估
47,墨尔本大学The University of Melbourne,Australia,65.1,免费评估
48,Royal Institute of Technology,Sweden,64.7,免费评估
48,Technical University of Munich,Germany,64.7,免费评估
50,University of Wisconsin--Madison,United States,64.3,免费评估
51,Nanjing University of Information Science & Technology,China,63.6,免费评估
51,悉尼大学The University of Sydney,Australia,63.6,免费评估
53,阿德莱德大学University of Adelaide,Australia,62.9,免费评估
53,剑桥大学University of Cambridge,United Kingdom,62.9,免费评估
55,University of Malaya,Malaysia,62.8,免费评估
56,爱丁堡大学The University of Edinburgh,United Kingdom,62.1,免费评估
57,New York University,United States,61.7,免费评估
58,南安普顿大学University of Southampton,United Kingdom,61.5,免费评估
59,Purdue University--West Lafayette,United States,61.2,免费评估
60,University of Maryland--College Park,United States,61.1,免费评估
61,Delft University of Technology,Netherlands,60.2,免费评估
62,哥伦比亚大学Columbia University,United States,59.9,免费评估
63,Polytechnic University of Milan,Italy,59.7,免费评估
64,Nanjing University,China,59.6,免费评估
65,Arizona State University--Tempe,United States,59.2,免费评估
65,牛津大学University of Oxford,United Kingdom,59.2,免费评估
67,University of California--Los Angeles,United States,59.1,免费评估
68,Central South University,China,58.1,免费评估
69,Beijing Jiaotong University,China,57.9,免费评估
69,伦敦国王学院King's College London,United Kingdom,57.9,免费评估
69,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,United States,57.9,免费评估
72,Sungkyunkwan University,South Korea,57.8,免费评估
73,Xi'an Jiaotong University,China,57.5,免费评估
74,Linköping University,Sweden,57.1,免费评估
75,兰卡斯特大学Lancaster University,United Kingdom,56.6,免费评估
76,University of Hong Kong,Hong Kong,56.5,免费评估
77,Wuhan University,China,55.9,免费评估
78,South China University of Technology,China,55.3,免费评估
79,King Abdullah University of Science & Technology,Saudi Arabia,55.0,免费评估
80,Eindhoven University of Technology,Netherlands,54.9,免费评估
80,Korea University,South Korea,54.9,免费评估
80,密歇根州立大学Michigan State University,United States,54.9,免费评估
80,Technion Israel Institute of Technology,Israel,54.9,免费评估
84,迪肯大学Deakin University,Australia,54.8,免费评估
85,University of Michigan--Ann Arbor,United States,54.7,免费评估
85,萨里大学University of Surrey,United Kingdom,54.7,免费评估
87,Dalian University of Technology,China,54.5,免费评估
87,Northwestern Polytechnical University,China,54.5,免费评估
89,匹兹堡州立大学Pittsburg State University,United States,54.2,免费评估
90,University of Erlangen Nuremberg,Germany,54.1,免费评估
90,Vienna University of Technology,Austria,54.1,免费评估
92,University of California--Davis,United States,53.7,免费评估
93,Northeastern University - China,China,53.6,免费评估
93,University of Alberta,Canada,53.6,免费评估
95,King Saud University,Saudi Arabia,53.4,免费评估
96,University of California--Irvine,United States,53.2,免费评估
97,Catholic University of Leuven,Belgium,53.1,免费评估
98,National Cheng Kung University,Taiwan,53.0,免费评估
99,康奈尔大学Cornell University,United States,52.8,免费评估
100,Shenzhen University,China,52.6,免费评估
101,加利福尼亚理工学院California Institute of Technology,United States,52.5,免费评估
101,University at Buffalo--SUNY,United States,52.5,免费评估
101,曼彻斯特大学The University of Manchester,United Kingdom,52.5,免费评估
104,National Taiwan University,Taiwan,52.2,免费评估
105,布鲁内尔大学Brunel University,United Kingdom,51.2,免费评估
106,Aalborg University,Denmark,50.8,免费评估
107,University of Washington,United States,50.7,免费评估
108,Ghent University,Belgium,50.3,免费评估
108,National Taiwan University of Science and Technology,Taiwan,50.3,免费评估
110,Islamic Azad University,Iran,50.2,免费评估
110,Universite de Lyon (ComUE),France,50.2,免费评估
112,德克萨斯A&M大学Texas A & M University,United States,50.1,免费评估
112,University of Minnesota--Twin Cities,United States,50.1,免费评估
114,National University of Defence Technology - China,China,49.7,免费评估
115,McGill University,Canada,49.4,免费评估
116,Seoul National University,South Korea,49.3,免费评估
116,University of Twente,Netherlands,49.3,免费评估
118,Tongji University,China,49.2,免费评估
119,University of Macau,Macau,48.8,免费评估
120,University of Montreal,Canada,48.6,免费评估
121,Chalmers University of Technology,Sweden,48.5,免费评估
122,佛罗里达大学University of Florida,United States,48.1,免费评估
122,Yonsei University,South Korea,48.1,免费评估
124,皇家墨尔本理工大学Royal Melbourne Institute of Technology University,Australia,47.8,免费评估
124,Universidad Carlos III de Madrid,Spain,47.8,免费评估
126,University of Bologna,Italy,47.6,免费评估
127,Beijing Institute of Technology,China,47.2,免费评估
128,Polytechnic University of Madrid,Spain,47.1,免费评估
129,National Chiao Tung University,Taiwan,47.0,免费评估
130,Technical University of Berlin,Germany,46.9,免费评估
131,Polytechnic University of Valencia,Spain,46.6,免费评估
132,Pompeu Fabra University,Spain,46.2,免费评估
132,University of Qatar,Qatar,46.2,免费评估
134,University of Oulu,Finland,46.0,免费评估
135,布里斯托大学University of Bristol,United Kingdom,45.2,免费评估
135,University of Tokyo,Japan,45.2,免费评估
137,University of Trento,Italy,45.1,免费评估
138,Sapienza University of Rome,Italy,45.0,免费评估
138,谢菲尔德大学The University of Sheffield,United Kingdom,45.0,免费评估
